Polling Station No,G.HARI,D.KRISHNAMURTHY,CHANDRAN .S.S,MUTHURAJ.G,M.SATHYA KUMAR,BALAJI.A,PAVENDHAN.Y.R,KRISHNAMOORTHY.K,KRISHNAMOORTHY.D,KRISHNAMOORTHY.M,SHETTU.S,DR.A.V.NARENDRAN,JAMBU.B,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,180,129,12,2,307,0,0,0,1,2,0,0,5,638,0,4,642,0
2,467,165,22,2,221,0,0,3,1,7,0,1,3,892,0,3,895,0
3,447,196,11,3,286,2,0,1,1,6,0,0,2,955,0,3,958,0
4,283,204,11,0,193,0,0,0,1,5,0,1,1,699,0,1,700,0
5,150,108,4,2,145,0,0,0,3,1,0,0,0,413,0,1,414,0
6,281,158,12,1,168,0,0,0,0,3,0,1,0,624,0,2,626,0
7,149,77,5,4,295,1,1,0,0,4,0,0,1,537,0,2,539,0
8,231,144,13,1,280,0,0,0,0,4,0,0,0,673,0,5,678,0
9,243,123,10,1,227,0,1,0,2,1,0,0,0,608,0,4,612,0
10,109,159,7,2,338,2,0,2,3,8,1,2,3,636,0,4,640,0
11,79,138,3,3,209,1,1,0,3,3,0,0,4,444,0,0,444,0
12,95,156,10,6,297,1,1,0,3,3,1,1,1,575,0,2,577,0
13,172,82,5,0,130,0,0,1,0,0,0,1,1,392,0,2,394,0
14,180,150,1,1,248,1,0,1,0,5,0,1,4,592,0,2,594,0
15,234,58,15,0,149,0,0,0,1,2,1,0,0,460,0,4,464,0
16,178,175,8,3,435,2,1,1,2,3,0,0,1,809,0,2,811,0
17,283,175,6,1,207,0,0,0,1,5,0,0,2,680,0,9,689,0
18,109,144,8,1,292,2,3,0,4,5,0,0,4,572,0,2,574,0
19,209,253,13,1,351,2,0,1,5,9,0,1,7,852,0,3,855,0
20,210,116,6,3,141,1,1,1,1,4,0,1,2,487,0,2,489,0
21,372,120,6,0,104,1,0,1,0,3,1,1,4,613,0,8,621,0
22,458,110,20,2,263,1,0,0,2,4,0,0,2,862,0,3,865,0
23,259,202,26,3,328,2,1,0,4,4,2,0,4,835,0,3,838,0
24,166,161,15,0,221,1,1,1,3,2,0,0,2,573,0,6,579,0
25,251,199,7,4,262,1,0,1,3,5,2,1,3,739,0,5,744,0
26,437,140,17,4,246,5,0,0,0,5,1,2,4,861,0,6,867,0
27,531,152,51,0,207,4,1,1,2,5,1,1,1,957,0,7,964,0
28,335,200,32,1,377,1,0,1,2,5,0,1,4,959,0,9,968,0
29,324,311,37,0,254,3,0,1,0,4,0,0,0,934,0,9,943,0
30,238,278,29,2,216,0,0,0,1,2,0,1,1,768,0,9,777,0
31,227,207,27,2,335,0,1,0,3,4,2,0,4,812,0,3,815,0
32,208,91,5,0,194,1,0,1,0,2,0,0,3,505,0,2,507,0
33,147,149,11,1,304,3,0,1,2,1,0,0,1,620,0,1,621,0
34,429,132,10,0,223,1,0,0,2,1,0,0,0,798,0,1,799,0
35,458,122,19,2,165,1,0,2,1,2,0,0,1,773,0,2,775,0
36,316,99,19,4,215,1,0,0,0,3,0,0,1,658,0,2,660,0
