Polling Station No,KRISHNASWAMY.A,MEKALA.J,RAJASEKARAN.K,ELUMALAI.T.A,PRAKASAM.R,SIVAKUMAR.S,DHASARATHAN.R,PURUSHOTHAMAN.B,RAVIKUMAR.M,VELU.S,DR.JAYANTHI.R,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,196,17,0,66,263,0,0,0,0,3,0,545,0,3,548,0
2,173,17,1,23,225,0,1,0,2,0,0,442,0,0,442,0
3,170,8,0,57,337,0,0,1,0,1,0,574,0,2,576,0
4,366,28,5,82,438,0,2,0,0,0,0,921,0,3,924,0
5,124,13,0,86,213,0,0,0,1,0,2,439,0,0,439,0
6,253,20,3,86,396,4,3,1,0,1,1,768,0,4,772,0
7,183,29,5,418,304,3,0,0,2,3,1,948,0,9,957,0
8,83,9,2,91,186,0,0,3,0,2,0,376,0,3,379,0
9,169,22,1,114,334,1,0,1,1,0,1,644,0,1,645,0
10,107,17,2,112,373,2,0,3,0,0,3,619,0,6,625,0
11,123,4,2,75,289,2,1,0,2,0,0,498,0,1,499,0
12,170,30,1,119,531,2,2,1,0,1,3,860,0,1,861,0
13,122,9,1,72,246,0,0,0,3,1,3,457,0,2,459,0
14,241,11,3,119,458,1,0,1,2,1,0,837,0,6,843,0
15,150,15,2,261,333,2,3,1,1,2,1,771,0,3,774,0
16,123,18,0,172,290,2,0,0,0,1,0,606,0,2,608,0
17,187,10,3,86,438,3,0,3,1,3,1,735,0,2,737,0
18,167,23,2,123,350,2,1,2,1,0,0,671,0,3,674,0
19,240,14,1,317,246,2,0,0,1,2,1,824,0,8,832,0
20,211,28,1,165,291,1,1,2,0,1,0,701,0,1,702,0
21,244,12,0,272,315,0,3,1,1,1,0,849,0,7,856,0
22,211,23,1,101,314,2,0,0,0,1,2,655,0,3,658,0
23,126,12,0,103,184,0,0,0,1,0,0,426,0,2,428,0
24,134,6,0,57,267,0,0,1,2,0,1,468,0,2,470,0
25,174,7,1,92,367,0,1,3,3,0,0,648,0,2,650,0
26,267,19,1,98,441,0,0,0,0,0,0,826,0,3,829,0
27,267,36,3,160,526,2,0,0,2,1,0,997,0,4,1001,0
28,256,31,3,74,533,0,0,2,2,0,1,902,0,2,904,0
29,173,18,0,103,369,1,0,1,3,0,0,668,0,1,669,0
30,264,14,1,27,408,1,0,2,2,0,0,719,0,4,723,0
31,350,32,4,113,436,2,1,2,1,0,1,942,0,2,944,0
32,189,14,4,209,414,3,1,4,0,1,0,839,0,3,842,0
33,85,7,0,106,156,0,0,2,0,1,0,357,0,1,358,0
34,191,15,0,29,251,0,0,0,3,0,0,489,0,2,491,0
35,257,7,1,33,272,2,0,4,2,0,0,578,0,7,585,0
36,124,9,3,61,278,1,0,0,2,1,0,479,0,2,481,0
37,108,12,26,44,254,0,0,1,0,0,0,445,0,5,450,0
38,191,24,25,103,433,1,0,0,0,1,1,779,0,2,781,0
39,216,21,121,83,481,0,1,1,0,1,1,926,0,1,927,0
40,93,18,2,68,238,1,0,2,1,0,0,423,0,2,425,0
41,136,10,2,108,178,0,0,0,1,1,0,436,0,2,438,0
42,243,25,2,76,416,1,1,1,2,0,1,768,0,2,770,0
43,156,14,3,63,358,0,0,0,0,0,2,596,0,0,596,0
44,183,12,17,131,300,1,0,1,3,0,0,648,0,3,651,0
45,229,20,11,198,372,0,1,0,0,0,0,831,0,2,833,0
46,169,8,2,50,257,0,0,1,0,0,1,488,0,4,492,0
47,217,27,0,51,275,1,0,0,0,0,0,571,0,0,571,0
48,228,6,1,22,165,0,0,0,0,0,0,422,0,0,422,0
