Polling Station No,S. CHARLES,S.M.NASAR,PUNITHA SHANMUGAM,RAJASIMHA MAHENDRA,R.Edmund Jayendren,C.S. Karnan,SENTHILKUMAR. S,R. BAKTHAVATCHALAM,R.RAMESH KUMAR,P.JAYAKUMAR,K. ANNAMALAI,G.D. ARUNKUMAR,M. ERAJASIMMAN,R. KUMAR,S. SENTHILKUMAR,P. CHELLAPANDIAN,K. BALAKRISHNAN,R. MANIKANDAN,UNIESH RAJ. M,RAJASEKAR. R,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,1,150,10,26,0,0,1,0,353,1,0,0,0,2,2,1,1,2,1,0,551,0,3,554,0
2,1,173,13,27,0,1,0,0,316,1,0,0,0,2,0,1,1,1,1,0,538,0,4,542,0
3,0,228,26,55,1,1,1,0,309,0,0,2,0,0,1,0,1,0,0,0,625,0,1,626,0
4,2,283,19,52,0,1,1,0,339,0,0,0,0,0,0,0,1,3,0,1,702,0,2,704,0
5,3,180,21,62,1,0,0,0,316,0,0,0,0,2,1,0,0,1,0,0,587,0,0,587,0
6,0,135,20,66,1,0,0,3,305,0,0,0,0,1,0,0,0,0,0,1,532,0,0,532,0
7,1,265,36,71,2,2,1,1,487,1,1,0,0,1,3,3,0,0,0,0,875,0,6,881,0
8,0,260,45,92,0,1,1,0,469,0,0,0,2,2,0,1,0,0,2,1,876,0,3,879,0
9,1,309,48,73,3,0,1,2,453,0,0,0,0,0,1,0,0,0,0,1,892,0,4,896,0
10,4,234,24,51,0,0,0,1,423,0,1,2,1,0,1,0,1,0,2,0,745,0,1,746,0
11,0,233,10,43,1,0,0,2,256,0,0,1,0,0,0,0,0,0,0,0,546,0,2,548,0
12,0,261,46,100,2,1,0,5,474,1,0,0,1,1,0,0,0,0,0,0,892,0,8,900,0
13,1,172,14,14,0,0,0,0,123,0,0,0,0,1,0,0,0,1,0,0,326,0,0,326,0
14,6,239,10,63,1,1,1,5,407,1,1,1,1,1,2,1,1,1,1,1,745,0,3,748,0
15,1,236,31,28,0,0,0,1,334,0,0,0,0,0,1,0,0,0,0,0,632,0,2,634,0
16,0,234,35,41,1,0,0,2,392,0,0,1,1,0,0,0,1,1,0,0,709,0,0,709,0
17,0,216,24,60,0,1,0,2,436,1,0,0,0,0,0,0,0,0,0,0,740,0,2,742,0
18,1,163,30,36,1,2,0,2,401,1,0,0,0,0,1,0,0,0,0,1,639,0,1,640,0
19,0,177,30,101,0,0,0,0,353,0,0,1,1,0,0,2,1,0,0,0,666,0,4,670,0
20,2,206,29,99,0,0,0,1,336,0,0,1,0,3,0,1,1,0,0,0,679,0,3,682,0
21,3,195,22,79,0,0,1,1,313,0,0,0,0,0,0,0,0,0,0,0,614,0,3,617,0
22,2,267,21,51,1,0,1,2,341,0,0,0,0,0,0,1,0,1,1,0,689,0,2,691,0
23,3,256,21,73,1,0,0,0,464,0,0,1,1,2,0,1,1,1,0,1,826,0,2,828,0
24,0,215,19,63,0,0,0,1,461,1,0,0,0,0,0,0,0,0,0,1,761,0,6,767,0
25,1,220,33,129,1,0,0,2,330,0,0,1,0,0,0,1,0,0,0,0,718,0,6,724,0
26,2,92,8,45,0,0,0,0,122,0,0,0,1,0,0,0,0,0,0,0,270,0,1,271,0
27,2,135,15,110,0,0,0,1,210,0,1,0,0,0,2,0,0,0,1,1,478,0,3,481,0
28,5,235,18,89,2,0,0,3,352,0,1,1,0,0,0,1,0,0,0,1,708,0,4,712,0
29,1,155,17,88,0,0,0,0,302,1,0,1,0,0,0,1,0,0,0,0,566,0,4,570,0
30,0,163,21,96,1,0,0,1,278,0,0,0,0,0,0,0,0,0,0,0,560,0,2,562,0
31,0,239,30,120,1,0,0,0,364,1,0,0,0,1,0,0,0,0,0,1,757,0,6,763,0
32,3,105,11,27,1,0,0,2,205,0,0,0,0,0,0,0,0,0,0,0,354,0,0,354,0
33,0,234,22,86,1,0,0,0,217,0,0,0,0,0,0,0,0,0,0,0,560,0,3,563,0
34,1,183,23,86,1,0,0,2,229,0,0,0,0,0,0,0,0,0,0,0,525,0,3,528,0
35,0,197,11,93,1,0,0,0,220,0,0,0,0,0,0,0,0,2,0,0,524,0,4,528,0
36,5,209,43,68,0,0,0,1,262,0,0,0,0,0,1,0,0,0,0,0,589,0,6,595,0
37,6,205,26,69,1,0,0,0,252,0,0,0,0,0,0,0,0,1,0,0,560,0,3,563,0
38,2,167,10,57,0,0,0,0,234,0,0,0,0,0,0,0,0,0,1,0,471,0,1,472,0
39,0,148,32,57,1,1,0,0,190,0,0,0,0,0,0,0,0,0,1,0,430,0,1,431,0
40,0,256,42,142,2,0,1,2,387,0,0,0,0,1,0,0,1,0,0,0,834,0,4,838,0
41,2,219,36,107,1,0,0,0,340,0,1,0,0,0,1,0,0,0,0,1,708,0,8,716,0
42,5,274,32,63,0,1,0,4,343,0,0,1,0,0,0,0,0,2,0,0,725,0,3,728,0
43,9,178,25,44,0,0,0,0,292,1,1,0,0,0,0,0,0,0,0,0,550,0,1,551,0
44,3,155,13,40,0,0,0,0,242,0,0,0,0,0,0,0,0,0,2,0,455,0,2,457,0
45,1,322,26,39,0,2,0,40,486,1,0,1,0,1,0,0,0,0,0,0,919,0,0,919,0
46,2,179,28,72,1,1,0,2,367,1,0,0,0,0,0,0,0,0,0,0,653,0,2,655,0
47,2,170,32,120,1,0,2,3,404,0,0,1,0,1,0,0,0,0,1,0,737,0,4,741,0
48,1,145,30,84,1,0,0,2,223,1,0,1,0,1,1,0,0,0,1,2,493,0,6,499,0
49,1,229,29,94,2,0,0,4,496,0,0,1,1,0,1,1,1,0,0,1,861,0,2,863,0
50,4,164,26,93,2,0,2,3,477,1,0,0,0,0,0,1,1,0,0,1,775,0,5,780,0
51,0,234,24,131,0,0,1,4,451,1,0,0,0,2,1,3,1,0,1,0,854,0,6,860,0
52,4,199,45,132,2,0,0,2,451,0,0,0,0,0,0,0,1,0,0,0,836,0,0,836,0
53,0,225,42,78,2,1,0,1,364,1,0,1,0,0,0,1,0,0,0,0,716,0,6,722,0
54,2,214,29,79,1,0,0,2,418,0,1,0,0,0,0,0,0,0,0,0,746,0,6,752,0
55,2,264,35,92,0,1,0,4,465,0,0,2,0,0,0,0,0,0,0,0,865,0,2,867,0
56,2,132,20,64,1,1,0,2,329,0,0,0,0,1,0,1,1,0,0,0,554,0,1,555,0
57,3,267,33,87,1,1,0,1,365,0,0,3,1,1,0,0,0,0,0,0,763,0,0,763,0
58,1,217,23,92,5,0,1,1,368,1,0,1,0,0,0,1,2,1,1,1,716,0,4,720,0
59,0,192,19,94,1,0,2,0,379,0,1,1,0,0,1,1,0,0,1,1,693,0,1,694,0
60,1,139,19,122,2,0,0,0,251,1,0,1,0,1,0,1,0,0,0,0,538,0,1,539,0
61,1,153,15,81,2,1,0,2,261,0,0,1,0,0,0,0,0,0,1,0,518,0,2,520,0
62,1,209,11,24,0,0,0,7,415,0,0,1,0,0,0,0,0,2,0,0,670,0,2,672,0
63,1,151,33,22,1,1,1,4,388,0,0,0,0,1,0,0,0,0,0,0,603,0,2,605,0
64,2,210,28,164,1,0,1,1,289,0,0,0,0,2,1,2,0,1,0,1,703,0,2,705,0
65,1,320,14,49,1,1,0,1,479,0,1,0,0,1,2,1,1,1,0,2,875,0,1,876,0
66,1,168,13,77,0,0,0,1,174,1,0,2,0,0,1,0,0,0,0,0,438,0,5,443,0
67,1,181,20,66,0,0,0,1,257,0,0,0,0,0,0,0,0,0,1,0,527,0,3,530,0
68,4,216,21,97,0,0,0,1,312,0,1,0,0,1,0,1,0,0,0,0,654,0,4,658,0
69,1,222,40,75,0,0,0,1,329,0,0,0,0,0,0,0,0,0,0,0,668,0,5,673,0
70,2,117,16,70,1,0,0,0,124,0,0,0,0,1,0,1,0,0,1,0,333,0,10,343,0
71,0,210,52,105,0,0,0,0,339,0,0,0,0,0,0,1,0,0,0,0,707,0,5,712,0
72,0,225,35,97,3,0,0,0,329,1,0,0,1,2,2,1,0,0,0,0,696,0,6,702,0
73,1,240,24,110,0,0,1,0,320,0,0,0,0,0,0,0,2,0,0,0,698,0,1,699,0
74,1,175,34,61,2,0,0,1,322,0,0,1,0,0,1,0,0,1,0,0,599,0,4,603,0
75,1,140,10,73,0,2,2,2,379,0,0,0,4,2,2,1,0,0,1,0,619,0,3,622,0
76,3,163,22,69,0,0,2,0,269,1,0,0,1,2,0,0,0,0,3,0,535,0,1,536,0
77,2,198,28,68,0,2,0,1,354,1,0,1,0,3,2,1,0,0,0,0,661,0,1,662,0
78,2,119,15,76,0,0,0,1,351,1,0,0,0,0,0,0,2,0,0,1,568,0,2,570,0
79,6,337,26,48,1,0,0,1,330,0,0,0,0,2,0,0,2,1,0,1,755,0,1,756,0
80,9,301,22,20,0,0,1,1,357,0,0,1,0,0,0,1,1,4,0,0,718,0,2,720,0
81,0,177,33,21,0,0,0,0,306,0,0,2,0,0,0,0,0,1,0,0,540,0,0,540,0
82,5,197,10,30,2,0,1,3,318,0,0,1,0,1,2,1,1,0,0,3,575,0,2,577,0
83,3,258,39,77,0,1,0,1,440,2,1,0,0,0,2,0,0,0,0,0,824,0,3,827,0
84,2,234,39,66,0,0,0,1,448,0,0,2,1,1,0,0,0,0,0,0,794,0,3,797,0
85,1,141,24,95,1,0,1,0,312,0,0,0,0,0,0,1,0,1,1,0,578,0,2,580,0
86,0,202,46,61,1,0,1,3,333,0,0,0,0,3,0,0,0,0,0,0,650,0,2,652,0
87,3,299,24,41,3,2,2,0,364,0,0,0,0,1,0,1,0,2,0,0,742,0,5,747,0
88,0,248,23,51,0,0,0,3,366,1,0,1,0,0,0,0,0,1,0,0,694,0,0,694,0
89,1,228,42,57,1,1,0,1,564,0,0,0,0,0,1,0,0,0,0,0,896,0,2,898,0
90,3,167,31,110,1,0,1,0,355,0,1,3,0,3,0,1,1,1,0,0,678,0,3,681,0
91,1,220,50,131,1,2,0,4,466,0,0,1,2,3,0,2,0,1,1,0,885,0,7,892,0
92,2,196,41,78,4,0,0,1,422,2,0,2,0,3,1,1,0,0,0,0,753,0,6,759,0
