Polling Station No,R.S.RAAJESH,VENNILA.T,J. JOHN EBENEZER,E. RAAMADASAN,D.KARTHIKEYAN,CHANDRASEKAR,B.NAVIN,N. MARIE WILSON,A.MOHANRAJ,AMUDHA.N,D. AJITH KUMAR,S.EMMANUVEL,A. USHA,R.ETHIRAJ,V.SHANKAR,M. SATHISH,J.SARAVANAKUMAR,L.SARAVANAN,V.SUDHAKAR,K. SUJITH,R.TAMILARASAN,TAMILSELVAN,R.DEVAKUMAR,D.PRABHU,G. BOTHI RAJAN,MANIKANDAN.H,G. MADHAN KUMAR,V. MADHAN MOHAN,P. MARIMUTHU,R. MUTHU CHELLA BHARATHI,K. MURALI,J.MURALI KRISHNAN,C. RAJAMANICKAM,J.VIJAYAN,A.VIJAY,G. VIJAY,C.JANARTHANAN,D. JANARTHANAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,92,21,188,0,0,0,0,418,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,724,0,0,724,0
2,77,31,128,1,0,0,1,314,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,558,0,0,558,0
3,89,22,161,0,0,0,0,340,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,616,0,1,617,0
4,82,17,185,0,0,0,0,300,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,587,0,0,587,0
5,95,19,245,1,0,0,3,347,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,3,0,0,1,1,0,0,2,1,0,0,0,1,0,0,724,0,3,727,0
6,105,38,143,0,0,0,3,333,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,626,0,3,629,0
7,110,27,181,5,0,0,0,433,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,763,0,2,765,0
8,98,23,230,0,0,0,0,400,1,0,0,0,0,1,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,759,0,1,760,0
9,127,27,122,0,0,0,1,322,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,606,0,2,608,0
10,124,61,275,0,0,0,3,492,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,1,965,0,1,966,0
11,146,32,240,4,1,0,2,476,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,2,1,2,0,2,1,1,0,0,1,1,1,0,1,0,919,0,3,922,0
12,69,18,321,1,0,0,0,293,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,704,0,1,705,0
13,55,14,227,0,0,0,0,234,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,536,0,1,537,0
14,82,21,267,2,0,0,3,328,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,706,0,6,712,0
15,120,36,238,3,0,0,1,442,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,844,0,4,848,0
16,57,25,331,0,1,0,1,252,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,668,0,1,669,0
17,155,32,240,3,0,0,2,460,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,898,0,5,903,0
18,79,19,198,0,0,0,1,627,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,931,0,0,931,0
19,89,20,406,2,0,0,1,307,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,829,0,2,831,0
20,34,18,437,2,0,0,0,223,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,717,0,1,718,0
21,79,18,500,1,1,0,0,364,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,968,0,1,969,0
22,128,37,277,1,1,0,0,372,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,822,0,4,826,0
23,55,23,664,1,0,0,1,331,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1078,0,2,1080,0
24,14,14,648,3,0,0,0,205,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,887,0,3,890,0
25,63,17,291,0,0,0,1,275,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,0,0,650,0
26,63,9,229,1,0,0,0,248,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553,0,4,557,0
27,104,30,260,2,0,0,1,294,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,1,2,0,0,0,0,0,700,0,2,702,0
28,15,8,425,3,0,0,0,168,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,623,0,3,626,0
29,23,10,428,1,0,0,0,148,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,612,0,3,615,0
30,92,26,334,1,0,0,0,310,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,769,0,3,772,0
31,41,20,597,1,0,0,0,272,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,936,0,3,939,1
32,94,18,152,3,0,0,0,441,2,1,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2,0,0,1,0,0,0,722,0,2,724,0
33,141,24,146,1,1,1,2,463,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,1,0,1,1,1,0,0,1,790,0,1,791,0
34,119,23,162,0,0,0,1,436,2,0,0,0,0,0,0,4,1,2,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,757,0,2,759,0
35,73,30,190,0,0,0,1,335,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,638,0,1,639,0
36,73,17,138,1,0,0,0,329,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,562,0,3,565,0
37,103,20,163,1,0,0,2,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,644,0,2,646,0
38,104,37,223,5,0,0,1,469,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,1,0,846,0,3,849,0
39,129,35,128,0,0,0,2,338,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,634,0,3,637,0
40,123,21,178,2,0,0,2,450,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,782,0,1,783,0
41,92,23,158,0,0,0,1,333,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,613,0,3,616,0
42,200,19,188,2,0,0,2,467,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,883,0,1,884,0
43,76,20,141,0,0,0,1,430,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,673,0,1,674,0
44,99,41,150,0,0,0,0,387,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,686,0,3,689,0
45,100,7,113,1,0,0,1,264,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,490,0,0,490,0
46,132,21,247,1,0,0,1,401,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,811,0,2,813,0
47,100,20,214,2,0,1,2,577,0,0,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,923,0,4,927,0
48,104,23,148,1,0,1,3,358,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,2,0,0,2,1,0,1,0,2,1,654,0,2,656,0
49,58,17,71,0,0,0,1,287,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,440,0,2,442,0
50,84,21,289,2,1,0,1,361,0,0,0,0,1,0,0,1,2,1,0,1,0,0,0,3,1,0,1,1,0,0,2,0,0,0,2,0,0,0,775,0,0,775,0
51,125,15,157,2,0,1,2,538,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,2,2,0,0,850,0,1,851,0
52,186,22,201,3,0,0,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,739,0,7,746,0
53,151,31,212,0,0,0,0,368,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,767,0,5,772,0
54,163,30,162,1,0,1,1,390,1,0,0,0,0,1,0,0,2,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,758,0,3,761,0
55,120,32,148,2,1,0,0,384,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,695,0,2,697,0
