Polling Station No,R.D. SHEKAR,S. VETRI THAMIZHAN,VETRI VEL SELVAM,ASHLIN BELMEN .A.S,M. GEETA,DR.R. SARAVANA PERUMAL,SIVAKUMAR.V,S. SURESHKUMAR,J. SEBASTIN,M. THILAGABAMA,K.M. DEVAN,S. MALATHI,A. RAJARAM,VIJAY,D.V. VENUGOPAL,C. JOSEPH VIJAY,AGNI AALVAR,AMALA.R,AZARUTHEEN.M,P. ESAKKI MUTHU,E. UDHAYA KUMAR,M. KADHIRAVAN,P. GUNASEKAR,B. SATHISH KUMAR,SATHISH.B,P. THANGAMANI,M. TAMILSELVAM,H. DHANASEKAR,M.I. THAHIRA BANU,NIVETHA,B. BALAJI,P. PONRAJ,BOWDHARAJ,DR.D. MADAN,DR.G. MOORTHY,S. MICHAEL,S. RAMESH,V. RAJI,S. RAJESH KUMAR,REEGAN PRABHU,G. RUTHRA KUMAR,VIJAY. G,S. VISHNU VARTHAN,B. VENKATESAN,R. JAYASEELAN,S. JOSEPH,M. JOSEPH,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,164,21,0,1,0,0,0,0,0,30,0,0,0,0,0,310,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,530,0,2,532,0
2,260,14,2,0,0,1,1,1,1,72,2,2,0,1,3,496,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,862,0,1,863,0
3,311,31,1,0,0,0,1,1,0,32,0,0,1,0,1,497,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,2,1,0,1,0,0,0,0,0,1,0,0,0,1,0,887,0,3,890,0
4,284,27,1,3,0,0,0,0,0,38,1,0,2,0,3,507,3,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,876,0,3,879,0
5,279,32,1,0,0,0,0,0,0,42,0,0,0,0,0,396,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,754,0,1,755,0
6,238,48,0,0,1,0,0,1,0,46,0,0,0,1,1,445,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,783,0,1,784,0
7,275,27,2,0,0,0,0,0,0,31,0,0,0,4,0,573,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,915,0,1,916,0
8,183,25,1,0,0,0,0,0,1,32,0,0,2,0,1,491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,736,0,4,740,0
9,183,31,0,0,0,0,0,0,0,18,1,0,0,1,0,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,742,0,3,745,1
10,276,34,0,0,0,0,0,0,0,40,0,0,0,0,0,466,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,825,0,7,832,0
11,278,19,1,1,0,0,0,1,0,23,0,0,1,0,0,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,1,0,1,0,1,0,818,0,3,821,0
12,221,19,0,1,0,0,0,0,0,21,1,0,1,1,0,416,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,688,0,2,690,0
13,219,26,0,1,0,0,0,0,0,41,0,0,0,0,2,417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,707,0,0,707,0
14,308,25,1,0,0,0,2,0,0,53,0,0,0,2,0,464,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,859,0,2,861,0
15,307,19,1,0,0,1,0,0,0,42,0,0,2,1,1,402,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,786,0,2,788,0
16,271,22,0,0,0,0,0,0,0,49,0,0,0,2,2,392,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,746,0,4,750,0
17,281,35,0,0,0,1,0,0,1,67,2,0,3,0,0,651,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,1,0,1050,0,6,1056,0
18,380,31,0,0,0,0,0,0,0,51,0,0,0,0,0,441,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,906,0,5,911,0
19,287,24,0,0,0,0,0,0,0,30,0,0,0,0,0,505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,1,1,853,0,8,861,0
20,250,25,0,0,0,0,0,0,0,25,0,0,0,1,0,562,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,4,0,1,1,0,0,1,0,1,0,877,0,1,878,0
21,227,16,1,0,0,0,1,1,0,33,2,0,0,0,1,412,1,0,1,0,1,1,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,707,0,1,708,0
22,265,28,4,1,0,0,0,0,2,65,0,0,0,1,0,499,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,867,0,5,872,0
23,271,28,0,0,0,0,0,0,0,44,0,0,2,1,0,430,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,0,5,783,0
24,233,15,0,0,0,0,0,1,0,46,1,0,2,2,0,317,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,624,0,1,625,0
25,190,27,1,0,0,1,0,0,1,89,0,0,1,0,0,436,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,747,0,3,750,1
26,233,30,0,0,0,0,1,0,2,68,0,0,1,1,0,474,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,819,0,2,821,0
