Polling Station No,DR. A. SUBAIR KHAN,A. BABU MAILAN,D. JAYAKUMAR,M. JAYARAJKUMAR,A. SATHIK KUMAR,M. RAJKUMAR,R. VINOTHKUMAR,K.V. VIJAY DAMU,T. KAVIYARASU,G. KARTHIKEYAN,KERTHIVARUNNAN .R,A. SASIKUMAR,M. SHANMUGAM,K.J. SIVAKUMAR,P. SUMATHI,J. SELVAKUMAR,M DHINAKARAN,A. NIZAR AHAMED,V. BHAGATH SINGH,K. PRASATH,M. MAHALAKSHMI,S. RAJU,T. RAJESH,R. RAJKUMAR,A. JAYAKUMAR,D. JAYAKUMAR,I JAYAPRAKASH,C. SRIDHAR,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,143,26,126,0,0,0,1,407,1,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,1,710,0,2,712,0
2,192,28,138,3,0,0,0,410,0,0,0,0,0,0,2,1,2,0,1,0,1,0,0,2,1,0,0,0,781,0,6,787,0
3,177,21,172,0,2,0,0,325,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,701,0,5,706,0
4,388,30,79,1,5,0,0,378,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,886,0,5,891,0
5,190,18,100,0,1,0,0,366,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,678,0,3,681,0
6,520,13,49,0,1,0,0,267,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,855,0,0,855,0
7,134,22,108,1,0,0,0,377,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,643,0,3,646,0
8,165,20,119,0,4,0,1,372,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,687,0,3,690,0
9,144,35,157,6,0,0,0,466,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,2,0,1,0,1,817,0,4,821,0
10,148,8,105,0,0,1,0,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,634,0,7,641,0
11,193,15,132,1,1,0,0,330,1,0,1,0,0,0,0,0,2,0,1,0,1,0,0,1,0,0,1,0,680,0,3,683,0
12,136,15,124,1,0,1,0,342,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,623,0,3,626,0
13,63,17,73,2,0,0,0,136,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,293,0,4,297,0
14,111,14,81,2,0,0,1,183,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393,0,3,396,0
15,114,9,100,0,0,0,2,305,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,536,0,2,538,0
16,186,18,199,4,0,1,2,426,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,2,0,1,1,0,845,0,5,850,0
17,150,13,161,2,0,0,0,239,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,569,0,3,572,0
18,257,23,83,0,0,1,0,409,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,776,0,2,778,0
19,224,18,98,0,0,0,1,359,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,1,0,705,0,0,705,0
20,81,6,62,0,0,0,1,306,1,2,0,0,0,2,1,3,0,0,0,1,2,0,0,1,0,0,0,0,469,0,1,470,0
21,425,14,33,2,0,0,1,252,1,1,0,1,0,0,1,2,3,0,1,0,0,0,0,0,0,1,0,0,738,0,0,738,0
22,372,8,52,1,0,0,3,305,1,1,1,1,0,0,0,2,2,0,0,0,0,0,0,1,1,0,1,0,752,0,1,753,0
23,323,12,48,2,0,0,1,231,1,0,0,0,0,0,1,1,2,0,1,0,0,0,0,1,0,0,0,0,624,0,0,624,0
24,389,16,50,1,0,1,1,292,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,757,0,1,758,0
25,229,10,79,0,0,0,1,287,0,0,0,1,0,0,0,0,1,0,0,3,1,0,0,0,1,1,0,1,615,0,0,615,0
26,250,24,109,0,0,0,0,353,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,740,0,1,741,0
27,145,13,93,0,0,0,0,260,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,516,0,3,519,0
28,359,5,40,1,1,1,0,232,1,0,0,0,1,0,0,0,2,0,2,0,0,0,0,1,2,1,0,0,649,0,1,650,0
29,126,10,52,2,0,1,1,246,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,445,0,0,445,0
