Polling Station No,S.GOKULA INDIRA,S.SHANKAR,N.CHITRARASU,B.ANAND,S.DHAYALAN,V.K.RAMKUMAR,E.V.S.RAJAKUMAR NAIDU,N.P.RAJHA,T S HABEEB MOHAMMAD,S ANSAR ALI,G OMPRAKASH,L KASINATHAN,S SATHISH KUMAR,G.SIVA KUMAR,M SELVAMUTHUKUMAR,L NARENDRAN,J NAGARAJ,M MANOHARAN,MOHAMMED BILAL FATHICK,RAMAMOORTHY E,RAJENDIRAN NAIDU,S VINESH KUMAR,JANARTHANAN P,M HARISHANKAR,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,134,12,181,0,1,129,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458,0,3,461,0
2,142,14,197,2,0,163,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,522,0,8,530,0
3,71,17,163,1,0,242,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,496,0,7,503,0
4,69,17,117,0,0,145,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,352,0,2,354,0
5,48,18,135,0,0,152,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,0,3,357,0
6,20,3,39,0,1,107,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,1,173,0
7,110,12,220,1,0,357,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,703,0,4,707,0
8,107,20,247,1,1,324,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,705,0,4,709,0
9,73,18,121,0,0,133,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,347,0,2,349,0
10,219,15,202,1,2,197,0,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,641,0,11,652,0
11,151,11,161,0,1,167,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,492,0,2,494,0
12,117,15,187,1,0,176,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,498,0,7,505,0
13,214,13,175,0,0,202,0,0,1,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,609,0,7,616,0
14,207,17,163,0,3,185,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,0,6,582,1
15,216,23,174,0,1,146,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,564,0,12,576,0
16,171,15,135,0,1,132,0,0,1,0,0,3,1,1,0,0,0,0,1,0,1,0,0,0,462,0,5,467,0
17,175,17,154,0,0,138,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,491,0,9,500,0
18,170,22,177,0,0,148,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,518,0,5,523,0
19,95,14,137,0,0,267,0,1,2,2,0,0,0,1,1,1,0,1,0,0,1,2,0,0,525,0,1,526,0
