Polling Station No,Candidate_1,Candidate_2,Candidate_3,Candidate_4,Candidate_5,Candidate_6,Candidate_7,Candidate_8,Candidate_9,Candidate_10,Candidate_11,Candidate_12,Candidate_13,Candidate_14,Candidate_15,Candidate_16,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,300,184,21,1,307,0,0,0,0,1,0,0,0,0,0,3,3,817,0,817,0
2,131,257,26,2,266,0,0,0,0,0,0,1,0,0,1,2,2,686,0,686,0
3,124,173,30,2,295,0,0,0,0,0,0,0,1,1,1,0,0,627,0,627,0
4,171,229,25,1,324,0,1,0,0,0,0,0,0,0,2,1,1,754,0,754,0
5,140,213,14,1,322,0,0,0,0,0,1,0,1,0,1,5,5,698,0,698,0
6,219,145,22,0,466,0,1,0,0,0,1,1,1,0,1,1,1,858,0,858,0
7,151,244,32,2,302,0,0,0,0,0,2,1,0,0,2,6,6,742,0,742,0
8,227,145,26,1,320,0,0,0,0,0,0,0,0,0,0,1,1,720,0,720,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,184,154,9,0,245,0,0,0,0,0,0,0,0,0,0,6,6,598,0,598,0
11,87,104,9,1,208,1,0,0,0,0,0,0,0,0,0,1,1,411,0,411,0
12,52,110,3,0,158,0,0,0,0,0,0,0,0,0,0,0,0,323,0,323,0
13,96,170,18,0,179,0,0,0,0,1,0,0,0,0,0,2,2,466,0,466,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,123,197,15,0,236,0,0,0,0,1,0,0,1,1,0,1,1,575,0,575,0
16,162,238,17,2,407,0,0,0,0,0,1,0,0,0,0,7,7,834,0,834,0
17,66,89,20,0,139,0,0,0,0,1,0,0,0,0,0,1,1,316,0,316,0
18,66,138,13,0,128,0,0,0,0,0,1,0,0,1,0,4,4,351,0,351,0
19,83,109,12,0,146,1,0,0,0,1,1,0,0,0,0,7,7,360,0,360,0
20,104,222,32,1,354,0,0,0,1,0,1,0,0,2,0,5,5,722,0,722,0
21,102,239,24,0,329,0,0,0,0,1,0,0,0,0,1,5,5,701,0,701,0
22,137,194,18,0,250,0,0,0,0,0,0,0,0,0,0,2,2,601,0,601,0
23,127,221,23,0,287,0,0,0,0,1,1,0,0,1,2,1,1,664,0,664,0
24,231,202,35,2,412,1,0,0,0,1,0,1,1,0,2,2,2,890,0,890,0
25,64,180,11,1,232,0,0,0,0,0,0,0,0,1,2,0,0,491,0,491,0
26,52,203,5,1,187,2,0,0,0,0,0,0,0,0,0,2,2,452,0,452,0
27,192,120,32,2,302,0,0,0,0,0,1,2,0,1,0,1,1,653,0,653,0
28,161,157,17,0,263,0,0,0,0,0,0,0,0,0,1,2,2,601,0,601,0
29,73,239,22,1,241,1,0,0,0,0,1,0,0,0,1,0,0,579,0,579,0
30,119,337,16,0,252,0,0,0,0,0,0,0,0,0,0,3,3,727,0,727,0
31,160,357,30,0,337,0,0,0,0,0,0,0,0,0,2,4,4,890,0,890,0
32,119,149,18,0,269,0,0,0,0,0,1,1,1,2,0,2,2,562,0,562,0
33,59,234,20,0,259,0,0,0,0,0,0,0,0,0,0,7,7,579,0,579,0
