Polling Station No,V. SOMASUNDARAM,NITHYA SUGUMAR,VETRISELVI,R.V. RANJITHKUMAR,M. NANDHAKUMAR,V. NARESH,P. VENKATESAN,M. SOMASUNDARAM,V. SOMASUNDARAM,GNANAMOORTHY,C. DILLIBABU,E. DHAKSHNAMOORTHY,G. BABU,M. BALAJI,M. MEGANATHAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,304,348,27,241,1,3,0,0,0,0,0,1,2,1,3,931,0,6,937,0
2,129,200,10,269,1,0,0,0,0,1,0,0,4,1,2,617,0,1,618,0
3,474,142,10,213,1,0,1,0,0,0,1,0,0,0,1,843,0,3,846,0
4,366,93,12,75,0,0,0,0,0,0,0,0,0,0,0,546,0,4,550,0
5,370,219,12,157,2,0,0,0,0,0,0,1,0,0,4,765,0,4,769,0
6,189,260,12,78,0,0,0,0,0,0,0,0,1,0,1,541,0,2,543,0
7,313,296,8,115,1,0,0,0,0,0,0,1,0,1,3,738,0,6,744,0
8,244,215,9,121,1,1,0,0,0,0,0,0,1,0,0,592,0,4,596,0
9,155,166,25,235,1,1,0,0,0,0,0,0,0,0,0,583,0,1,584,0
10,200,306,9,411,0,1,0,0,1,0,0,2,2,0,0,932,0,1,933,0
11,268,242,10,448,1,0,1,0,0,0,0,1,2,1,0,974,0,2,976,0
12,361,158,11,132,0,0,0,0,0,0,0,0,0,0,0,662,0,1,663,0
13,230,179,11,160,2,0,0,0,0,0,0,0,0,0,0,582,0,0,582,0
14,470,229,26,182,1,0,0,0,0,0,1,1,1,1,2,914,0,3,917,0
15,407,231,20,273,2,0,0,1,1,0,0,2,4,1,2,944,0,4,948,0
16,145,281,30,341,0,1,0,0,0,0,0,0,1,0,1,800,0,8,808,0
17,418,240,26,233,0,0,0,2,1,0,0,0,0,1,2,923,0,1,924,0
18,152,206,14,322,1,0,0,0,1,0,1,0,7,0,1,705,0,0,705,0
19,207,191,6,86,0,0,0,0,0,0,0,0,0,0,0,490,0,0,490,0
20,266,332,19,406,1,0,0,0,1,0,0,0,1,0,1,1027,0,0,1027,1
21,192,164,24,214,1,0,0,0,0,0,0,0,0,0,0,595,0,3,598,0
22,202,252,27,233,0,0,0,0,0,1,0,0,3,1,1,720,0,3,723,0
