Polling Station No,Candidate_1,RAMUK KOHSA.A,NARAHDIRIG.M,MANIHTARINUM.M.A,LIPAK.G,NANAVARAS.K,K.RAKAHDUS,RAMUK LIHTNES .S,HTONIV.R,NADNANA.A,AJARAYALI.S,AMARIBUS.NASARAYIVAK,NANHSIRKALAPOG.N,MAVISAHDAS .V,R.MANAHTNAS,IHTAPUHTES.R,HSENID.M,INALAP.A,INAM.N,YMASINUM.K,MANIHTARINUM.V,NARDNEJAR.T,NAYAJIV.M,NARIDNAHCAMEH.V,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,29,1,156,210,570,1,1,1,1,1,0,3,2,1,1,2,1,0,2,1,1,5,0,990,990,0,6,996,0
2,32,2,196,247,500,4,1,0,1,1,2,2,2,5,0,2,1,0,1,0,2,5,0,1006,1006,0,5,1011,0
3,13,0,123,182,386,0,0,1,2,0,1,1,0,0,0,1,0,1,0,0,0,2,1,714,714,0,3,717,0
4,10,0,165,118,184,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,481,481,0,0,481,0
5,13,0,123,112,428,3,1,0,1,0,0,1,0,1,1,0,0,0,1,0,2,1,0,688,688,0,2,690,0
6,10,1,84,118,319,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,537,537,0,2,539,0
7,12,0,134,151,250,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,553,553,0,1,554,0
8,18,0,210,153,172,4,1,0,1,0,1,0,1,2,0,1,0,4,1,1,2,3,0,575,575,0,0,575,0
9,11,1,176,298,184,1,1,0,0,0,0,1,2,1,0,2,0,0,0,2,0,4,0,684,684,0,0,684,0
10,8,2,76,131,515,2,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,738,738,0,1,739,0
11,32,0,140,240,432,23,0,0,0,0,0,2,0,2,1,1,0,2,3,0,5,3,1,887,887,0,1,888,0
12,19,0,90,228,433,7,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,781,781,0,3,784,0
13,17,3,299,356,125,3,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,808,808,0,1,809,0
14,23,0,76,159,614,5,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,882,882,0,0,882,0
