Polling Station No,Candidate_1,IHDNAG .R,NAYEKIHTRAK .M.V,NAMLAS AHKIRAAHT,TENAJREFINEJ.J,ARIHAHT,YMASINUM .S,NAHTANAWSIV .N,NIASSAH .J,NAHTAN LEVIHTKAS .K,RAMUGUS .N,HSERUS .V,NARIDNEMRAHD .V,RAMUKHSERAN .A,NAHOM .J,HSAKARPAYAJ .S,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,317,124,28,7,533,1,1,1,7,1,1,3,0,1,0,1025,1025,0,10,1035,0
2,263,133,27,0,339,3,1,1,3,0,0,2,0,0,0,772,772,0,4,776,0
3,305,22,22,2,347,0,0,1,2,0,0,0,0,0,0,701,701,0,4,705,0
4,308,99,32,0,430,0,1,0,5,0,0,0,0,0,0,875,875,0,7,882,0
5,389,235,30,2,345,0,1,2,3,0,0,1,0,0,0,1008,1008,0,8,1016,0
6,279,157,21,0,205,3,0,1,6,0,1,2,0,0,0,675,675,0,6,681,0
7,378,66,16,2,434,1,0,0,1,0,0,0,1,0,0,899,899,0,2,901,0
8,254,117,41,1,377,0,1,1,3,0,0,1,0,0,2,798,798,0,4,802,0
9,210,73,41,2,345,2,1,2,0,0,0,1,0,0,2,679,679,0,6,685,0
10,160,69,22,1,245,0,0,1,1,0,1,2,0,1,1,504,504,0,4,508,0
11,141,264,40,3,307,0,1,0,2,0,0,3,0,3,3,767,767,0,5,772,0
12,193,140,41,2,317,0,0,0,1,0,0,0,0,0,0,694,694,0,1,695,0
13,181,155,23,2,481,3,0,1,3,0,1,4,0,3,2,859,859,0,2,861,0
14,294,92,18,3,408,2,3,2,2,0,1,1,2,0,2,830,830,0,3,833,0
15,372,24,16,0,250,1,0,0,2,0,0,0,0,0,0,665,665,0,1,666,0
16,514,12,11,1,251,2,0,1,3,1,0,4,0,0,2,802,802,0,1,803,0
17,386,40,18,5,462,1,1,0,4,2,0,4,2,1,1,927,927,0,4,931,0
18,204,178,26,1,257,2,1,2,1,1,0,4,1,0,1,679,679,0,4,683,0
19,179,175,33,1,291,0,1,2,2,0,0,2,3,2,2,693,693,0,3,696,0
20,187,170,16,1,284,1,2,5,0,0,1,1,0,1,1,670,670,0,5,675,0
21,189,148,18,1,256,1,0,4,4,0,2,2,1,1,1,628,628,0,3,631,0
22,232,119,15,2,204,0,1,2,2,0,0,1,0,1,0,579,579,0,4,583,0
23,214,113,23,3,283,1,1,3,2,0,0,5,2,1,0,651,651,0,0,651,0
24,146,91,12,2,210,0,0,1,2,1,0,1,1,0,0,467,467,0,4,471,0
25,298,191,33,1,417,1,2,1,3,0,0,23,0,2,5,977,977,0,9,986,0
26,200,128,20,0,194,1,2,0,1,0,0,3,0,0,0,549,549,0,3,552,0
27,269,80,40,3,366,0,2,4,1,0,0,1,3,1,1,771,771,0,3,774,0
28,200,107,10,4,306,1,2,0,5,2,1,2,2,0,2,644,644,0,1,645,0
29,301,85,23,2,198,1,1,1,2,1,0,1,0,0,0,616,616,0,0,616,0
30,177,273,28,2,156,0,0,1,0,1,1,0,0,0,0,639,639,0,6,645,0
31,198,167,22,0,116,0,1,2,2,0,1,0,0,0,2,511,511,0,8,519,0
32,380,239,53,2,303,0,2,4,2,1,1,3,2,1,0,993,993,0,9,1002,0
33,237,244,22,2,316,1,3,3,2,0,1,2,13,2,2,850,850,0,1,851,0
34,202,146,25,0,245,3,1,3,4,1,0,2,0,0,2,634,634,0,5,639,0
35,204,262,36,3,319,0,3,4,2,1,1,0,1,2,1,839,839,0,8,847,0
36,146,327,24,2,187,1,2,1,3,2,0,0,0,0,0,695,695,0,8,703,0
37,378,130,46,4,421,1,5,1,1,3,2,3,1,3,1,1000,1000,0,13,1013,0
38,310,55,22,1,329,1,0,0,4,0,0,0,0,1,1,724,724,0,1,725,0
39,161,59,22,1,323,1,2,3,0,0,2,0,1,0,2,577,577,0,2,579,0
40,115,58,20,1,298,3,1,0,5,0,0,1,1,0,0,503,503,0,0,503,0
41,249,331,28,2,306,3,152,2,4,0,1,11,2,0,0,1091,1091,0,3,1094,0
42,269,257,28,4,350,0,13,1,4,0,2,5,0,0,1,934,934,0,5,939,0
43,144,135,25,4,305,0,7,3,2,1,1,7,2,1,1,638,638,0,3,641,0
44,213,106,24,2,467,2,2,0,2,0,0,1,1,1,0,821,821,0,1,822,0
45,401,25,16,0,331,2,1,3,0,1,0,2,0,0,0,782,782,0,2,784,0
46,299,29,42,4,408,0,2,2,5,2,0,1,0,1,1,796,796,0,3,799,0
47,268,34,29,3,322,1,0,1,1,0,0,0,0,0,0,659,659,0,1,660,0
48,250,114,22,1,337,0,1,1,2,0,0,0,0,2,1,731,731,0,3,734,0
49,242,198,31,3,452,3,0,1,4,0,2,4,2,0,2,944,944,0,6,950,0
50,715,0,4,0,101,0,0,3,0,0,0,0,0,0,2,825,825,0,3,828,0
51,561,0,5,0,83,0,1,2,0,0,0,0,0,0,0,652,652,0,1,653,0
52,662,3,6,1,107,0,0,0,1,0,0,0,0,0,0,780,780,0,0,780,0
53,682,6,12,1,139,0,0,1,0,1,0,0,0,1,0,843,843,0,1,844,0
54,686,2,6,0,128,0,0,3,0,0,0,0,0,0,1,826,826,0,3,829,0
55,771,17,10,0,97,0,0,0,0,1,0,0,0,0,0,896,896,0,2,898,0
56,565,6,7,1,105,0,3,1,0,0,1,0,0,0,0,689,689,0,2,691,0
57,376,10,9,2,212,1,0,2,2,0,0,0,1,0,1,616,616,0,4,620,0
58,432,4,14,1,203,1,0,1,1,0,0,1,1,0,0,659,659,0,2,661,0
59,492,5,12,2,219,0,1,1,2,0,1,0,1,1,1,738,738,0,3,741,0
60,722,6,5,1,118,1,0,1,1,0,0,0,0,0,0,855,855,0,2,857,0
61,421,2,1,0,46,0,0,0,0,0,0,0,0,0,0,470,470,0,0,470,0
62,778,12,2,0,87,0,0,1,0,0,0,1,0,0,0,881,881,0,2,883,0
63,791,5,6,0,78,0,0,2,1,0,0,0,0,1,0,884,884,0,5,889,0
64,713,4,5,1,105,0,0,3,1,0,0,0,0,0,0,832,832,0,3,835,0
65,568,2,7,1,118,1,0,0,1,0,0,0,0,0,0,698,698,0,2,700,0
66,385,2,0,0,28,0,0,0,0,0,0,0,0,0,0,415,415,0,1,416,0
67,553,3,13,0,124,0,0,1,1,0,0,0,0,0,0,695,695,0,0,695,0
68,382,1,4,0,122,1,1,0,0,0,0,1,0,0,0,512,512,0,0,512,0
69,739,4,2,1,167,0,1,1,1,0,0,1,0,0,0,917,917,0,0,917,0
70,365,6,14,0,138,0,0,3,0,0,0,1,0,0,0,527,527,0,4,531,0
71,249,7,12,1,193,0,0,0,1,0,0,0,0,0,0,463,463,0,0,463,0
72,820,6,1,0,46,0,0,1,0,0,0,0,0,0,0,874,874,0,2,876,0
73,247,28,11,4,330,2,1,0,0,0,0,0,0,0,0,623,623,0,3,626,0
74,144,53,6,10,194,0,0,1,1,0,1,0,0,0,0,410,410,0,0,410,0
75,585,58,18,4,228,3,0,1,1,1,1,1,1,0,2,904,904,0,4,908,0
76,326,45,20,1,434,2,0,0,3,0,2,0,2,0,0,835,835,0,4,839,0
77,711,4,5,0,109,0,0,2,2,0,0,1,0,0,0,834,834,0,2,836,0
78,373,7,27,1,363,0,0,2,1,1,2,1,0,1,0,779,779,0,3,782,0
79,443,5,4,0,135,1,2,1,4,0,0,1,0,0,1,597,597,0,7,604,0
80,387,2,5,1,138,0,0,0,0,0,0,0,0,0,0,533,533,0,1,534,0
81,519,10,9,2,215,1,2,3,5,0,0,1,1,1,0,769,769,0,5,774,0
82,462,3,5,2,217,0,0,0,2,0,0,1,1,0,0,693,693,0,8,701,0
83,514,5,5,1,210,0,1,1,1,0,0,2,0,0,0,740,740,0,4,744,0
84,627,12,5,0,301,0,0,2,1,0,0,1,0,2,0,951,951,0,4,955,0
85,564,2,6,1,231,1,0,4,1,0,0,2,0,0,0,812,812,0,6,818,0
86,291,49,18,6,452,2,1,0,2,1,3,9,0,0,2,836,836,0,2,838,0
87,599,41,5,1,119,0,1,4,0,0,0,0,0,0,0,770,770,0,0,770,0
88,310,212,23,0,384,0,0,1,2,0,2,2,0,0,3,939,939,0,5,944,0
89,275,221,32,1,343,0,2,1,2,0,1,1,1,0,1,881,881,0,6,887,0
90,327,251,36,3,305,0,0,1,1,0,0,0,0,1,2,927,927,0,8,935,0
91,282,191,32,1,224,1,2,3,2,0,0,3,1,0,3,745,745,0,6,751,0
92,320,128,25,4,359,1,3,6,6,0,2,3,2,1,1,861,861,0,3,864,0
93,348,110,22,3,428,3,0,3,3,2,0,4,2,0,0,928,928,0,11,939,0
94,229,61,24,8,351,4,1,1,0,1,1,3,9,0,0,693,693,0,1,694,0
95,179,45,11,3,246,1,0,1,1,0,0,0,4,1,0,492,492,0,2,494,0
96,273,99,31,6,495,2,1,1,1,0,1,1,1,0,2,914,914,0,6,920,0
97,177,66,30,2,415,1,0,2,2,0,0,2,3,0,0,700,700,0,3,703,0
98,203,72,19,1,416,1,0,2,2,0,0,0,3,0,0,719,719,0,4,723,0
99,236,108,20,2,510,1,1,1,1,0,4,2,3,1,2,892,892,0,4,896,0
100,233,108,34,1,343,0,0,1,1,0,1,0,6,1,0,729,729,0,3,732,0
101,217,29,25,2,326,1,0,2,2,0,2,1,1,0,1,609,609,0,1,610,0
102,258,70,39,0,373,1,1,1,2,0,1,0,2,0,0,748,748,0,3,751,0
103,319,55,45,1,511,1,0,1,2,1,1,0,1,1,0,939,939,0,8,947,0
104,295,40,41,1,413,1,0,0,3,0,0,0,4,0,0,798,798,0,1,799,0
105,218,37,41,1,278,0,0,2,0,1,0,0,1,0,1,580,580,0,6,586,0
106,151,58,15,1,151,0,0,0,0,0,0,0,0,1,0,377,377,0,1,378,0
107,224,54,24,3,323,1,0,0,1,1,0,1,1,2,0,635,635,0,3,638,0
108,235,73,34,0,281,1,0,1,0,0,0,0,1,0,0,626,626,0,5,631,0
109,197,88,28,1,231,0,0,1,2,0,0,0,1,1,0,550,550,0,4,554,0
110,268,136,27,0,320,0,1,0,1,0,0,0,3,0,0,756,756,0,5,761,0
111,250,132,43,1,428,1,0,3,2,1,0,1,1,0,0,863,863,0,9,872,0
112,230,82,28,2,435,1,2,0,1,0,0,0,2,0,0,783,783,0,0,783,0
113,137,30,11,3,270,0,0,0,4,0,0,1,4,0,0,460,460,0,4,464,0
114,173,40,24,1,256,0,0,1,2,0,0,1,3,0,0,501,501,0,0,501,0
115,185,64,25,0,320,0,2,2,0,0,0,0,2,0,0,600,600,0,7,607,0
116,204,85,26,2,335,1,1,0,1,0,0,0,2,1,1,659,659,0,4,663,0
117,293,40,21,1,469,0,2,3,2,0,1,2,1,0,0,835,835,0,1,836,0
118,203,127,15,0,289,0,1,0,2,1,1,1,2,1,1,644,644,0,7,651,0
119,173,48,12,1,194,0,0,0,3,0,0,0,6,1,0,438,438,0,4,442,0
120,116,50,47,1,142,1,0,1,0,0,0,0,4,1,1,364,364,0,4,368,0
121,78,31,33,0,112,1,0,1,0,0,0,0,3,0,1,260,260,0,3,263,0
122,212,153,30,2,292,6,0,1,3,1,0,0,0,0,2,702,702,0,5,707,0
123,204,85,36,1,297,1,1,2,2,2,0,2,0,0,1,634,634,0,9,643,0
124,253,25,12,2,225,0,0,0,0,0,0,0,11,0,1,529,529,0,3,532,0
125,176,91,25,1,379,2,0,0,2,0,0,3,8,0,1,688,688,0,5,693,0
126,76,105,20,0,216,0,0,0,0,0,0,0,0,1,2,420,420,0,7,427,0
127,265,91,29,1,412,1,2,3,4,0,0,1,2,0,0,811,811,0,3,814,0
128,91,43,29,1,85,0,0,0,2,0,0,0,2,0,0,253,253,0,1,254,0
129,86,21,20,0,59,0,0,1,0,0,0,0,0,0,0,187,187,0,0,187,0
130,119,115,14,0,228,0,0,0,2,0,1,0,2,0,0,481,481,0,0,481,0
131,163,134,32,4,359,0,0,2,0,0,0,3,5,2,1,705,705,0,4,709,0
132,224,96,42,0,344,0,0,0,3,0,0,2,0,1,0,712,712,0,1,713,0
133,240,149,34,0,282,0,0,0,1,2,0,0,1,1,1,711,711,0,1,712,0
134,146,155,21,0,230,0,0,1,0,0,1,1,1,0,2,558,558,0,2,560,0
135,218,168,21,0,216,0,0,0,1,0,0,1,1,0,0,626,626,0,3,629,0
136,147,136,10,0,300,0,0,1,1,1,0,0,2,0,3,601,601,0,3,604,0
137,269,43,17,6,378,0,1,0,1,3,0,1,26,0,0,745,745,0,5,750,0
138,615,19,24,2,415,3,0,3,3,0,0,1,1,0,0,1086,1086,0,3,1089,0
139,661,18,48,0,239,1,0,3,0,0,0,1,0,0,1,972,972,0,0,972,0
140,167,205,30,1,161,1,4,1,4,1,0,0,1,1,1,578,578,0,5,583,0
141,191,178,8,3,242,2,2,1,4,1,0,2,1,0,1,636,636,0,3,639,0
142,346,210,22,2,345,1,1,4,1,2,3,4,3,3,5,952,952,0,9,961,0
143,173,175,21,2,291,0,0,0,4,0,0,0,1,0,0,667,667,0,4,671,0
144,267,116,31,4,335,1,0,1,3,0,0,2,1,0,3,764,764,0,1,765,0
145,255,171,17,4,373,0,0,1,3,1,2,1,1,0,1,830,830,0,10,840,0
146,233,139,22,3,403,0,1,0,4,0,0,0,0,2,1,808,808,0,5,813,0
147,195,73,34,2,267,0,0,0,0,0,0,0,2,0,4,577,577,0,5,582,0
148,172,145,37,3,344,2,1,1,3,0,0,1,2,0,1,712,712,0,5,717,0
149,271,186,28,3,381,2,1,0,2,1,0,3,0,1,5,884,884,0,6,890,0
150,243,229,29,1,424,1,0,3,4,0,1,5,2,2,1,945,945,0,3,948,0
151,194,110,22,7,524,3,2,0,4,1,1,3,1,0,2,874,874,0,7,881,0
152,175,186,17,3,225,0,3,1,4,1,0,1,0,0,1,617,617,0,3,620,0
153,317,39,27,21,466,0,0,5,1,1,0,1,2,0,1,881,881,0,2,883,0
154,256,20,23,21,303,1,1,0,0,0,0,0,1,0,0,626,626,0,2,628,0
155,257,66,20,2,370,1,0,1,2,1,0,1,0,3,0,724,724,0,3,727,0
156,221,197,30,3,368,0,1,1,3,0,0,2,0,1,0,827,827,0,4,831,0
157,157,218,21,1,211,1,1,0,1,0,0,1,1,2,0,615,615,0,2,617,0
158,165,158,23,1,288,0,1,2,1,0,1,0,1,2,2,645,645,0,4,649,0
159,221,166,33,3,299,0,2,0,2,1,0,5,0,1,0,733,733,0,10,743,0
160,176,149,24,1,318,0,0,0,3,0,1,2,0,0,0,674,674,0,3,677,0
161,248,183,38,1,425,0,0,1,4,0,1,1,0,2,2,906,906,0,4,910,0
162,220,127,16,0,320,2,1,0,0,0,0,5,0,0,1,692,692,0,4,696,0
163,180,93,12,6,300,1,0,1,4,0,1,1,1,1,0,601,601,0,3,604,0
164,97,54,13,1,237,1,0,0,3,0,0,0,2,0,0,408,408,0,1,409,0
165,224,99,31,4,302,0,0,0,2,0,0,0,1,0,0,663,663,0,4,667,0
166,211,138,34,1,372,2,0,1,1,0,1,0,2,1,0,764,764,0,6,770,0
167,224,156,15,2,313,1,1,1,2,0,1,4,1,0,0,721,721,0,7,728,0
168,292,142,43,2,460,1,1,0,3,0,1,4,0,1,1,951,951,0,5,956,0
169,146,169,35,1,228,0,0,2,0,0,0,2,0,0,0,583,583,0,7,590,0
170,200,127,45,1,316,2,0,1,0,0,0,0,0,1,1,694,694,0,2,696,0
171,216,74,17,3,326,0,1,0,0,0,0,0,23,0,2,662,662,0,4,666,0
172,276,22,5,1,250,2,0,1,1,1,0,1,7,0,0,567,567,0,2,569,0
173,192,41,9,2,209,1,1,1,2,0,0,0,7,0,1,466,466,0,3,469,0
174,209,25,11,4,326,0,0,1,0,0,0,0,19,0,0,595,595,0,1,596,0
175,204,98,30,2,232,0,0,1,0,0,0,0,0,0,1,568,568,0,2,570,0
176,294,83,26,2,279,1,0,1,0,0,1,0,1,2,0,690,690,0,3,693,0
177,280,28,27,7,495,1,0,2,2,0,1,1,21,3,0,868,868,0,3,871,0
178,313,22,29,3,473,1,0,0,0,0,0,1,43,0,0,885,885,0,7,892,0
179,235,18,7,2,258,0,0,0,1,0,1,0,66,0,1,589,589,0,4,593,0
180,287,36,11,3,288,1,1,0,0,0,0,1,56,0,1,685,685,0,3,688,0
181,224,27,17,1,299,2,1,1,2,0,0,0,48,0,0,622,622,0,3,625,0
182,280,17,10,3,223,0,0,1,2,0,1,0,50,1,0,588,588,0,4,592,0
183,239,90,26,1,328,1,2,1,1,1,0,0,2,0,0,692,692,0,3,695,0
184,176,28,16,2,329,1,0,1,1,0,0,0,16,0,1,571,571,0,2,573,0
185,417,57,17,0,262,1,0,3,2,0,0,0,5,0,0,764,764,0,6,770,0
186,295,25,26,4,291,1,0,2,1,0,0,1,3,0,1,650,650,0,5,655,0
187,293,96,32,3,442,3,0,1,1,1,0,2,0,2,1,877,877,0,3,880,0
188,195,102,28,1,295,0,0,0,0,0,0,0,0,0,2,623,623,0,1,624,0
189,448,43,29,3,305,0,0,0,0,0,0,0,6,0,0,834,834,0,1,835,0
190,194,55,26,1,200,2,1,1,2,0,0,0,6,0,0,488,488,0,2,490,0
191,246,163,18,1,415,0,0,4,0,0,0,0,0,0,2,849,849,0,2,851,0
192,139,68,19,0,165,0,0,0,1,0,1,0,0,0,0,393,393,0,2,395,0
193,173,98,22,1,229,0,0,2,1,0,1,0,0,0,0,527,527,0,3,530,0
194,282,152,29,0,314,0,0,2,0,0,0,0,0,0,0,779,779,0,5,784,0
195,202,74,22,0,257,0,0,1,0,1,0,1,0,0,0,558,558,0,8,566,0
196,99,45,13,0,134,0,0,0,0,0,0,0,0,1,0,292,292,0,3,295,0
197,134,181,11,0,155,0,0,0,0,0,0,0,0,0,0,481,481,0,7,488,0
198,297,117,40,11,367,2,1,1,2,0,0,0,1,0,1,840,840,0,7,847,0
199,297,32,24,7,543,1,0,1,0,0,2,0,3,0,0,910,910,0,6,916,0
200,339,13,19,10,557,2,1,2,5,0,0,2,2,0,0,952,952,0,2,954,0
201,287,18,25,3,297,0,0,1,0,0,0,0,3,0,0,634,634,0,4,638,0
202,392,22,36,0,369,2,0,4,2,0,0,0,11,0,0,838,838,0,5,843,0
203,323,51,31,6,442,1,2,0,1,1,0,1,17,0,0,876,876,0,4,880,0
204,296,68,45,5,458,0,0,1,4,0,0,1,6,0,0,884,884,0,11,895,0
205,290,34,7,1,248,0,0,1,0,0,0,0,1,1,0,583,583,0,1,584,0
206,314,42,15,2,222,0,0,3,0,0,0,0,1,1,0,600,600,0,4,604,0
207,305,12,19,0,303,1,0,0,2,1,0,2,2,0,0,647,647,0,2,649,0
208,357,21,16,1,244,1,0,3,0,0,0,0,0,0,0,643,643,0,5,648,0
209,227,59,18,1,320,2,0,0,2,0,0,1,1,0,1,632,632,0,3,635,0
210,307,78,24,1,364,0,0,1,0,0,0,0,1,0,1,777,777,0,2,779,0
211,253,117,31,1,395,3,2,0,1,1,0,0,0,1,0,805,805,0,5,810,0
212,195,69,37,1,313,1,1,2,1,0,0,0,0,0,0,620,620,0,2,622,0
213,87,34,18,2,138,0,0,0,3,0,0,0,0,0,0,282,282,0,2,284,0
214,236,28,30,6,497,2,0,1,2,1,0,4,6,1,1,815,815,0,2,817,0
215,336,29,23,5,509,0,2,0,2,0,1,1,14,2,0,924,924,0,9,933,0
216,210,59,32,0,294,1,0,2,4,0,1,1,1,1,0,606,606,0,5,611,0
217,209,95,27,0,293,1,0,0,3,1,0,1,2,0,0,632,632,0,1,633,0
218,300,161,24,1,434,0,3,2,3,1,0,2,1,0,1,933,933,0,2,935,0
219,193,228,32,4,306,0,0,1,0,0,0,2,1,1,1,769,769,0,7,776,0
220,415,48,19,0,404,0,0,1,3,0,1,0,4,0,2,897,897,0,1,898,0
221,242,51,19,1,412,0,2,0,1,1,0,1,1,0,1,732,732,0,3,735,0
222,300,97,30,2,381,1,0,3,2,0,0,1,0,0,0,817,817,0,1,818,0
223,286,118,38,0,444,0,0,4,1,0,1,1,0,1,0,894,894,0,7,901,0
224,197,117,25,3,327,0,1,2,2,1,0,0,3,0,0,678,678,0,2,680,0
225,182,93,40,1,390,1,2,1,4,1,3,1,0,0,0,719,719,0,3,722,0
226,216,125,36,3,403,1,0,1,2,0,1,1,0,1,0,790,790,0,4,794,0
227,239,78,26,2,329,0,1,0,3,0,0,0,0,3,0,681,681,0,5,686,0
228,282,108,21,1,349,2,1,0,2,0,0,3,0,0,0,769,769,0,1,770,0
229,323,48,23,1,360,1,0,0,2,0,0,0,8,1,2,769,769,0,6,775,0
230,334,84,31,7,405,1,0,3,2,0,0,1,3,0,0,871,871,0,5,876,0
231,185,176,15,1,277,1,1,2,3,2,1,1,0,0,2,667,667,0,7,674,0
232,248,213,27,2,276,1,1,0,1,0,0,0,1,0,2,772,772,0,6,778,0
233,345,172,24,6,383,1,0,1,2,1,0,3,1,1,0,940,940,0,5,945,0
234,287,144,41,5,499,0,4,7,3,0,1,3,8,0,3,1005,1005,0,14,1019,0
235,195,101,28,0,304,0,1,1,2,0,0,0,0,0,0,632,632,0,7,639,0
236,155,92,31,2,283,2,0,3,1,0,0,0,0,0,0,569,569,0,4,573,0
237,153,125,37,3,285,0,0,2,0,0,0,0,1,0,1,607,607,0,2,609,0
238,336,34,36,10,510,2,0,1,2,0,0,1,4,0,0,936,936,0,3,939,0
239,233,110,16,2,287,1,3,21,2,0,0,1,1,1,0,678,678,0,3,681,0
240,174,55,11,3,244,1,0,2,0,0,0,2,0,2,0,494,494,0,2,496,0
241,376,45,27,2,313,1,1,4,1,0,0,0,1,1,1,773,773,0,4,777,0
242,257,126,27,3,473,4,1,4,2,3,0,4,1,0,2,907,907,0,3,910,0
243,362,120,29,0,320,0,1,2,2,1,0,0,0,0,0,837,837,0,0,837,0
244,202,75,21,3,243,0,0,3,2,0,0,3,0,0,0,552,552,0,2,554,0
245,192,159,28,4,289,1,2,5,2,0,2,2,0,0,1,687,687,0,2,689,0
246,292,105,33,8,301,0,0,4,0,0,2,0,1,1,0,747,747,0,6,753,0
