Polling Station No,Candidate_1,UPPA K R S,NAYEKIHTRAK.P,AYINOS.A,DAHSRI.M.S,DASARP ARAHDIRIG.S,NAPPAYINUM.K,MAGAYAANIV.M.K,ALAMIV.K,NANNAK HTONIV.M.M,RAMUKHTONIV.M,UPPA.S,RAMUK NAHDAM.S,LAMAKJAR.S,NAHTANAGOL.M,RAMUK AYAJIV.U,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,152,459,14,0,1,0,0,0,305,1,0,1,0,0,0,933,933,0,6,939,0
2,147,437,11,0,1,0,0,0,290,4,0,1,0,0,1,892,892,0,2,894,0
3,222,314,21,3,0,0,2,1,424,1,1,1,2,0,3,995,995,0,3,998,0
4,152,378,18,1,0,0,0,0,350,0,1,1,0,0,0,901,901,0,4,905,0
5,61,405,7,1,0,0,0,0,187,0,0,0,1,0,1,663,663,0,3,666,0
6,88,595,6,1,0,0,0,1,211,1,0,0,0,1,2,906,906,0,2,908,0
7,61,394,3,0,0,0,0,1,192,0,1,0,0,0,1,653,653,0,0,653,0
8,124,389,12,1,0,0,0,1,262,0,0,0,0,0,0,789,789,0,3,792,0
9,119,463,5,0,0,0,0,0,248,0,0,1,0,0,1,837,837,0,1,838,0
10,174,293,10,0,0,0,0,0,274,1,0,0,0,0,1,753,753,0,2,755,0
11,48,493,8,0,1,0,1,0,238,0,0,0,0,0,3,792,792,0,0,792,0
12,165,300,11,1,0,0,0,1,356,0,0,1,0,0,2,837,837,0,3,840,0
13,98,294,13,0,0,0,0,1,367,2,3,1,0,0,0,779,779,0,3,782,0
14,133,268,9,0,0,0,0,0,340,1,0,1,0,1,0,753,753,0,1,754,0
15,129,459,7,2,0,0,1,1,339,1,0,0,0,0,1,940,940,0,5,945,0
16,77,441,9,0,0,0,2,1,304,2,0,1,0,0,1,838,838,0,0,838,0
17,112,155,17,0,0,0,1,1,284,0,0,0,0,0,2,572,572,0,2,574,0
18,62,89,8,0,0,0,1,0,207,0,1,0,0,0,0,368,368,0,2,370,0
19,159,244,8,1,0,1,0,1,298,0,0,0,0,0,0,712,712,0,1,713,0
20,98,143,13,1,0,0,0,3,339,2,0,1,0,0,0,600,600,0,2,602,0
21,347,149,6,1,0,0,0,0,233,0,0,0,0,0,0,736,736,0,2,738,0
22,289,149,14,0,0,0,1,3,316,1,0,1,0,0,0,774,774,0,6,780,0
23,92,56,5,0,0,0,0,1,152,0,0,0,0,0,0,306,306,0,2,308,0
24,262,177,10,1,0,0,0,3,372,0,0,0,0,0,1,826,826,0,3,829,0
25,261,149,19,0,0,0,0,0,295,1,1,0,0,0,0,726,726,0,1,727,0
26,149,131,7,0,0,0,0,1,206,2,1,0,0,0,0,497,497,0,0,497,0
27,151,117,12,0,1,0,0,0,185,0,0,0,0,0,1,467,467,0,0,467,0
28,246,229,5,1,1,0,1,1,314,0,0,0,0,0,0,798,798,0,2,800,0
29,208,260,8,0,1,0,0,0,238,0,0,0,0,0,2,717,717,0,2,719,0
30,278,205,18,0,1,1,2,1,530,0,1,4,0,1,0,1042,1042,0,1,1043,0
31,156,252,13,2,0,0,0,0,256,0,0,1,0,0,0,680,680,0,1,681,0
32,40,114,3,0,0,0,0,2,178,0,0,0,0,0,0,337,337,0,1,338,0
33,136,325,14,1,0,0,0,0,268,1,0,0,0,1,0,746,746,0,3,749,0
34,297,107,17,2,0,0,0,1,321,3,2,0,0,0,1,751,751,0,1,752,0
35,197,154,15,0,1,0,0,0,251,1,0,1,1,0,0,621,621,0,1,622,0
36,205,173,17,0,1,0,0,5,319,0,1,1,0,0,0,722,722,0,3,725,0
37,168,98,4,0,0,0,1,1,155,1,0,0,0,0,0,428,428,0,0,428,0
38,124,340,10,0,1,0,0,1,429,0,0,2,0,0,0,907,907,0,2,909,0
39,136,256,14,0,1,0,0,0,304,0,1,0,0,0,2,714,714,0,4,718,0
40,277,99,11,1,0,0,0,0,317,1,0,0,0,0,0,706,706,0,6,712,0
41,210,62,3,0,1,0,1,1,176,0,1,0,0,0,0,455,455,0,3,458,0
42,187,110,14,0,0,0,0,0,258,0,0,0,0,0,0,569,569,0,5,574,0
43,262,112,9,1,0,0,1,0,227,1,0,0,0,2,1,616,616,0,2,618,0
44,185,216,12,0,1,0,1,2,312,1,0,0,0,0,1,731,731,0,2,733,0
45,264,154,23,0,1,0,0,0,317,0,0,0,0,0,2,761,761,0,2,763,0
46,246,165,6,0,0,0,1,0,331,0,0,0,0,1,1,751,751,0,0,751,0
47,314,146,13,0,2,1,2,0,433,0,0,1,1,0,4,917,917,0,5,922,0
48,123,576,13,0,0,0,0,0,293,0,0,0,1,0,1,1007,1007,0,3,1010,0
49,121,310,6,0,0,0,0,0,177,0,0,0,0,0,0,614,614,0,3,617,0
50,189,169,12,1,0,0,0,2,352,0,0,0,0,0,2,727,727,0,1,728,0
51,170,273,9,0,1,2,0,0,240,1,1,0,0,1,0,698,698,0,2,700,0
52,274,143,3,0,0,0,0,0,107,1,1,1,0,0,0,530,530,0,2,532,0
53,86,351,2,0,1,0,0,0,149,0,0,0,0,0,1,590,590,0,2,592,0
54,31,295,4,0,0,0,0,0,135,0,0,0,0,0,1,466,466,0,0,466,0
55,127,148,10,0,0,0,0,3,246,0,0,0,0,1,0,535,535,0,1,536,0
56,69,256,4,0,0,1,0,0,131,1,0,2,0,0,0,464,464,0,1,465,0
57,45,566,8,2,0,0,0,3,176,2,0,2,0,0,2,806,806,0,2,808,0
58,150,390,8,0,1,0,1,1,283,0,1,0,0,0,1,836,836,0,1,837,0
