Polling Station No,Candidate_1,NALAME.J,AMAHTOHSURUP AHTIRAP G.N,PADARP.B.K,NASARAVOOP.T,AHSA.K,UDNIS.K,LAHTIBAHT.K,A.NARAKABUS,IHTAMUS.M,NABURIHTAM HTARAHB,HSEJAR.A,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,26,302,228,3,6,326,1,8,2,4,4,910,910,0,2,912,0
2,23,345,158,3,6,376,1,3,0,6,1,922,922,0,3,925,0
3,20,261,181,0,1,309,1,1,0,1,1,776,776,0,3,779,0
4,19,270,74,0,1,206,4,4,2,2,1,583,583,0,2,585,0
5,14,274,194,2,0,172,0,2,1,0,0,659,659,0,1,660,0
6,10,265,158,0,3,300,1,1,0,2,1,741,741,0,1,742,0
7,40,214,157,3,4,278,0,3,1,1,3,704,704,0,3,707,0
8,26,400,86,6,1,200,3,5,1,2,5,735,735,0,3,738,0
9,23,191,177,5,3,395,1,0,2,0,1,798,798,0,1,799,0
10,20,420,159,2,2,236,3,1,0,1,2,846,846,0,2,848,0
11,27,317,215,1,4,311,1,4,1,1,0,882,882,0,1,883,0
12,21,465,98,0,0,202,0,3,0,0,0,789,789,0,0,789,0
13,36,393,223,0,3,386,1,3,0,4,1,1050,1050,0,7,1057,0
14,15,279,116,2,6,297,3,1,0,0,0,719,719,0,4,723,0
15,20,314,113,1,4,317,1,4,0,0,3,777,777,0,3,780,0
16,32,406,84,0,0,209,3,1,1,1,0,737,737,0,5,742,0
17,35,354,128,2,0,177,2,5,0,0,0,703,703,0,3,706,0
18,17,689,105,1,1,112,1,1,1,1,1,930,930,0,4,934,0
19,20,269,36,2,1,118,0,1,0,1,0,448,448,0,0,448,0
20,12,167,126,0,2,185,0,0,1,1,0,494,494,0,0,494,0
21,33,326,140,2,4,411,2,2,0,1,0,921,921,0,2,923,0
22,20,348,145,1,0,186,1,0,0,4,0,705,705,0,1,706,0
23,9,88,66,1,2,202,1,2,0,1,1,373,373,0,0,373,0
24,24,367,115,1,0,207,0,3,0,1,1,719,719,0,5,724,0
25,24,437,225,2,0,233,1,5,0,1,2,930,930,0,4,934,0
26,13,370,76,2,2,196,1,1,0,1,1,663,663,0,5,668,0
27,32,374,137,0,1,221,0,0,0,1,0,766,766,0,0,766,0
28,24,197,226,2,1,286,2,3,2,1,2,746,746,0,2,748,0
29,7,75,319,0,2,197,0,1,0,2,0,603,603,0,2,605,0
30,11,180,326,2,1,232,1,4,0,1,2,760,760,0,4,764,0
31,16,116,302,4,3,349,2,5,1,4,2,804,804,0,4,808,0
32,33,272,209,2,1,498,4,0,0,0,0,1019,1019,0,4,1023,0
33,6,92,418,4,1,323,4,3,0,0,1,852,852,0,3,855,0
34,11,51,583,2,0,196,0,0,1,1,0,845,845,0,2,847,0
35,10,88,488,4,1,188,0,5,1,5,0,790,790,0,4,794,0
36,12,98,566,3,2,205,2,2,0,0,0,890,890,0,1,891,0
37,8,44,602,2,4,150,0,2,0,3,1,816,816,0,2,818,0
38,8,66,441,3,1,158,0,5,0,2,0,684,684,0,1,685,0
39,9,25,510,1,0,123,2,2,1,1,0,674,674,0,1,675,0
40,22,237,220,0,0,349,0,0,0,0,0,828,828,0,3,831,0
41,16,171,124,2,0,255,1,2,0,0,0,571,571,0,2,573,0
42,22,170,157,1,0,256,0,1,0,1,0,608,608,0,3,611,0
43,24,255,248,0,2,303,2,1,1,1,1,838,838,0,3,841,0
44,17,238,218,1,1,286,1,2,0,1,1,766,766,0,5,771,0
45,21,261,188,1,1,303,1,1,0,1,0,778,778,0,4,782,0
46,7,35,687,1,2,131,0,2,0,0,1,866,866,0,2,868,0
47,12,278,214,1,3,310,0,1,1,0,2,822,822,0,0,822,0
48,6,206,207,1,7,409,1,0,0,0,0,837,837,0,3,840,0
49,21,246,155,1,1,320,1,2,1,3,1,752,752,0,0,752,0
50,27,291,150,0,1,347,0,3,0,2,1,822,822,0,2,824,0
51,15,175,214,2,1,287,3,0,0,0,0,697,697,0,4,701,0
52,11,80,238,2,0,176,3,0,0,0,0,510,510,0,1,511,0
53,8,38,226,0,0,162,2,1,0,0,0,437,437,0,9,446,0
54,18,216,131,0,1,217,1,0,0,0,1,585,585,0,1,586,0
55,16,232,159,1,0,246,1,0,0,0,0,655,655,0,7,662,0
56,15,226,140,2,1,268,0,1,0,1,0,654,654,0,2,656,0
57,23,182,131,0,0,198,1,0,0,2,0,537,537,0,5,542,0
58,12,187,153,0,1,232,3,2,0,1,1,592,592,0,4,596,0
