Polling Station No,SUBRAMANI.P,SENDHIL KUMAR.G,MURUGESAN.G,ANBARASU.P,SUNDARAMMAL,SYED FAROOQ BASHA SSB,SYED BHURHANUDEEN,DEVENDRAN.J,ABDUL WAHID.A,SRINIVASAN.A,SELVARAJ.M,NAVEEN.R,MANJUNATH.K,MANOJ.S,RAJESH.T,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,1,449,23,4,3,205,263,0,0,1,0,0,2,3,1,955,0,3,958,0
2,1,348,12,1,4,105,190,1,1,0,0,0,0,2,0,665,0,1,666,0
3,4,299,32,2,1,173,331,2,1,0,1,1,0,2,0,849,0,1,850,0
4,2,360,35,0,3,192,303,0,1,0,0,0,1,0,1,898,0,3,901,0
5,0,218,28,0,0,142,100,0,0,0,0,1,0,1,1,491,0,1,492,0
6,1,163,16,2,1,97,141,0,0,0,0,2,1,0,1,425,0,3,428,0
7,3,201,12,0,5,117,214,0,0,0,0,1,0,1,0,554,0,2,556,0
8,4,220,11,3,1,83,160,1,0,2,0,0,0,0,0,485,0,0,485,0
9,0,178,9,0,2,145,182,0,0,0,0,0,0,0,2,518,0,0,518,0
10,3,275,21,0,2,146,241,0,0,0,0,0,0,0,0,688,0,0,688,0
11,5,308,23,2,3,176,315,3,0,2,0,1,1,1,0,840,0,4,844,0
12,0,298,17,0,1,151,196,0,1,0,1,1,0,0,1,667,0,4,671,0
13,3,247,17,1,0,127,190,1,0,0,0,1,0,0,0,587,0,3,590,0
14,6,418,35,1,1,179,241,0,1,1,0,0,2,0,0,885,0,3,888,0
15,0,181,21,0,2,151,219,0,1,0,0,0,1,0,1,577,0,2,579,0
16,4,168,15,0,2,132,208,1,0,2,0,0,0,3,2,537,0,2,539,0
17,8,238,10,0,1,95,204,1,0,0,1,0,0,0,1,559,0,0,559,0
18,2,227,22,0,2,151,283,1,0,1,0,1,0,4,0,694,0,0,694,0
19,5,430,42,1,6,178,334,0,1,1,2,5,2,1,1,1009,0,5,1014,0
20,4,344,21,4,5,240,338,1,0,0,1,0,0,0,0,958,0,3,961,0
21,8,307,43,0,0,120,255,0,0,1,1,1,1,1,1,739,0,2,741,0
22,1,289,37,2,3,129,289,1,0,1,0,0,2,1,0,755,0,1,756,0
23,0,277,19,0,4,196,312,3,1,0,0,0,0,0,0,812,0,2,814,0
24,1,279,20,0,1,97,149,0,0,0,0,0,0,1,0,548,0,0,548,0
25,0,181,8,1,2,214,137,1,0,0,0,0,0,0,0,544,0,3,547,0
26,2,383,25,1,0,172,354,0,0,0,2,0,0,0,2,941,0,4,945,0
27,1,318,13,4,1,177,388,0,1,1,0,1,2,2,1,910,0,2,912,0
28,1,62,6,0,2,433,154,1,0,0,0,0,0,0,0,659,0,0,659,0
29,0,30,1,0,0,492,87,1,0,0,0,0,0,0,1,612,0,2,614,0
30,1,83,4,0,2,540,130,1,0,1,0,0,0,0,1,763,0,1,764,0
31,6,347,41,0,1,234,383,1,0,0,0,0,0,1,0,1014,0,0,1014,0
32,0,38,5,0,6,493,121,0,1,0,0,0,0,0,1,665,0,2,667,0
33,2,71,19,0,3,632,199,1,0,0,0,1,1,1,0,930,0,2,932,0
34,0,30,5,0,0,434,87,0,0,0,0,0,1,0,0,557,0,1,558,0
35,1,14,1,0,2,443,63,0,0,1,1,0,1,0,0,527,0,0,527,0
36,6,278,28,0,1,253,298,0,0,0,1,0,0,0,1,866,0,2,868,0
37,4,466,42,2,2,168,333,1,1,1,1,1,0,1,0,1023,0,2,1025,0
38,0,247,15,0,0,122,220,1,0,0,0,0,0,0,0,605,0,4,609,0
39,1,341,27,0,1,228,383,2,2,1,0,0,3,0,1,990,0,4,994,0
40,3,127,17,1,1,122,200,1,1,0,1,0,0,1,1,476,0,0,476,0
41,2,307,27,1,1,245,407,1,0,0,2,2,0,2,1,998,0,2,1000,0
42,2,236,18,0,3,157,265,0,0,0,0,0,0,0,0,681,0,3,684,0
43,3,137,14,0,3,100,80,0,0,0,0,0,0,0,0,337,0,0,337,0
44,0,188,25,3,1,255,276,1,0,1,0,1,1,0,0,752,0,1,753,0
45,2,280,35,1,2,176,303,1,1,0,0,1,1,1,1,805,0,4,809,0
46,6,309,28,2,1,200,283,4,2,2,0,2,1,2,0,842,0,3,845,0
47,0,132,30,1,4,80,267,1,0,0,1,0,0,0,0,516,0,1,517,0
48,2,136,13,1,3,140,124,1,0,0,0,0,4,1,2,427,0,3,430,0
49,2,282,30,2,2,172,374,1,2,2,1,1,0,4,2,877,0,2,879,0
50,2,238,27,1,5,216,218,0,0,1,1,3,0,1,1,714,0,1,715,0
51,3,186,27,0,1,165,211,1,1,0,0,0,1,1,1,598,0,1,599,0
52,1,248,23,0,6,140,271,0,0,0,0,0,0,0,0,689,0,1,690,0
53,1,369,34,3,3,36,374,1,3,3,0,0,0,1,2,830,0,1,831,0
54,4,320,42,1,4,105,327,0,1,1,1,0,2,0,1,809,0,1,810,0
55,4,331,17,1,5,82,308,0,0,0,0,1,0,2,2,753,0,4,757,0
56,2,220,11,0,1,53,191,1,0,0,0,0,1,0,0,480,0,1,481,0
57,4,244,25,0,2,141,218,0,0,1,1,0,0,2,2,640,0,1,641,0
58,4,162,19,1,2,126,142,1,0,1,0,1,1,1,1,462,0,1,463,0
59,0,127,22,0,1,88,281,0,0,0,0,1,0,0,0,520,0,0,520,0
60,1,199,6,0,3,146,119,0,0,0,0,2,0,0,0,476,0,2,478,0
61,1,272,33,0,2,248,266,3,1,4,0,0,0,2,2,834,0,5,839,0
62,2,257,24,0,1,204,281,10,0,0,0,1,0,0,0,780,0,2,782,0
63,1,219,17,0,0,218,275,2,0,1,0,0,0,0,1,734,0,0,734,0
64,2,445,38,1,3,148,269,1,0,0,0,0,1,0,0,908,0,3,911,0
65,2,250,16,1,1,163,194,0,0,0,0,1,0,0,0,628,0,1,629,0
66,1,193,18,2,2,160,236,0,0,0,0,0,0,0,0,612,0,3,615,0
67,3,152,16,1,3,107,318,4,0,3,1,0,0,0,1,609,0,0,609,0
68,0,144,18,0,2,145,255,1,1,1,0,0,0,4,0,571,0,3,574,0
69,1,51,5,1,1,535,77,1,0,1,0,0,0,1,0,674,0,1,675,0
70,0,4,1,0,3,412,43,0,0,0,1,0,1,0,0,465,0,1,466,0
71,1,11,0,0,0,602,62,0,0,0,0,0,0,0,0,676,0,1,677,0
72,1,20,4,0,2,350,122,0,0,0,0,0,1,0,0,500,0,0,500,0
73,0,29,3,0,2,373,126,0,0,0,0,0,0,0,0,533,0,1,534,0
74,0,12,2,0,1,568,78,0,0,0,0,0,0,0,0,661,0,0,661,0
75,0,4,1,2,0,547,68,0,0,0,0,0,1,0,0,623,0,1,624,0
76,1,16,0,0,0,547,50,0,0,0,0,0,0,0,0,614,0,0,614,0
77,1,205,5,0,1,274,235,1,0,0,0,0,0,0,2,724,0,1,725,0
78,0,204,11,0,0,70,193,0,0,1,0,0,0,0,0,479,0,3,482,0
79,2,199,10,0,0,87,179,0,0,0,0,0,0,1,0,478,0,3,481,0
80,4,234,14,0,0,94,224,0,0,0,0,0,0,0,0,570,0,2,572,0
81,3,216,11,0,0,123,282,0,0,3,2,2,0,0,0,642,0,4,646,0
82,2,194,15,1,2,101,206,0,1,0,0,0,0,0,0,522,0,3,525,0
83,1,202,14,0,2,148,365,0,1,0,0,0,0,0,1,734,0,4,738,0
84,0,156,5,0,2,183,257,0,0,1,1,0,0,0,0,605,0,0,605,0
85,1,62,5,0,0,181,290,0,1,0,1,0,0,0,0,541,0,1,542,0
86,0,150,7,1,0,90,150,1,0,0,0,0,0,0,1,400,0,7,407,0
87,0,154,6,0,1,92,150,0,0,0,0,0,0,0,0,403,0,2,405,0
88,3,275,13,0,1,127,231,0,0,0,0,0,0,1,0,651,0,2,653,0
89,1,84,6,0,1,570,97,0,0,0,0,0,0,0,0,759,0,6,765,0
90,0,15,3,0,1,523,56,0,0,0,0,0,0,0,0,598,0,2,600,0
91,2,22,1,0,1,450,40,0,0,0,1,0,0,0,1,518,0,0,518,0
92,2,47,5,0,1,435,94,0,0,0,0,0,0,0,0,584,0,1,585,0
93,0,36,12,0,1,410,54,0,0,0,0,0,0,0,0,513,0,2,515,0
94,0,5,1,0,0,507,39,0,0,0,0,0,0,0,0,552,0,1,553,0
95,1,11,0,0,0,433,38,1,0,0,0,0,1,0,0,485,0,0,485,0
96,3,7,0,0,1,459,49,0,0,0,0,0,0,0,0,519,0,0,519,0
