Polling Station No,KAVITHADHANDAPANI,SASIREKHA K,SIVAKUMAR V C,VEERAMANI K.C.,KALASTHIRI S,KRISHNAMOORTHY D,SANKAR T.K,SASI REKA Y,SENTHAMILSELVAN M,MUNISAMY C,KAVITHA C,KAVITHA T,KAMATCHI S,CHENRAYAN A,CHENNA KESAVAN C,THANGARAJ P,PRIYA K,MOHANRAJ R,VEERAMANI H,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,147,18,0,295,3,0,0,0,2,204,0,0,0,2,0,1,0,0,0,672,0,0,672,0
2,158,14,2,279,2,0,1,0,2,162,0,1,1,1,0,1,1,0,0,625,0,1,626,0
3,152,10,0,268,0,0,0,1,1,207,0,1,0,0,0,2,1,0,1,644,0,2,646,0
4,174,8,0,321,2,0,0,1,0,220,2,1,0,1,0,2,1,0,0,733,0,7,740,0
5,222,8,0,249,2,0,0,0,1,218,1,0,0,0,1,0,0,0,0,702,0,0,702,0
6,154,7,0,259,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,574,0,0,574,0
7,166,11,0,239,1,0,1,2,4,175,0,0,0,0,0,1,1,0,1,602,0,0,602,0
8,204,10,0,200,0,0,1,0,6,149,0,0,0,2,1,2,1,0,0,576,0,2,578,0
9,193,15,0,258,3,3,0,2,1,208,1,0,1,1,1,3,1,0,0,691,0,1,692,0
10,102,9,2,215,3,3,0,2,2,166,2,0,3,0,3,3,0,0,1,516,0,3,519,0
11,196,19,3,398,2,2,1,1,1,208,0,0,0,1,1,1,1,0,1,836,0,1,837,0
12,143,31,3,316,5,1,2,1,0,233,0,0,1,1,2,0,0,0,0,739,0,4,743,0
13,221,27,2,415,3,0,1,1,1,273,0,0,1,0,3,0,3,0,2,953,0,5,958,0
14,207,24,3,414,3,0,1,0,2,272,3,1,1,0,2,3,2,1,0,939,0,10,949,0
15,216,30,0,336,1,0,0,1,2,354,1,0,0,1,0,0,1,0,0,943,0,1,944,0
16,101,18,0,204,0,1,1,0,1,160,1,0,0,0,0,0,1,1,1,490,0,5,495,0
17,199,38,1,346,1,1,0,2,3,244,2,1,2,0,0,2,2,0,0,844,0,2,846,0
18,179,29,1,220,2,1,0,1,2,215,0,2,0,0,1,1,5,1,0,660,0,5,665,0
19,190,27,1,229,3,0,0,2,4,418,0,0,0,0,0,1,6,2,2,885,0,2,887,0
20,78,8,0,196,2,0,0,1,0,139,1,0,1,2,0,1,1,0,1,431,0,5,436,0
21,163,28,3,152,0,0,0,0,0,148,0,0,1,1,2,0,3,0,0,501,0,1,502,0
22,188,21,1,366,1,1,0,0,0,280,2,0,1,0,0,0,4,0,0,865,0,5,870,0
23,121,17,4,310,3,0,0,1,1,250,0,0,0,0,1,0,3,1,0,712,0,5,717,0
24,105,11,1,201,2,0,0,2,1,159,1,1,0,1,0,5,0,0,1,491,0,2,493,0
25,229,14,1,178,2,0,0,0,2,189,1,0,0,0,0,4,1,0,0,621,0,1,622,0
26,175,18,0,303,4,0,0,0,3,324,0,1,1,0,0,0,0,1,0,830,0,6,836,0
27,133,16,1,264,2,0,1,2,0,205,0,0,2,0,0,3,3,1,0,633,0,5,638,0
28,154,35,0,368,1,0,0,1,2,313,0,0,0,1,0,1,1,1,0,878,0,2,880,0
29,131,24,3,417,2,1,0,3,2,285,2,2,1,1,2,0,1,0,2,879,0,1,880,0
30,129,23,1,248,0,0,0,1,0,149,0,0,0,0,0,0,0,0,0,551,0,1,552,0
31,180,26,0,329,5,0,3,0,0,345,0,1,0,1,0,1,3,0,2,896,0,7,903,0
32,116,11,1,264,3,0,0,0,2,143,1,0,0,0,0,1,0,0,0,542,0,0,542,0
33,170,19,1,246,0,0,1,0,0,178,0,0,0,0,0,1,4,0,0,620,0,3,623,0
34,171,20,1,355,1,0,0,2,1,229,0,1,0,1,0,3,2,0,0,787,0,4,791,0
35,86,26,0,206,1,0,1,1,1,202,1,0,0,1,0,0,0,0,0,526,0,0,526,0
36,206,31,0,227,0,0,1,0,2,254,0,0,0,1,1,2,0,0,0,725,0,4,729,0
37,232,17,1,358,2,0,0,0,0,298,0,0,0,2,1,0,1,0,0,912,0,2,914,0
38,187,12,2,401,3,0,0,0,0,275,0,0,1,1,0,0,0,0,0,882,0,6,888,0
39,168,12,0,205,1,0,0,1,1,191,1,0,1,0,1,0,1,1,0,584,0,6,590,0
40,211,27,0,411,1,1,1,1,3,340,2,0,1,0,0,2,1,0,1,1003,0,1,1004,0
41,385,15,3,244,0,0,0,0,1,287,0,0,0,1,0,0,2,0,0,938,0,4,942,0
42,212,21,0,366,2,0,1,2,1,289,0,1,1,0,0,0,1,0,0,897,0,3,900,0
43,190,28,2,260,0,2,0,0,0,288,2,0,1,5,0,0,4,1,0,783,0,5,788,0
44,262,19,1,330,5,0,0,1,2,341,1,0,0,5,0,1,1,0,1,970,0,4,974,0
45,178,19,2,388,8,0,0,1,1,286,0,0,0,2,0,5,0,0,0,890,0,3,893,0
46,124,16,1,193,0,0,0,1,0,104,3,0,0,0,1,1,2,0,0,446,0,0,446,0
47,220,14,1,290,1,0,0,0,0,108,0,0,0,0,0,1,0,0,0,635,0,1,636,0
48,207,30,0,277,1,0,2,0,3,224,0,0,1,0,2,2,0,0,0,749,0,1,750,0
49,120,17,1,119,0,1,1,1,0,138,2,0,0,0,0,2,2,0,1,405,0,1,406,0
50,341,20,0,373,3,0,0,0,4,213,0,0,1,1,0,0,1,0,0,957,0,2,959,0
51,183,21,0,214,2,0,0,0,3,209,0,0,0,0,2,1,1,0,0,636,0,4,640,0
52,219,22,0,249,1,1,0,0,1,244,0,0,1,0,3,0,1,0,0,742,0,4,746,0
53,261,34,2,345,1,0,0,0,4,291,0,0,0,0,0,1,1,0,0,940,0,2,942,0
54,311,21,1,298,0,0,0,2,3,295,1,0,0,0,1,4,6,1,0,944,0,4,948,0
55,188,18,1,224,0,0,0,2,3,181,1,0,1,0,0,1,0,0,0,620,0,2,622,0
56,222,35,2,242,3,0,1,0,1,210,0,0,1,2,0,4,4,1,0,728,0,4,732,0
57,220,24,2,425,3,1,0,0,1,146,1,0,0,1,1,0,6,0,0,831,0,3,834,0
58,248,16,0,310,0,0,1,0,2,213,0,2,1,0,1,2,2,0,0,798,0,2,800,0
59,154,18,0,216,0,0,0,1,1,221,1,0,1,0,0,1,0,0,0,614,0,1,615,0
60,614,11,2,57,1,1,0,0,6,190,1,1,0,2,3,0,2,1,0,892,0,0,892,0
61,167,23,0,160,0,0,2,0,1,328,0,0,0,0,1,2,2,0,0,686,0,0,686,0
62,208,28,0,232,0,0,0,0,2,238,1,0,0,0,1,1,1,0,0,712,0,3,715,0
63,286,16,5,186,2,1,0,0,2,390,0,0,1,1,0,0,0,0,0,890,0,1,891,0
64,295,26,3,249,0,1,2,4,2,285,3,0,2,0,0,3,4,0,1,880,0,2,882,0
65,194,18,0,272,0,2,0,1,1,185,0,0,0,0,3,1,0,0,0,677,0,0,677,0
66,176,32,0,262,0,1,0,1,1,342,0,0,0,0,0,2,0,0,1,818,0,1,819,0
67,240,15,0,158,0,0,0,1,2,175,0,0,0,0,0,1,2,0,0,594,0,3,597,0
68,217,37,0,234,0,2,0,1,3,333,0,1,0,0,1,2,4,1,0,836,0,5,841,0
69,356,30,1,288,3,0,0,2,4,298,0,2,0,1,1,5,2,1,0,994,0,1,995,0
70,152,23,0,389,3,0,1,0,1,238,0,0,0,0,1,3,0,0,1,812,0,1,813,0
71,265,19,3,300,1,2,0,1,1,208,0,0,0,2,0,1,1,2,2,808,0,5,813,0
72,304,41,1,298,1,0,0,2,3,274,2,1,2,0,4,4,3,0,0,940,0,4,944,0
