Polling Station No,Candidate_1,. P . K ) .K N M A GD AA LI AA B( N A,. S . R A V M) N UK D KM . RLD D I H ( T N E S,. R . I H) K T T A N P ( O O B,. R ) .K IV P T O ( G,. M . L A M ) MK AM YT I( N A L A P,) K . PL K . HM SM E ML D AA RN (,N . P A M. L) K AA V RM A AUT YR( AE JP,. L . N A) D N N H I S( I R K,. N . Y M ) AD SN A I N( N I H C,. G . R A M ) UD KN LI I( H T N E S,. K . R A M ) UD KN LI I( H T N E S,. M L . AY MM) D UA N S R I U( E PN U M,. P . N A) PD PN AI H( D A M,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,1,336,283,33,197,0,0,0,0,0,1,0,0,0,2,852,0,4,856
2,2,208,145,15,106,0,0,0,1,0,0,0,0,0,0,475,0,1,476
3,3,344,175,13,286,0,1,0,0,0,0,0,1,2,0,822,0,7,829
4,4,74,24,6,67,0,0,0,0,0,2,0,1,1,0,175,0,1,176
5,5,278,136,26,226,1,1,2,1,0,1,2,1,2,3,680,0,4,684
6,6,197,96,14,147,3,1,0,0,0,0,1,0,1,3,463,0,4,467
7,7,342,170,13,242,3,1,0,0,0,0,1,1,2,1,776,0,0,776
8,8,251,159,10,146,0,0,0,0,1,1,1,1,1,0,571,0,3,574
9,9,270,119,14,158,0,0,0,1,0,0,0,1,0,2,565,0,4,569
10,10,242,63,9,188,1,2,0,0,0,1,2,0,1,1,510,0,3,513
11,11,187,91,6,88,0,0,0,0,0,1,0,0,0,0,373,0,0,373
12,12,242,187,17,165,0,0,0,0,0,1,0,0,1,2,615,0,7,622
13,13,328,368,18,301,1,1,1,1,1,2,1,1,1,4,1029,0,4,1033
14,14,213,206,14,172,0,0,0,0,0,0,0,3,1,2,611,0,3,614
15,15,253,141,16,152,0,0,0,0,0,0,0,3,0,1,566,0,1,567
16,16,410,112,16,262,0,0,0,0,0,1,1,4,0,1,807,0,6,813
17,17,279,90,16,359,0,0,1,0,0,0,0,1,1,0,747,0,3,750
18,18,318,255,31,172,0,0,0,0,0,0,0,0,0,4,780,0,4,784
19,19,206,76,6,111,0,1,0,0,0,0,1,0,1,0,402,0,3,405
20,20,209,63,9,74,0,0,0,0,0,0,0,0,0,1,356,0,0,356
21,21,344,171,24,134,1,0,0,2,1,0,0,1,2,0,680,0,7,687
22,22,352,264,26,330,1,0,4,0,2,1,2,1,2,1,986,0,1,987
23,23,515,299,25,261,1,0,0,0,1,1,0,1,1,1,1106,0,11,1117
24,24,265,142,14,175,0,0,0,0,1,0,1,0,1,2,601,0,7,608
25,25,172,240,7,155,2,0,0,1,0,0,1,4,0,4,586,0,7,593
26,26,141,183,21,94,0,0,0,2,0,0,0,0,2,3,446,0,7,453
27,27,287,189,12,170,1,0,0,0,0,2,0,0,2,3,666,0,6,672
28,28,351,167,26,218,0,1,0,0,0,1,0,1,2,1,768,0,8,776
29,29,313,98,22,146,0,3,0,0,0,0,0,0,1,3,586,0,5,591
30,30,521,117,16,243,1,1,0,0,0,0,0,0,0,1,900,0,6,906
31,31,352,264,21,272,1,0,0,1,0,3,0,2,0,3,919,0,3,922
32,32,507,184,30,307,1,0,1,0,2,0,3,2,3,1,1041,0,8,1049
33,33,238,158,13,117,0,0,1,0,0,0,0,0,1,0,528,0,0,528
34,34,125,177,8,89,0,1,0,1,0,0,0,0,0,2,403,0,3,406
35,35,264,174,22,195,0,1,2,0,2,1,0,0,0,1,662,0,5,667
36,36,436,178,24,222,1,0,0,1,5,1,1,0,2,5,876,0,12,888
37,37,244,262,31,160,1,0,0,0,2,1,1,0,3,1,706,0,6,712
38,38,323,155,18,227,0,2,0,0,7,0,1,0,1,2,736,0,5,741
39,39,278,57,14,137,1,0,0,0,1,0,0,1,0,1,490,0,2,492
40,40,342,230,6,131,1,0,0,0,0,1,1,0,0,3,715,0,2,717
41,41,265,140,19,165,0,0,0,0,3,0,0,0,1,1,594,0,3,597
