Polling Station No,Candidate_1,. V . N A V ) K O D G M N D A L ( E . R D,. K . I M H S ) K K A T L N A ( H T N A H S,. A . N A) K N P AJ VA A( R A S,. G . I ) M K A M G T A ( V I S,. M ) . K N V A T V ( I S,I N A M U B N) K AM AP Y( I M W O S,. J B D .) HK TV NA AT S( A R P,. S ) . N K A L M D N T W A K H I S N V A ( M,) K . P L K . U M H M D L A D M A N (,. I N U M .) MD AN GI U( M U R A,. V . ) R D A N M I U ( K,. G . N A ) N D A N V I ( A R A S,. R ) . MD AN VI ( I S,. A ) . N D A N V I ( I S,. Y H T R O O ) D M. M N A I R ( A D N U S,. M . I H ) TD AN P I U( R I H T,. D . N A) JD AN RI A( G A N,. K . ) I D N N A I L ( A P,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,1,116,22,1,3,209,473,4,7,2,1,0,4,1,1,1,1,3,0,1,850,0,2,852
2,2,258,17,2,1,234,307,2,2,2,0,1,2,0,0,0,6,4,0,0,838,0,4,842
3,3,88,7,0,1,133,376,4,0,2,0,1,1,0,0,0,1,1,1,0,616,0,0,616
4,4,70,18,1,0,170,243,1,5,0,0,1,8,2,1,2,0,0,0,0,522,0,3,525
5,5,172,17,4,4,244,192,1,1,0,0,0,4,0,0,1,3,2,2,0,647,0,4,651
6,6,143,19,0,1,90,201,2,2,1,1,0,3,1,2,0,1,5,0,1,473,0,1,474
7,7,123,23,1,0,280,316,9,5,0,1,4,3,1,0,0,3,3,1,0,773,0,2,775
8,8,133,16,1,2,280,287,8,3,3,0,3,4,1,3,2,5,1,2,0,754,0,5,759
9,9,229,13,1,0,216,400,8,2,4,0,1,4,0,2,2,3,4,1,1,891,0,7,898
10,10,224,29,3,1,221,280,1,2,3,0,1,1,0,2,1,4,13,2,0,788,0,0,788
11,11,164,27,1,1,101,216,0,2,0,0,0,2,1,1,0,4,3,0,0,523,0,1,524
12,12,86,24,1,0,320,260,2,1,2,5,2,1,1,0,0,0,2,0,0,707,0,1,708
13,13,147,18,1,4,302,334,11,5,5,0,2,6,2,0,2,8,5,1,2,855,0,2,857
14,14,95,21,1,1,137,273,2,2,0,1,2,0,0,1,1,5,3,0,0,545,0,1,546
15,15,279,6,2,0,255,249,2,6,2,1,3,9,1,1,1,6,9,2,0,834,0,1,835
16,16,179,26,3,3,329,346,2,1,1,2,2,5,1,1,2,4,3,0,1,911,0,4,915
17,17,76,20,17,1,230,753,4,2,6,0,1,2,0,0,0,1,0,0,0,1113,0,1,1114
18,18,121,8,0,0,70,139,2,2,0,0,0,4,0,1,0,3,2,1,0,353,0,0,353
19,19,75,14,10,2,159,425,2,3,0,2,1,2,0,1,0,4,1,1,0,702,0,1,703
20,20,86,10,2,0,112,293,4,1,0,0,3,2,0,1,0,2,0,0,0,516,0,1,517
21,21,80,23,4,1,233,337,6,2,0,2,1,0,0,1,0,0,3,0,0,693,0,0,693
22,22,126,20,0,0,220,263,6,0,3,0,0,2,1,1,0,8,3,1,0,654,0,0,654
23,23,159,5,1,0,160,203,2,4,1,0,2,5,1,1,2,7,7,1,0,561,0,4,565
24,24,138,11,3,0,249,280,4,4,2,2,2,6,1,3,4,8,0,3,1,721,0,0,721
25,25,74,30,5,3,341,318,2,3,2,0,1,5,0,0,1,1,1,0,1,788,0,0,788
26,26,109,28,1,3,184,254,0,2,0,2,0,3,0,0,0,2,3,0,0,591,0,0,591
27,27,102,34,4,5,265,462,15,2,2,2,3,5,0,5,0,3,0,0,0,909,0,3,912
28,28,73,14,1,1,152,176,1,0,0,0,3,6,0,5,0,1,1,0,0,434,0,1,435
29,29,186,22,3,2,287,266,6,0,4,2,2,3,0,2,0,2,4,1,2,794,0,1,795
30,30,126,35,2,3,306,460,6,5,4,2,1,3,2,1,0,4,1,0,0,961,0,1,962
31,31,45,10,1,2,114,290,1,2,3,0,2,3,0,1,0,4,0,0,0,478,0,6,484
32,32,115,55,14,6,353,511,8,7,5,0,1,1,3,3,0,4,1,1,1,1089,0,3,1092
33,33,94,19,2,3,284,418,3,4,2,1,0,5,2,2,1,2,1,0,0,843,0,6,849
34,34,56,19,6,5,182,358,2,1,1,1,0,4,0,2,1,2,4,0,1,645,0,3,648
35,35,75,15,9,0,222,328,4,2,2,2,0,5,0,2,0,5,1,2,0,674,0,0,674
36,36,127,21,1,4,143,344,3,2,0,0,0,1,1,2,1,5,2,0,1,658,0,3,661
37,37,121,28,14,3,276,350,2,4,2,1,3,7,0,2,0,4,1,0,0,818,0,2,820
38,38,273,35,2,6,353,177,0,1,3,2,0,2,0,0,0,7,2,0,0,863,0,2,865
39,39,139,28,7,0,306,327,4,4,2,1,3,4,0,2,1,3,1,0,1,833,0,4,837
40,40,231,23,2,2,253,280,2,0,1,0,0,5,0,0,0,8,4,0,0,811,0,5,816
41,41,74,11,1,0,114,110,1,0,0,0,1,2,1,0,3,2,1,0,0,321,0,1,322
42,42,169,25,5,0,225,444,1,2,1,0,1,6,0,1,0,4,4,1,1,890,0,2,892
43,43,120,13,1,1,157,315,0,0,3,0,0,2,0,0,0,1,0,0,0,613,0,3,616
44,44,252,23,6,0,165,277,10,1,0,0,1,2,0,1,1,2,4,3,0,748,0,2,750
45,45,110,15,0,2,302,403,1,4,1,3,3,2,2,3,1,2,3,1,1,859,0,3,862
46,46,229,39,3,3,254,245,3,0,2,0,2,7,0,3,1,4,3,2,0,800,0,2,802
47,47,182,37,17,1,302,150,3,2,2,0,1,7,1,4,4,2,5,1,1,722,0,6,728
48,48,63,27,27,2,193,493,2,1,0,1,0,0,0,0,1,0,3,5,1,819,0,3,822
49,49,133,26,0,0,146,315,2,0,0,5,0,3,0,1,1,1,0,0,0,633,0,2,635
50,50,174,23,2,0,178,136,0,1,2,0,1,4,1,4,0,5,4,0,0,535,0,1,536
51,51,208,25,2,5,471,173,2,1,2,3,4,7,3,1,0,8,2,2,1,920,0,3,923
52,52,126,39,0,2,225,433,3,1,3,1,2,3,1,2,1,3,0,0,0,845,0,2,847
53,53,48,62,6,0,211,202,1,3,1,0,0,3,0,1,0,4,1,0,0,543,0,1,544
54,54,68,38,4,0,183,275,2,7,1,2,0,4,0,2,1,2,2,2,0,593,0,2,595
55,55,261,36,1,0,236,211,2,0,1,1,0,5,0,2,1,5,3,1,1,767,0,3,770
56,56,233,29,0,1,332,321,3,3,3,1,4,3,1,2,1,5,4,1,1,948,0,1,949
57,57,54,20,22,3,243,331,1,4,1,4,2,6,5,1,0,1,3,2,3,706,0,4,710
58,58,178,34,16,2,289,363,6,2,0,1,1,6,1,1,0,11,1,0,1,913,0,4,917
59,59,133,27,19,1,242,321,2,3,1,0,1,5,1,2,1,3,2,1,1,766,0,1,767
60,60,304,35,14,4,327,199,1,1,1,1,1,6,2,1,1,14,11,2,1,926,0,6,932
61,61,37,42,6,2,150,324,4,2,3,1,2,0,2,0,1,3,1,0,0,580,0,1,581
62,62,153,16,3,1,187,386,4,4,1,2,0,2,0,0,2,4,5,2,1,773,0,9,782
63,63,85,9,0,2,196,298,5,1,3,0,1,1,1,1,0,2,0,0,1,606,0,1,607
64,64,112,26,0,3,264,422,0,2,1,1,0,2,0,4,1,2,2,0,0,842,0,3,845
65,65,281,17,2,1,184,127,2,1,1,0,0,3,0,1,0,3,1,0,0,624,0,1,625
66,66,221,11,0,1,158,140,2,1,0,0,1,2,0,2,0,1,2,1,0,543,0,2,545
67,67,105,18,2,0,169,315,2,4,4,2,0,4,0,1,0,1,0,0,0,627,0,2,629
68,68,44,12,1,0,116,211,1,0,0,0,0,1,0,0,0,1,0,0,0,387,0,1,388
69,69,366,10,0,2,165,51,0,2,1,1,0,7,0,1,1,3,2,1,0,613,0,1,614
70,70,68,22,1,2,218,446,6,1,1,0,2,0,0,0,0,2,2,0,0,771,0,2,773
71,71,266,45,4,1,246,388,2,4,1,0,1,6,1,3,0,4,5,0,1,978,0,1,979
72,72,264,34,7,2,255,398,8,5,2,0,0,6,0,2,1,4,5,1,0,994,0,0,994
73,73,168,23,5,2,175,458,4,7,0,0,3,6,0,2,0,3,3,2,0,861,0,3,864
74,74,71,19,1,1,173,402,1,2,1,0,3,2,1,2,0,3,1,1,0,684,0,2,686
75,75,139,40,2,0,256,460,11,8,3,0,2,4,0,0,1,2,2,1,0,931,0,5,936
76,76,122,35,4,1,341,517,3,7,3,0,1,0,2,1,2,2,2,0,0,1043,0,6,1049
77,77,164,37,3,2,217,585,4,1,2,1,1,2,0,0,0,4,2,0,1,1026,0,1,1027
78,78,147,38,5,1,200,530,0,3,4,0,0,2,0,0,1,0,4,0,0,935,0,2,937
79,79,130,32,5,1,279,579,0,2,1,0,0,8,1,1,1,2,2,1,0,1045,0,0,1045
80,80,227,24,3,0,221,338,0,0,3,0,0,6,1,3,0,3,5,1,0,835,0,2,837
81,81,100,12,6,0,198,445,0,3,1,1,0,3,1,0,0,3,0,3,0,776,0,2,778
82,82,164,22,1,1,257,356,0,1,2,1,1,2,1,2,2,5,3,0,1,822,0,0,822
83,83,236,28,39,2,306,310,4,6,3,0,4,2,2,4,0,7,3,0,0,956,0,0,956
84,84,150,23,17,1,267,245,0,2,0,1,2,5,2,0,1,4,2,2,1,725,0,3,728
85,85,163,16,58,1,227,445,5,2,0,0,3,2,0,1,2,8,5,0,1,939,0,3,942
86,86,335,16,2,1,196,126,0,1,0,0,0,3,0,0,1,8,3,0,0,692,0,1,693
87,87,154,8,11,0,153,310,1,2,1,0,1,5,0,1,2,1,0,0,0,650,0,1,651
88,88,123,6,1,1,169,268,7,1,3,0,1,2,1,0,0,0,3,0,0,586,0,1,587
89,89,131,8,1,0,180,282,9,4,0,2,2,2,1,2,0,8,4,0,0,636,0,1,637
90,90,116,11,5,4,219,565,3,6,0,0,2,3,1,0,0,0,0,0,0,935,0,7,942
91,91,143,17,0,0,203,233,0,6,1,2,0,3,0,1,0,1,0,4,0,614,0,1,615
92,92,164,16,0,4,372,315,2,1,0,0,2,1,0,1,0,1,3,0,0,882,0,0,882
93,93,124,10,2,2,265,161,2,0,0,0,0,2,0,0,0,1,1,0,0,570,0,4,574
94,94,200,17,0,1,366,184,2,0,3,0,0,4,0,1,0,0,0,1,1,780,0,5,785
95,95,186,27,4,2,297,143,1,0,3,0,0,1,0,0,0,0,1,2,0,667,0,4,671
96,96,161,14,0,2,198,95,3,0,0,2,1,2,0,1,0,0,3,0,1,483,0,3,486
97,97,251,24,0,0,261,148,7,1,3,0,1,3,0,4,0,1,0,0,0,704,0,2,706
98,98,171,13,1,1,153,124,2,3,2,2,1,3,1,1,2,1,1,1,0,483,0,2,485
99,99,198,21,1,0,285,151,1,0,4,1,0,4,0,1,0,0,0,1,0,668,0,2,670
100,100,206,19,5,2,248,160,0,1,4,0,1,0,1,2,0,1,2,0,1,653,0,1,654
101,101,119,6,1,1,155,65,1,1,1,0,0,2,0,0,0,0,2,0,0,354,0,0,354
102,102,122,10,1,1,213,54,3,1,1,0,1,0,0,0,0,0,1,0,0,408,0,4,412
103,103,193,26,4,0,253,127,8,1,2,0,0,2,1,1,1,1,1,0,0,621,0,3,624
104,104,353,15,3,1,215,119,3,1,2,0,0,3,0,1,1,0,4,0,1,722,0,8,730
105,105,190,22,2,2,273,259,0,1,2,0,1,5,1,0,0,1,1,0,0,760,0,2,762
106,106,334,22,4,1,252,79,3,0,1,0,0,0,0,0,0,1,1,0,0,698,0,5,703
107,107,344,20,0,0,230,95,2,0,1,0,0,0,0,0,0,0,0,1,0,693,0,4,697
108,108,349,23,3,0,348,173,2,1,1,0,2,1,0,2,0,1,1,0,0,907,0,6,913
109,109,194,11,2,1,184,86,2,4,0,1,1,2,1,1,1,0,1,0,0,492,0,2,494
110,110,227,20,0,0,183,141,4,1,0,0,0,0,0,0,0,1,1,0,0,578,0,3,581
111,111,180,12,2,1,149,123,0,3,0,0,1,4,0,0,1,1,2,0,0,479,0,3,482
112,112,209,22,0,1,243,147,1,1,1,0,1,0,0,0,0,0,0,0,0,626,0,3,629
113,113,229,25,1,0,256,189,2,1,1,2,1,1,0,0,0,1,1,1,0,711,0,6,717
114,114,157,13,5,1,143,426,5,1,2,1,0,3,0,0,0,0,0,0,0,757,0,2,759
115,115,108,22,18,1,238,603,2,3,1,1,1,5,0,2,1,3,2,0,1,1012,0,4,1016
116,116,59,11,6,0,100,395,1,2,0,1,0,0,0,0,0,2,1,0,0,578,0,2,580
117,117,82,9,1,5,166,463,12,1,1,0,2,0,3,0,1,0,0,0,0,746,0,5,751
118,118,130,20,14,0,159,276,1,1,0,0,1,0,0,1,1,2,1,0,1,608,0,1,609
119,119,82,11,14,0,149,247,2,1,0,0,0,3,0,1,1,1,1,0,0,513,0,3,516
120,120,470,8,1,0,151,75,0,2,2,1,0,2,0,2,0,3,2,0,0,719,0,2,721
121,121,121,12,2,0,224,253,1,3,1,1,1,2,0,1,0,1,0,0,0,623,0,4,627
122,122,433,16,5,1,306,246,1,0,1,0,0,1,0,1,0,0,1,0,0,1012,0,2,1014
123,123,627,8,1,0,228,56,6,2,5,0,0,0,0,3,1,4,2,1,0,944,0,0,944
124,124,461,11,1,2,210,150,3,1,5,0,0,1,0,1,0,3,1,1,0,851,0,3,854
125,125,198,18,1,2,250,442,1,7,2,0,2,3,1,1,0,0,2,1,0,931,0,5,936
126,126,254,17,1,2,294,318,2,4,2,0,2,2,0,1,0,2,1,0,1,903,0,8,911
127,127,132,14,1,2,209,260,0,1,0,0,0,0,0,0,0,1,4,0,0,624,0,3,627
128,128,264,26,7,1,303,354,3,2,2,0,0,1,0,1,0,1,2,0,0,967,0,3,970
129,129,433,10,0,0,210,93,0,1,6,0,2,6,0,0,0,1,3,0,0,765,0,0,765
130,130,520,14,1,0,290,41,2,0,1,0,0,5,0,1,0,1,5,0,0,881,0,2,883
131,131,131,13,3,0,192,189,0,2,2,0,1,2,0,0,0,1,2,0,0,538,0,2,540
132,132,118,6,1,0,175,137,1,1,0,1,0,2,0,1,0,1,4,1,0,449,0,1,450
133,133,375,26,5,2,269,171,0,0,0,1,1,1,0,2,0,0,4,0,0,857,0,14,871
134,134,392,34,3,1,322,173,1,0,2,0,0,2,1,2,0,0,1,1,0,935,0,7,942
135,135,225,29,3,0,254,161,0,0,1,0,1,0,0,0,0,0,2,0,0,676,0,7,683
136,136,196,17,1,1,278,231,1,0,1,0,0,2,0,0,0,2,0,0,1,731,0,8,739
137,137,129,18,0,0,177,235,0,1,2,0,1,4,1,2,0,1,1,0,1,573,0,5,578
138,138,109,16,2,0,145,203,1,1,2,0,2,2,0,0,0,3,0,0,0,486,0,3,489
139,139,215,19,2,2,251,298,5,1,0,0,2,1,0,0,1,0,0,0,0,797,0,8,805
140,140,387,22,3,0,356,175,3,2,1,0,1,0,0,1,0,2,0,0,0,953,0,12,965
141,141,259,5,2,1,250,201,4,0,2,0,1,1,1,2,0,4,3,0,0,736,0,3,739
142,142,232,15,2,0,270,229,9,2,1,0,0,0,0,0,2,2,0,0,0,764,0,3,767
143,143,213,28,6,2,256,218,1,0,0,0,0,2,0,2,0,1,0,0,0,729,0,5,734
144,144,286,45,1,2,291,152,2,1,0,0,0,3,0,0,1,0,1,1,0,786,0,8,794
145,145,234,20,11,1,275,340,3,4,0,2,2,2,0,0,0,0,2,0,1,897,0,1,898
146,146,270,38,19,2,371,287,0,2,1,0,1,0,0,3,1,1,1,0,1,998,0,4,1002
147,147,214,12,3,0,212,277,1,10,2,0,0,5,0,2,0,0,1,0,0,739,0,6,745
148,148,168,19,3,1,205,192,0,1,1,0,0,0,0,1,0,0,0,0,0,591,0,7,598
149,149,231,36,3,0,276,258,0,8,2,0,1,0,0,0,0,0,1,0,1,817,0,11,828
150,150,199,31,1,3,345,253,0,5,3,1,3,3,0,2,2,4,1,0,0,856,0,3,859
151,151,238,8,4,1,274,233,3,5,0,2,0,2,0,1,1,4,0,0,0,776,0,5,781
152,152,160,22,31,7,336,368,4,5,1,0,5,0,0,3,0,2,3,0,0,947,0,7,954
153,153,166,33,8,1,332,318,1,4,3,0,0,1,0,1,0,2,0,0,0,870,0,2,872
154,154,193,27,2,0,207,144,5,1,2,0,0,0,0,1,0,0,0,0,0,582,0,10,592
155,155,186,14,1,1,153,129,1,0,0,0,1,0,0,0,0,0,4,0,0,490,0,7,497
156,156,260,23,1,0,329,224,1,1,6,0,1,0,0,1,0,1,0,0,0,848,0,2,850
157,157,164,27,1,0,216,199,2,1,0,1,1,0,0,0,0,1,1,0,0,614,0,3,617
158,158,425,21,0,2,359,42,0,0,1,1,3,1,0,1,0,4,2,0,0,862,0,2,864
159,159,172,11,2,0,190,194,0,4,0,0,0,0,0,0,0,0,0,1,0,574,0,2,576
160,160,242,27,1,2,236,182,5,0,0,1,0,1,0,0,0,1,3,0,0,701,0,12,713
161,161,199,28,2,0,299,218,1,0,1,0,0,2,0,1,0,0,1,0,0,752,0,6,758
162,162,242,30,2,1,239,330,4,2,0,0,0,2,0,0,0,3,1,0,0,856,0,3,859
163,163,414,36,1,1,313,258,22,2,0,0,1,2,0,0,1,1,2,0,1,1055,0,8,1063
164,164,141,35,3,0,217,513,7,2,0,0,2,2,0,0,0,1,2,0,1,926,0,4,930
165,165,93,25,2,0,301,486,5,2,1,0,4,2,0,1,2,6,1,0,2,933,0,4,937
166,166,198,26,2,1,351,260,3,1,2,0,0,5,0,1,5,1,0,1,0,857,0,3,860
167,167,128,23,1,0,160,168,0,0,1,0,0,0,0,1,0,0,0,0,0,482,0,2,484
168,168,132,19,5,1,237,156,1,1,1,0,0,1,0,1,1,2,1,0,0,559,0,5,564
169,169,232,22,3,0,254,160,3,0,2,1,0,10,1,2,0,2,1,0,1,694,0,6,700
170,170,180,22,0,0,226,196,5,1,1,0,0,2,0,2,1,2,0,0,0,638,0,8,646
171,171,136,17,0,1,170,147,1,1,0,0,0,1,1,0,0,0,0,0,0,475,0,1,476
172,172,128,29,2,1,263,257,1,4,1,0,0,1,0,3,0,1,2,0,0,693,0,3,696
173,173,114,26,3,1,196,242,0,4,0,0,1,2,0,3,0,2,0,1,0,595,0,4,599
174,174,171,13,3,1,279,330,4,3,2,3,1,4,2,0,0,1,0,0,0,817,0,1,818
175,175,186,18,1,1,292,236,5,0,4,0,0,0,0,0,0,2,1,0,0,746,0,2,748
176,176,156,27,2,2,310,318,2,4,5,1,0,5,2,3,1,1,0,0,0,839,0,5,844
177,177,72,10,2,2,113,114,4,1,5,1,2,1,1,1,0,1,0,0,1,331,0,3,334
178,178,247,28,1,1,262,129,2,0,1,0,0,1,0,0,0,0,1,0,1,674,0,8,682
179,179,217,16,0,0,261,92,0,0,2,0,0,2,0,2,0,0,1,0,0,593,0,6,599
180,180,308,30,2,1,237,108,2,0,4,0,1,3,1,0,1,0,1,0,0,699,0,4,703
181,181,237,30,5,1,274,162,2,2,0,0,1,1,0,1,1,1,3,0,0,721,0,1,722
182,182,116,15,2,0,229,286,4,3,0,0,3,5,0,1,1,3,3,0,0,671,0,1,672
183,183,65,23,0,1,224,541,2,4,3,0,0,5,0,3,0,1,1,0,0,873,0,3,876
184,184,276,22,6,0,385,340,3,6,2,7,0,4,1,2,1,1,4,1,0,1061,0,7,1068
185,185,273,27,2,0,259,298,0,2,0,1,0,5,0,2,0,3,2,0,0,874,0,2,876
186,186,148,12,0,0,231,142,2,0,1,0,0,5,3,3,3,0,2,1,0,553,0,2,555
