Polling Station No,Candidate_1,I V A U N R) A K A H T C L I N RM( AA T,P . N A P) PK AM ID N( A L A P,M A L) HEK TVM AID GR A AT I REA V A ( M,) SK .L NM AT SW E NH AS GV (,V . N A N) K HM S M I RT KP AI NA ( N E H C,S . I H T A) K V V A T G ( A L I H T,U S A) RK AM VT O( O P,M ) .K IL NK AM R M A NL D U A M N A( J,S . H) SD IN H I T( A S,P . Y M A) D S AN NI ( N I H C,K . J A) D R LN II M( A T,R . N A P) PD AN II N( A L A P,S . N ) AD GN U I R( U M,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,1,40,184,528,7,0,284,0,0,1,0,1,2,0,1,1048,0,1,1049
2,2,24,107,509,6,1,230,1,0,1,0,0,3,1,1,884,0,1,885
3,3,19,110,542,6,0,182,0,1,1,0,1,0,0,0,862,0,1,863
4,4,23,190,321,3,0,217,1,1,0,0,0,3,1,4,764,0,3,767
5,5,25,217,348,3,1,191,0,1,0,0,1,0,3,2,792,0,2,794
6,6,25,165,523,5,1,284,1,0,0,0,0,0,1,1,1006,0,8,1014
7,7,19,91,293,5,0,139,0,0,0,0,1,0,0,1,549,0,0,549
8,8,14,138,272,1,1,230,0,0,0,1,0,2,3,2,664,0,2,666
9,9,25,154,657,2,0,209,0,0,0,1,0,0,0,0,1048,0,1,1049
10,10,23,116,299,1,0,127,0,0,0,0,1,0,0,0,567,0,2,569
11,11,21,192,203,0,2,159,0,1,0,0,2,2,0,2,584,0,0,584
12,12,17,114,186,3,0,138,0,1,0,1,0,2,0,0,462,0,2,464
13,13,18,54,484,1,1,117,0,0,0,0,0,0,0,1,676,0,0,676
14,14,29,553,147,1,1,277,0,1,0,1,2,4,2,2,1020,0,5,1025
15,15,7,77,321,1,0,97,0,0,0,0,1,0,0,1,505,0,2,507
16,16,18,99,462,0,0,199,1,0,1,1,0,0,3,0,784,0,2,786
17,17,14,498,171,1,1,299,0,6,1,0,1,6,1,2,1001,0,2,1003
18,18,12,229,261,2,1,164,0,0,0,0,0,0,0,0,669,0,2,671
19,19,21,135,641,1,0,204,1,3,2,0,0,3,3,0,1014,0,1,1015
20,20,13,93,403,1,0,124,0,1,1,2,0,3,0,1,642,0,2,644
21,21,8,55,300,3,0,116,0,1,0,0,0,0,0,0,483,0,1,484
22,22,19,176,398,0,0,191,4,1,0,1,1,0,0,1,792,0,2,794
23,23,18,134,530,3,0,180,1,1,0,0,1,0,2,0,870,0,3,873
24,24,14,387,292,3,2,241,3,2,1,1,0,1,2,0,949,0,6,955
25,25,26,329,268,1,1,212,0,1,0,0,0,0,1,2,841,0,1,842
26,26,20,189,659,4,0,263,0,0,0,0,0,1,3,0,1139,0,3,1142
27,27,42,187,572,4,0,187,0,1,0,0,2,3,4,0,1002,0,4,1006
28,28,22,223,404,2,0,177,0,0,0,1,1,2,1,1,834,0,2,836
29,29,15,324,80,0,0,170,0,3,1,0,0,2,2,4,601,0,2,603
30,30,11,147,692,7,0,143,1,0,0,0,1,1,0,1,1004,0,4,1008
31,31,17,360,332,0,2,157,0,6,0,0,0,1,2,4,881,0,3,884
32,32,11,305,460,2,0,210,0,1,1,0,0,2,0,1,993,0,0,993
33,33,22,119,643,1,0,193,0,0,0,0,0,0,2,0,980,0,2,982
34,34,22,128,380,4,0,156,0,1,0,0,0,1,1,0,693,0,1,694
35,35,8,143,284,1,0,83,0,1,0,0,0,0,0,2,522,0,0,522
36,36,23,166,382,0,1,216,0,0,0,0,0,0,0,1,789,0,2,791
37,37,19,92,486,2,0,178,1,0,1,0,3,2,2,1,787,0,1,788
38,38,23,196,607,3,1,278,1,0,1,0,2,1,0,1,1114,0,2,1116
39,39,20,102,528,4,3,142,0,0,0,0,0,1,2,4,806,0,2,808
40,40,17,161,598,3,1,163,0,0,1,0,1,1,1,0,947,0,2,949
41,41,25,172,499,6,0,221,1,2,1,1,0,0,1,0,929,0,6,935
42,42,23,76,351,1,2,176,1,1,0,0,1,0,0,0,632,0,2,634
43,43,30,132,375,2,0,183,1,0,0,0,0,1,3,2,729,0,1,730
44,44,13,187,284,1,1,154,0,0,0,0,0,0,0,0,640,0,3,643
45,45,18,252,368,2,2,297,2,0,0,0,0,1,4,1,947,0,2,949
46,46,20,144,382,4,1,212,0,1,0,0,0,0,2,2,768,0,1,769
47,47,11,88,393,4,0,116,0,0,0,0,1,0,0,0,613,0,2,615
48,48,25,182,278,6,1,242,0,0,0,0,0,2,2,0,738,0,2,740
49,49,15,116,560,3,1,270,1,0,1,0,0,0,5,1,973,0,1,974
50,50,9,93,412,6,0,199,0,0,0,2,1,2,1,1,726,0,2,728
51,51,11,77,494,3,0,107,0,0,0,0,0,1,1,1,695,0,2,697
52,52,31,97,499,6,2,198,0,2,3,1,2,3,3,0,847,0,6,853
