Polling Station No,Candidate_1,A . A) K H T TN I N( A,A . M A) GK UM MD N( A H S,V . R A ) MK UM KD HA TI AA P( M A S,G .) UP RS HB E( N,S .) LK AL MK MM AM HL TD UA RN A( K,K . J A) RK M U PT P( U K,S .) AK LV IA N T A( M,C . U ) T NA N N I AR KP IP R R A ( M,K . H) K S V E KT ( A R,. R D ) ) Y P AMK (AC HWN S J ST E T .R AKH K. VB N ( E V,K . H ) TD AN PI M( A S,C . H ) TD AN PI M( A S,K . L E ) VD A N G I N( A H T,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,1,33,323,227,4,1,2,2,6,266,0,0,0,0,1,865,0,3,868
2,2,21,186,241,0,1,0,0,3,250,1,0,1,0,0,704,0,2,706
3,3,28,209,373,2,5,0,0,6,252,1,1,1,3,1,882,0,7,889
4,4,19,99,543,4,0,0,3,5,257,0,2,0,2,0,934,0,3,937
5,5,22,71,402,0,2,0,1,1,105,0,0,2,4,5,615,0,2,617
6,6,23,138,477,3,0,1,1,1,240,0,0,1,8,0,893,0,4,897
7,7,21,155,347,1,2,0,0,1,266,0,0,0,2,0,795,0,0,795
8,8,12,96,515,4,4,0,0,0,161,0,0,0,0,0,792,0,0,792
9,9,17,323,276,4,1,1,1,7,320,1,0,1,1,2,955,0,5,960
10,10,22,205,417,3,2,3,0,4,225,0,0,1,5,3,890,0,2,892
11,11,18,163,366,2,0,0,0,4,178,1,0,1,0,1,734,0,4,738
12,12,5,161,159,2,1,0,0,2,155,0,0,0,0,1,486,0,2,488
13,13,25,132,501,3,1,0,3,0,296,0,2,4,2,1,970,0,7,977
14,14,32,142,491,8,3,0,0,3,274,0,0,1,3,2,959,0,4,963
15,15,4,78,359,4,0,0,0,0,187,0,0,0,1,1,634,0,1,635
16,16,14,170,508,4,1,1,3,4,187,0,0,0,3,0,895,0,3,898
17,17,25,189,560,7,3,0,3,3,214,0,0,1,2,2,1009,0,4,1013
18,18,17,164,247,5,0,0,2,1,171,1,0,0,0,1,609,0,4,613
19,19,22,196,273,0,0,0,2,2,211,1,0,0,2,0,709,0,0,709
20,20,20,191,428,4,4,0,0,3,254,0,0,1,2,1,908,0,2,910
21,21,19,118,226,2,1,0,4,1,174,1,0,0,3,0,549,0,1,550
22,22,10,151,190,2,1,0,1,1,268,0,0,0,0,0,624,0,1,625
23,23,3,117,160,0,0,0,0,2,201,0,0,1,1,2,487,0,1,488
24,24,21,188,505,4,2,0,0,3,219,0,1,1,1,1,946,0,2,948
25,25,1,11,9,0,0,0,0,0,22,0,0,0,0,0,43,0,1,44
26,26,18,409,174,2,2,1,1,1,206,0,0,0,1,4,819,0,4,823
27,27,19,345,192,1,5,0,1,3,303,1,0,1,1,1,873,0,4,877
28,28,19,206,194,1,2,0,1,5,197,0,0,0,0,2,627,0,0,627
29,29,30,247,218,2,1,0,1,4,422,0,0,1,2,1,929,0,1,930
30,30,11,428,174,0,1,0,0,1,242,0,1,0,1,0,859,0,4,863
31,31,20,298,227,1,1,0,1,4,226,0,0,0,0,2,780,0,0,780
32,32,27,98,567,8,0,0,2,2,251,0,0,0,4,1,960,0,5,965
33,33,18,77,497,5,0,0,1,3,117,0,0,1,2,1,722,0,2,724
34,34,7,230,59,2,0,0,0,0,107,0,0,0,0,2,407,0,1,408
35,35,18,107,261,2,1,0,0,6,181,0,0,0,3,0,579,0,2,581
36,36,2,67,372,0,0,1,0,1,138,0,0,0,1,0,582,0,0,582
37,37,15,80,286,2,1,0,1,1,111,2,0,0,0,0,499,0,4,503
38,38,11,199,387,4,1,3,0,3,220,1,0,1,2,8,840,0,1,841
39,39,23,162,412,0,3,0,1,4,242,0,0,1,1,2,851,0,0,851
40,40,21,374,267,1,2,0,1,1,301,0,0,1,3,2,974,0,2,976
41,41,10,63,226,1,0,0,0,1,69,0,0,0,0,0,370,0,1,371
42,42,11,102,368,5,2,1,0,1,185,0,1,1,2,1,680,0,2,682
43,43,18,123,347,3,0,0,3,1,222,0,0,0,4,1,722,0,3,725
44,44,7,229,56,0,0,0,0,1,102,1,0,0,0,0,396,0,0,396
45,45,12,129,117,0,1,0,0,1,129,0,0,1,2,1,393,0,0,393
46,46,6,76,318,5,1,0,0,2,152,0,0,0,2,1,563,0,0,563
47,47,3,77,470,4,1,0,1,0,92,1,2,0,1,2,654,0,1,655
48,48,32,434,132,0,4,0,0,1,210,1,0,0,0,0,814,0,3,817
49,49,5,92,229,0,1,0,0,0,45,0,0,1,1,1,375,0,3,378
50,50,10,166,353,0,1,0,0,2,138,1,1,4,1,0,677,0,1,678
51,51,14,125,324,1,2,0,0,1,134,1,0,0,0,1,603,0,1,604
52,52,8,45,501,0,1,0,1,1,150,0,1,0,1,0,709,0,2,711
53,53,19,180,406,1,1,0,0,1,180,0,2,0,0,0,790,0,0,790
54,54,22,262,185,3,3,0,0,0,285,1,1,0,0,3,765,0,3,768
55,55,33,345,240,1,2,1,4,4,314,1,0,0,2,2,949,0,4,953
56,56,5,137,280,1,1,0,0,1,96,0,0,0,0,0,521,0,0,521
57,57,18,491,132,1,3,0,0,3,196,0,1,0,1,2,848,0,4,852
58,58,6,491,185,2,0,0,0,2,104,0,0,0,0,0,790,0,1,791
59,59,10,157,297,2,1,0,0,2,118,0,0,0,0,0,587,0,1,588
60,60,10,214,319,1,0,0,0,2,232,1,1,2,0,3,785,0,1,786
