Polling Station No,THARUN. A.K,RAJESHKUMAR. S,SRI BALAJI SUGUMAR. S,ANBAZHAGAN. P,SAKTHIVEL. M,PALANIVEL. M.S,BRAMAMOORTHI. M,INDRAJITH GUPTHA. G,KAVITHA. M.P,KARTHI. R,GOPI. R,GOPINATH. B,SENTHILKUMAR. M,TAMILARASAN. D,DEVENDHIRAPRABU. M,PALANISAMY. P,PRABHU. V,RANGANATHAN. D,VAIDESSWARA PRASAD. N,JAYAVEL. M,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,248,13,361,1,1,210,1,1,0,0,0,0,1,2,0,1,0,0,0,0,840,0,0,840,0
2,336,26,255,0,1,165,0,0,0,0,0,0,1,0,0,3,0,0,1,0,788,0,2,790,0
3,276,17,294,1,1,220,7,1,0,0,0,0,1,1,1,4,0,1,0,1,826,0,1,827,0
4,291,23,339,1,0,185,4,0,1,0,0,0,1,1,2,2,1,0,6,1,858,0,1,859,0
5,253,30,145,1,0,202,4,1,0,0,0,1,1,0,0,1,0,0,1,0,640,0,4,644,0
6,279,32,222,0,2,243,2,1,1,0,0,0,0,2,0,1,1,0,1,0,787,0,5,792,0
7,280,15,252,0,2,154,1,1,0,0,0,0,0,0,0,2,1,0,8,0,716,0,2,718,0
8,228,22,211,1,0,176,0,0,0,0,1,0,0,0,0,3,0,0,1,0,643,0,4,647,0
9,195,27,96,0,1,145,0,0,0,0,0,1,1,0,0,0,1,0,0,0,467,0,5,472,0
10,118,22,96,0,0,95,0,0,1,0,0,0,0,0,0,0,0,0,0,0,332,0,2,334,0
11,237,38,190,0,0,224,1,0,1,0,0,0,0,1,1,4,1,0,0,0,698,0,2,700,0
12,168,11,189,1,4,210,1,1,0,0,2,0,0,0,1,4,4,0,0,0,596,0,3,599,0
13,188,38,386,1,0,302,0,0,0,0,0,0,0,0,1,1,0,0,2,0,919,0,3,922,0
14,135,21,186,2,1,176,0,0,0,0,0,0,0,0,0,1,0,0,2,0,524,0,2,526,0
15,186,18,196,0,1,193,2,1,0,0,0,1,1,0,0,0,1,0,0,0,600,0,3,603,0
16,226,28,132,2,0,190,2,0,0,0,0,1,0,0,0,0,1,0,0,0,582,0,6,588,0
17,216,17,107,0,1,167,1,0,0,0,0,0,0,0,0,0,0,0,0,0,509,0,1,510,0
18,147,17,92,0,0,149,1,0,0,0,0,0,0,0,0,0,0,0,0,1,407,0,0,407,0
19,188,22,205,1,6,250,0,1,0,0,0,0,0,0,1,2,1,0,1,0,678,0,1,679,0
20,171,16,181,0,0,237,0,1,0,0,0,0,1,1,0,0,2,0,1,0,611,0,3,614,0
21,234,34,290,1,1,297,2,0,0,0,1,0,1,0,1,1,2,0,0,0,865,0,1,866,0
22,152,19,199,3,1,206,2,0,0,1,0,0,0,0,1,3,3,0,0,2,592,0,3,595,0
23,181,20,162,0,0,176,1,0,0,0,0,0,0,0,0,0,4,0,3,0,547,0,2,549,0
24,250,26,204,3,0,295,1,0,0,0,0,1,1,1,2,4,1,0,0,1,790,0,2,792,0
25,228,12,285,1,3,282,1,0,0,0,0,0,0,1,0,2,0,0,0,0,815,0,1,816,0
26,243,24,295,1,11,360,1,0,2,2,0,0,1,1,1,1,1,0,0,0,944,0,1,945,0
27,179,33,204,1,1,178,0,0,1,1,1,0,0,0,0,3,3,0,0,0,605,0,1,606,0
28,131,16,402,2,0,123,7,2,0,0,0,0,1,0,1,0,1,0,1,0,687,0,0,687,0
29,191,19,312,0,1,153,13,2,0,0,0,0,0,1,0,1,1,2,1,0,697,0,2,699,0
30,204,15,224,0,0,183,0,0,0,0,0,0,0,0,0,2,1,1,0,1,631,0,1,632,0
31,183,17,263,2,0,170,6,0,0,0,0,0,0,0,0,2,2,0,1,0,646,0,3,649,0
32,238,24,270,3,0,195,1,0,0,0,0,0,0,1,0,1,1,0,1,0,735,0,3,738,0
33,286,27,518,3,1,216,3,0,0,1,1,0,0,1,0,1,2,0,1,0,1061,0,5,1066,0
34,253,29,446,1,2,244,2,0,1,0,0,1,1,0,0,0,1,0,1,0,982,0,1,983,0
35,222,20,345,2,3,167,0,1,0,0,0,0,2,2,0,2,2,0,1,0,769,0,4,773,0
36,281,65,344,3,1,380,0,2,0,0,0,0,1,1,0,5,7,1,6,2,1099,0,3,1102,0
