Polling Station No,Candidate_1,P YMASAMAR,K RAMUKNEEVARP,S P NAHOM IVEDIRS,P INAR,A NAYIHTIDAA,T HSEMAR NAIHDNAG,P NANNAKHSERUS,R NAJARAGAYIHT,S C PILID,P M YMASINALAP,P NARDNEHAM,C NARAWSEHTAM,T RAMUKHSENIBA,S HTNIVARA,K JARAKANAK,P ARDNAHC,M NAJARATAN,V USARAIVAKIJATEN,R NADNAKINAM,S YMASUHTUM,S NAHOM,P NAHOM,M NAHOM,A HSEMAR,R RAMUKAYAJ,M NAMARAYAJ,R NILATS,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,1,0,19,183,124,0,1,0,1,143,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,476,0,1,477,0
2,2,2,28,245,167,0,0,0,3,324,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,773,0,2,775,0
3,3,0,11,248,92,0,0,0,0,73,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,428,0,1,429,0
4,4,1,45,223,159,0,0,1,1,200,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,636,0,2,638,0
5,5,5,35,390,190,1,0,1,3,270,0,1,0,0,2,0,0,3,2,1,2,1,1,1,1,2,1,2,915,0,8,923,0
6,6,2,9,186,163,0,4,0,0,179,1,0,2,2,0,1,0,3,0,1,2,0,0,0,0,3,2,0,560,0,1,561,0
7,7,0,13,180,248,0,0,0,0,242,0,0,0,1,1,0,0,0,0,6,1,0,0,0,0,0,0,0,692,0,2,694,0
8,8,4,30,288,279,4,0,0,3,354,0,1,1,1,0,0,0,1,0,0,2,1,2,0,0,2,1,0,974,0,1,975,0
9,9,0,14,243,204,1,0,0,0,282,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,748,0,1,749,0
10,10,1,17,214,64,2,0,0,0,76,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,377,0,1,378,0
11,11,0,22,266,221,0,0,0,0,273,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,784,0,1,785,0
12,12,3,10,365,312,0,2,1,1,220,0,0,0,4,3,0,2,2,1,1,4,0,1,1,0,4,0,0,937,0,2,939,0
13,13,3,15,468,153,1,1,1,1,313,0,0,3,1,3,0,1,0,0,3,0,0,0,0,0,0,1,1,969,0,1,970,0
14,14,0,2,234,142,1,1,0,0,199,0,1,0,1,3,0,1,0,1,1,2,0,0,1,1,1,2,0,594,0,2,596,0
15,15,0,15,405,111,0,0,0,0,198,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,1,0,735,0,3,738,0
16,16,0,30,358,169,0,1,0,1,219,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,1,1,785,0,0,785,0
17,17,0,17,323,151,2,0,0,0,154,0,0,1,0,1,0,2,0,0,1,0,0,0,1,0,0,0,0,653,0,1,654,0
18,18,1,11,264,104,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,495,0,3,498,0
19,19,1,14,403,221,2,2,0,5,315,0,1,1,2,3,2,4,1,1,2,1,0,0,0,0,1,1,0,983,0,2,985,0
20,20,1,22,117,119,1,0,1,1,254,0,0,0,1,0,1,2,1,0,0,0,1,0,0,1,0,2,1,526,0,1,527,0
21,21,0,12,348,95,0,0,0,0,124,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,582,0,2,584,0
22,22,2,27,339,230,0,0,2,1,266,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,870,0,2,872,0
23,23,3,14,234,220,1,1,1,2,269,2,0,1,1,1,0,2,3,0,2,1,0,2,0,1,1,0,1,763,0,3,766,0
24,24,1,18,207,223,2,0,0,1,235,0,0,2,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,695,0,3,698,0
25,25,4,24,209,209,1,2,0,1,259,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,713,0,3,716,0
26,26,1,28,168,157,0,0,0,0,264,1,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,625,0,3,628,0
