Polling Station No,Candidate_1,artennuM R E magahzaK NARAWSE adivarD,R adivarD magahzaK )A( RAKESARDNAHC RAKES annA artennuM TMRS aidnI llA,ihctaK K IHTAVER ralimaT maaN,G irtteV K magahzaK JARNURA agalimaT,K ihctaK A NANAVARAHS agahzimaT iamiruvhzaaV,K fo IBMAHTANNIHC ytraP )elawahtA( nacilbupeR aidnI,MAYINAMARBUS annA layeS LAPANAHD ayihdnihtianA lakkaM adivarD,ihctaK P NARAMUKKURIHT artennuM lakkaM,T lakkaM A YMASUNUM ihctakalaN ayinamaS,S MASAKARPLURA tnednepednI,K tnednepednI L NANUJRA,M tnednepednI NARAWSE,P RAMUKSEEHTAS tnednepednI,MARADNUSANAVARAS tnednepednI S,NALAKIRAK tnednepednI HSENIHD,V NAJARKAPEED tnednepednI,K YMASINALAP tnednepednI,P NAIHZEHC tnednepednI IJALAB,N RAMUKHSEHAM tnednepednI,S tnednepednI HSEMAR,P RAMUKAJAR tnednepednI,N tnednepednI S HTNAVER,P NAHTANAWSIV tnednepednI,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,1,198,244,5,95,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,548,0,2,550,0
2,2,97,302,9,187,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,600,0,0,600,0
3,3,143,294,24,180,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,643,0,2,645,0
4,4,164,168,7,151,1,1,0,0,0,0,0,0,0,0,0,1,4,1,0,3,0,0,0,501,0,0,501,0
5,5,178,248,18,153,1,2,0,1,0,0,0,0,0,0,2,1,1,2,0,0,1,1,0,609,0,2,611,0
6,6,266,362,17,330,0,2,0,0,0,0,0,1,1,1,1,6,3,3,1,1,0,0,1,996,0,1,997,0
7,7,169,272,23,240,1,1,0,0,0,1,0,1,0,0,0,4,1,0,0,0,0,0,0,713,0,1,714,0
8,8,212,140,18,278,1,3,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,689,0,0,689,0
9,9,218,136,22,320,2,3,0,0,0,0,0,0,1,45,0,0,3,0,0,3,0,0,0,753,0,3,756,0
10,10,183,196,28,318,2,0,0,0,0,0,0,0,0,29,0,0,2,0,1,1,0,0,0,760,0,0,760,0
11,11,214,106,10,288,2,0,0,0,0,0,0,1,0,36,0,0,3,0,0,0,0,0,0,660,0,1,661,0
12,12,112,122,21,180,2,2,0,0,0,0,0,0,1,13,1,1,1,0,0,1,0,0,0,457,0,1,458,0
13,13,133,106,18,223,0,1,0,0,0,0,0,0,0,25,0,0,1,1,0,2,0,0,0,510,0,1,511,0
14,14,239,185,39,339,1,2,0,0,0,0,0,0,0,14,1,1,0,0,0,0,0,0,0,821,0,4,825,0
15,15,277,157,24,316,1,4,0,0,0,0,0,0,0,6,1,4,3,2,0,0,0,0,0,795,0,2,797,0
16,16,77,89,7,70,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,246,0,0,246,0
17,17,202,165,40,336,5,1,0,0,0,0,0,0,2,1,0,1,1,2,0,1,0,0,0,757,0,0,757,0
18,18,210,188,8,197,0,1,2,0,0,0,0,0,1,0,0,1,5,1,0,2,1,0,0,617,0,8,625,0
19,19,238,166,12,232,1,0,0,0,1,0,0,0,1,0,1,4,0,1,0,2,0,0,0,659,0,0,659,0
20,20,246,131,23,214,1,1,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,625,0,0,625,0
21,21,179,157,29,281,0,0,0,0,0,0,0,0,0,1,0,3,2,0,1,0,0,0,0,653,0,3,656,0
22,22,199,117,30,226,0,3,1,0,0,0,0,0,0,3,1,1,1,1,0,1,1,0,0,585,0,1,586,0
23,23,182,130,11,142,0,0,0,0,0,1,0,0,0,1,2,1,3,0,0,2,0,0,0,475,0,2,477,0
24,24,153,123,11,230,1,4,1,0,0,0,0,1,2,1,0,0,1,2,0,5,0,1,0,536,0,1,537,0
25,25,176,127,10,141,0,2,0,0,0,0,0,0,0,0,2,3,2,0,0,1,0,1,0,465,0,1,466,0
26,26,144,220,10,174,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,1,0,0,553,0,0,553,0
27,27,87,202,8,172,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,477,0,2,479,0
28,28,229,202,11,269,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,719,0,3,722,0
29,29,138,188,11,228,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,571,0,2,573,0
30,30,87,201,8,187,0,0,1,1,0,0,0,0,2,2,0,2,0,2,0,1,0,1,0,495,0,1,496,0
31,31,335,339,17,299,0,0,0,0,1,0,0,0,0,1,8,3,4,1,0,1,2,0,0,1011,0,0,1011,0
32,32,282,262,11,227,2,0,0,0,0,0,0,0,3,0,1,4,1,0,0,2,1,0,0,796,0,1,797,0
33,33,328,235,13,242,0,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,824,0,0,824,0
34,34,275,226,14,212,0,0,0,0,0,0,0,0,1,0,2,3,1,0,0,2,0,0,0,736,0,0,736,0
35,35,76,107,13,166,0,2,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,369,0,1,370,0
36,36,132,132,8,322,1,1,0,0,0,0,0,0,5,5,0,0,1,1,0,0,1,0,0,609,0,0,609,0
37,37,215,152,25,293,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,690,0,0,690,0
38,38,154,220,25,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,625,0,0,625,0
39,39,206,217,19,255,0,2,0,0,0,0,0,0,0,3,1,0,2,1,0,1,1,0,2,710,0,1,711,0
40,40,46,133,13,83,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,280,0,1,281,0
41,41,123,207,11,147,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,493,0,1,494,0
42,42,151,243,14,138,0,1,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,0,0,552,0,0,552,0
43,43,113,308,18,250,1,0,0,0,0,0,2,1,2,1,4,1,0,2,0,3,0,0,0,706,0,2,708,0
44,44,132,159,36,185,0,0,0,0,0,0,0,0,2,0,7,2,0,0,0,0,1,1,2,527,0,1,528,0
45,45,181,277,36,176,0,2,1,0,0,2,1,0,0,0,0,3,0,1,1,0,0,0,1,682,0,2,684,0
46,46,144,212,18,195,0,1,0,2,0,0,0,1,0,0,0,3,2,1,0,1,1,0,0,581,0,3,584,0
47,47,256,234,16,284,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,795,0,1,796,0
48,48,239,335,19,237,1,0,1,0,0,0,0,0,0,1,0,5,3,1,0,0,1,0,0,843,0,4,847,0
49,49,240,338,14,337,2,1,1,0,0,0,1,1,0,3,1,1,7,4,2,0,0,0,0,953,0,2,955,0
50,50,96,270,8,104,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,482,0,2,484,0
51,51,155,125,19,211,1,0,0,0,0,0,0,0,0,0,1,2,3,0,0,3,0,0,0,520,0,0,520,0
52,52,159,288,20,238,1,1,0,2,1,1,0,0,3,1,1,2,0,0,1,1,0,0,0,720,0,1,721,0
53,53,186,328,14,111,5,1,0,0,0,0,0,2,0,1,0,1,0,2,0,0,0,0,0,651,0,1,652,0
54,54,120,227,18,204,0,2,1,0,1,0,1,0,1,2,4,3,1,1,0,0,0,1,1,588,0,2,590,0
55,55,181,221,22,219,0,4,0,0,0,0,0,0,1,0,0,2,3,1,0,1,0,0,0,655,0,0,655,0
56,56,133,161,28,255,0,2,0,0,0,1,0,1,5,2,1,0,0,0,0,2,1,0,0,592,0,1,593,0
57,57,159,114,13,242,0,2,0,0,1,1,0,1,6,1,3,2,1,0,0,3,0,0,0,549,0,2,551,0
58,58,124,140,19,223,2,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,512,0,0,512,0
59,59,182,144,11,249,2,1,0,0,0,0,1,0,2,1,0,2,0,1,0,1,0,0,1,598,0,1,599,0
60,60,141,105,12,365,0,2,0,0,0,0,0,1,0,2,1,2,0,0,0,0,1,0,0,632,0,1,633,0
61,61,106,119,5,236,1,0,0,0,0,1,0,0,1,2,0,0,0,2,0,2,1,0,0,476,0,2,478,0
62,62,196,239,36,333,0,5,0,0,0,0,0,0,1,6,3,4,2,1,0,4,2,0,0,832,0,7,839,0
63,63,145,99,9,355,2,0,2,0,0,1,0,0,3,14,1,0,1,1,1,0,0,0,0,634,0,1,635,0
64,64,127,192,7,144,0,1,1,0,0,1,0,0,0,1,2,1,1,0,0,0,0,1,0,479,0,2,481,0
65,65,136,237,23,323,1,1,0,0,0,0,0,1,1,1,0,0,3,0,0,1,1,1,0,730,0,3,733,0
66,66,189,174,15,225,0,2,0,0,0,0,0,0,0,3,0,5,1,0,1,1,0,0,0,616,0,1,617,0
67,67,180,101,10,109,1,3,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,410,0,2,412,0
