Polling Station No,Candidate_1,AMAGNAHT.P IN,ULAB.S,INARAVU HSERUS,IHTRAK.J,YMASINALAP,ESREENNAP MAVL,KALAYAJIV.C IMHS,NILAHTRIMA MAG,IHTRAK,ASERAMUK.R N,SIRKALAPOG NANH,NANAVARAS,LEUMAS.G JAR,JARAVIS,UKLIHTNES.P RAM,JARAVLES,LEVINALAP.K,NAGURUM.A NAHDNA,AJAR.R,HCATAKNEV MALA,LEVAYAJ.S,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,1,279,168,21,1,0,0,379,2,0,0,0,0,0,0,6,6,2,2,1,0,0,867,0,4,871,0
2,2,328,157,20,0,0,0,340,0,1,0,0,0,0,0,0,4,0,0,0,0,0,850,0,4,854,0
3,3,333,133,21,0,0,1,272,0,0,0,0,0,1,0,0,5,1,1,1,1,0,770,0,4,774,0
4,4,243,119,22,0,1,1,250,0,0,0,0,0,0,0,0,1,3,1,1,0,0,642,0,2,644,0
5,5,205,123,33,0,0,1,278,0,1,0,0,0,0,1,0,1,0,1,0,0,0,644,0,3,647,0
6,6,255,113,28,0,0,1,337,0,1,0,0,0,1,0,1,2,1,0,0,0,0,740,0,4,744,0
7,7,207,118,17,0,1,0,283,0,0,1,2,0,0,0,0,0,0,0,0,0,0,629,0,5,634,0
8,8,195,129,5,0,0,0,178,0,0,0,0,0,0,0,0,1,0,0,1,0,0,509,0,2,511,0
9,9,242,181,19,1,0,1,331,3,2,0,0,0,0,0,0,0,1,0,0,0,0,781,0,2,783,0
10,10,114,46,6,1,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305,0,2,307,0
11,11,217,106,23,0,1,1,271,0,0,1,0,0,0,0,0,0,5,1,0,0,0,626,0,1,627,0
12,12,200,111,24,0,0,0,289,0,0,1,0,0,0,0,0,0,1,0,0,0,0,626,0,3,629,0
13,13,237,123,30,0,0,0,274,2,1,0,0,0,0,0,0,2,1,0,0,1,0,671,0,1,672,0
14,14,300,216,37,0,0,1,378,0,0,0,0,1,0,1,1,1,2,0,0,0,0,938,0,5,943,0
15,15,240,170,17,0,0,0,223,0,0,0,0,0,0,0,1,0,0,1,0,0,0,652,0,3,655,0
16,16,223,92,18,1,1,0,210,1,1,0,0,0,0,0,0,1,1,0,0,0,0,549,0,1,550,0
17,17,193,67,18,0,0,1,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,0,2,434,0
18,18,216,182,20,0,1,0,238,0,0,0,0,0,0,0,0,1,1,2,0,0,0,661,0,0,661,0
19,19,257,150,13,0,0,0,324,1,0,0,0,0,0,0,0,1,0,0,0,0,0,746,0,1,747,0
20,20,211,194,21,2,0,0,263,1,0,0,0,0,0,0,0,2,0,0,0,0,0,694,0,2,696,0
21,21,157,178,7,0,0,1,183,0,1,0,0,0,2,0,0,0,2,1,1,0,0,533,0,1,534,0
22,22,210,168,18,0,0,0,278,0,1,0,0,0,0,0,0,0,0,1,0,0,0,676,0,0,676,0
23,24,151,119,7,0,0,0,190,0,0,0,0,0,0,0,1,0,0,0,0,0,0,o 468 la,R 0 fo,1,toT 469,eT 0 f
24,25,163,110,7,0,0,0,163,0,0,0,0,0,0,0,0,0,1,0,0,0,0,toT 444,.oN 0,1,445,o .o 0
25,26,207,134,21,0,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,577,0,2,579,N 0
26,27,214,217,30,0,0,0,348,0,0,0,0,0,1,0,0,2,2,3,0,0,0,817,0,0,817,0
27,28,199,176,25,3,0,1,324,1,0,0,0,0,0,0,0,0,1,0,0,0,0,730,0,1,731,0
28,29,209,129,21,0,0,0,316,0,0,0,0,0,0,0,0,0,3,0,0,0,0,678,0,3,681,0
29,30,136,108,17,0,0,0,140,0,0,0,0,1,0,0,0,0,0,0,0,0,0,402,0,3,405,0
30,31,260,143,28,1,0,0,419,1,0,0,0,0,0,0,0,3,2,0,1,1,2,861,0,2,863,0
31,32,185,170,24,0,0,1,281,1,0,0,0,0,0,0,0,1,2,0,0,0,0,665,0,1,666,0
32,33,248,143,30,1,0,0,309,0,2,0,0,0,1,0,0,0,0,0,0,0,0,734,0,1,735,0
33,34,264,119,22,0,0,0,229,0,0,0,0,0,2,0,0,0,0,0,0,0,0,636,0,6,642,0
34,35,208,120,14,1,0,0,288,1,0,0,0,0,0,0,0,2,0,0,0,1,0,635,0,3,638,0
35,36,265,200,16,0,0,0,366,0,0,1,0,0,0,0,1,0,0,3,0,0,0,852,0,2,854,0
36,37,280,148,25,0,2,3,301,0,0,1,0,0,1,0,0,1,1,1,0,0,0,764,0,3,767,0
37,38,358,151,21,0,0,2,347,0,0,0,0,1,0,0,0,0,0,1,0,0,0,881,0,6,887,0
38,39,316,105,24,0,0,0,260,0,0,0,1,0,0,0,1,1,1,0,0,0,0,709,0,1,710,0
39,40,194,72,21,0,0,2,202,0,0,0,0,0,1,0,0,1,0,2,0,0,1,496,0,0,496,0
40,41,281,137,22,0,2,1,377,1,0,1,0,0,0,2,1,1,4,4,0,0,2,836,0,3,839,0
41,42,189,89,17,0,0,1,232,0,0,0,0,0,0,0,0,0,1,0,0,0,0,529,0,1,530,0
42,43,173,77,11,0,1,1,204,0,0,0,0,0,0,0,1,0,0,0,0,0,0,468,0,0,468,0
43,44,296,176,38,0,0,2,339,0,0,0,0,0,0,0,0,2,2,0,1,0,0,856,0,3,859,0
44,45,239,103,28,0,0,0,278,1,0,2,0,1,0,0,0,1,0,2,0,0,1,656,0,3,659,0
45,46,168,98,14,0,0,0,166,0,0,1,0,0,0,0,0,1,0,0,1,0,1,450,0,0,450,0
46,47,202,84,16,0,1,1,289,0,0,0,0,0,0,0,0,0,1,0,0,0,0,594,0,2,596,0
47,48,179,87,26,0,0,0,201,0,0,1,0,0,0,0,0,0,1,0,0,0,0,495,0,1,496,0
48,49,207,72,14,3,0,0,218,0,0,0,0,0,0,0,0,0,0,0,1,0,0,515,0,0,515,0
49,51,167,129,11,0,0,1,216,0,0,0,0,0,0,0,0,0,0,1,0,0,0,o 525 la,R 0 fo,0,toT 525,eT 0 f
50,52,280,97,22,0,0,0,318,1,0,0,0,0,0,0,0,2,2,0,0,0,0,toT 722,.oN 0,2,724,o .o 0
51,53,185,52,9,0,0,1,152,0,0,0,0,0,0,1,0,1,1,0,0,0,0,402,0,1,403,N 0
52,54,299,112,18,0,0,2,267,1,0,1,0,0,0,0,0,1,0,0,0,0,0,701,0,2,703,0
53,55,130,132,29,0,0,1,291,0,1,0,0,1,1,0,0,0,0,1,0,0,0,587,0,2,589,0
54,56,143,80,28,0,0,2,225,1,1,0,0,0,0,0,0,0,0,1,0,0,0,481,0,6,487,0
55,57,272,170,41,0,1,2,302,1,0,0,0,0,0,0,0,2,0,2,0,0,0,793,0,2,795,0
56,58,183,78,9,0,0,0,180,0,0,1,0,0,0,0,0,1,0,0,0,0,0,452,0,0,452,0
57,59,246,141,30,0,0,0,307,0,0,0,0,0,0,1,0,0,0,1,0,0,1,727,0,1,728,0
58,60,249,128,33,0,0,0,267,0,0,0,0,0,0,0,0,2,1,0,0,0,0,680,0,2,682,0
59,61,228,127,23,0,0,0,207,0,1,0,0,0,0,0,0,1,0,0,0,0,1,588,0,0,588,0
60,62,185,92,12,1,0,1,206,1,0,0,0,0,1,0,0,1,0,0,0,0,0,500,0,2,502,0
61,63,164,112,21,1,4,1,168,0,0,0,0,0,1,0,0,0,0,0,0,0,0,472,0,2,474,0
62,64,278,146,23,1,0,1,303,0,0,0,1,0,0,0,0,0,3,0,0,0,0,756,0,3,759,0
63,65,183,152,18,0,0,1,295,1,1,0,0,0,0,0,0,1,0,0,0,0,0,652,0,1,653,0
64,66,268,149,18,0,0,0,291,0,0,0,0,0,0,0,0,0,2,0,0,0,0,728,0,4,732,0
65,67,223,87,19,0,0,1,271,0,0,0,0,1,0,0,1,1,3,1,0,0,0,608,0,2,610,0
66,68,219,110,20,0,0,0,228,0,0,0,0,1,0,0,1,0,0,0,0,0,0,579,0,2,581,0
67,69,364,160,34,2,0,1,372,0,0,1,0,0,0,0,0,2,2,1,0,0,0,939,0,3,942,0
68,70,165,99,13,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444,0,0,444,0
69,71,200,112,20,0,0,0,186,0,0,0,0,0,0,0,0,0,1,0,0,0,1,520,0,3,523,0
70,72,123,86,12,0,0,0,94,0,0,0,0,0,0,1,0,0,1,0,0,0,0,317,0,1,318,0
71,73,156,67,8,0,0,1,147,1,0,0,0,0,0,0,0,0,0,0,0,0,0,380,0,1,381,0
72,74,179,96,9,0,0,0,174,0,0,0,0,0,0,0,0,0,1,0,0,0,0,459,0,1,460,0
73,75,264,91,29,0,0,0,223,1,0,0,0,0,0,0,0,1,1,0,0,0,0,610,0,0,610,0
74,76,107,75,7,0,0,1,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,0,0,306,0
75,78,183,101,25,0,0,0,295,1,0,0,0,0,0,0,1,1,1,2,1,0,0,o 611 la,R 0 fo,3,toT 614,eT 0 f
76,79,107,70,11,0,0,1,94,0,0,1,0,0,0,0,0,0,0,3,0,0,0,toT 287,.oN 0,0,287,o .o 0
77,80,270,158,9,0,3,2,266,0,0,1,0,0,0,0,1,1,5,0,1,0,0,717,0,1,718,N 0
78,81,212,72,12,0,0,0,149,1,0,0,0,0,0,0,0,0,0,1,0,0,1,448,0,3,451,0
79,82,161,59,10,0,1,1,149,0,0,0,0,0,0,0,0,0,0,0,1,0,0,382,0,2,384,0
80,83,281,161,18,0,0,1,237,2,0,0,0,0,0,1,1,0,0,0,0,0,0,702,0,3,705,0
81,84,258,128,28,0,0,3,286,0,0,0,1,1,0,0,0,3,1,0,0,0,0,709,0,1,710,0
82,85,276,108,33,0,0,0,155,1,0,0,0,0,0,0,0,2,0,0,0,1,1,577,0,2,579,0
83,86,309,120,27,0,1,1,214,0,1,1,0,0,0,2,2,0,2,0,0,1,0,681,0,1,682,0
84,87,377,138,40,2,0,5,443,1,0,1,1,0,0,0,1,1,1,0,1,0,1,1013,0,7,1020,0
85,88,309,212,45,2,3,2,390,2,1,1,1,0,0,0,0,1,1,0,0,0,0,970,0,5,975,0
86,89,250,133,18,1,0,3,215,1,1,0,0,0,0,2,1,3,0,0,0,0,0,628,0,6,634,0
87,90,166,100,19,0,0,0,170,1,0,1,1,1,0,0,2,1,2,1,0,0,1,466,0,2,468,0
88,91,372,203,17,0,0,0,189,1,0,1,0,0,0,0,1,3,1,2,1,0,0,791,0,4,795,0
89,92,301,142,67,1,0,1,364,0,1,1,0,0,0,0,0,0,0,1,0,0,0,879,0,2,881,0
90,93,149,79,11,0,0,0,179,0,0,0,0,0,0,0,0,0,2,2,1,0,0,423,0,3,426,0
91,94,179,124,15,0,0,1,262,3,0,0,0,0,1,0,0,1,1,0,0,0,1,588,0,0,588,0
92,95,237,128,47,0,0,0,337,0,1,0,2,1,0,0,0,2,0,3,1,1,0,760,0,3,763,0
93,96,354,134,31,2,0,2,345,0,0,0,0,0,0,0,0,0,0,0,0,0,1,869,0,6,875,0
94,97,306,161,32,1,0,1,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,815,0,7,822,0
95,98,265,116,30,1,0,1,243,0,0,1,0,0,1,0,0,1,3,0,0,0,0,662,0,5,667,0
96,99,298,83,25,0,0,1,217,0,0,1,0,0,1,0,0,0,0,0,0,0,0,626,0,3,629,0
97,100,247,128,25,0,0,0,284,2,0,0,0,0,0,0,1,1,1,2,0,0,0,691,0,2,693,0
98,101,158,66,25,2,0,0,212,0,0,0,0,0,0,0,0,2,0,0,0,0,0,465,0,0,465,0
99,102,201,80,25,0,0,0,246,0,0,0,0,0,0,0,0,3,0,0,0,0,0,555,0,1,556,0
100,103,255,172,45,0,2,5,352,0,1,0,0,0,1,0,0,0,1,0,0,0,0,834,0,1,835,0
101,105,328,138,27,0,0,1,301,1,1,1,0,0,0,1,1,2,0,0,0,0,0,o 802 la,R 0 fo,3,toT 805,eT 0 f
102,106,244,183,33,0,0,2,322,0,0,0,0,0,0,1,1,1,3,1,0,0,2,toT 793,.oN 0,0,793,o .o 0
103,107,358,118,25,2,1,0,300,0,0,1,0,0,0,0,2,1,3,0,0,0,0,811,0,2,813,N 0
104,108,256,112,27,0,1,0,242,0,0,0,0,0,0,0,1,0,0,1,0,0,1,641,0,1,642,0
105,109,329,67,32,0,0,1,165,0,0,0,0,0,0,0,0,1,0,0,0,0,0,595,0,3,598,0
106,110,193,76,19,0,0,1,185,0,0,0,1,0,1,0,0,0,1,0,0,0,0,477,0,1,478,0
107,111,93,39,5,0,0,1,73,0,0,0,0,0,0,0,0,0,0,0,1,0,0,212,0,0,212,0
108,112,281,106,18,0,0,0,207,1,0,1,1,1,0,1,1,1,2,0,0,0,0,621,0,3,624,0
109,113,178,56,10,1,0,0,187,0,1,0,0,0,0,0,0,2,0,0,1,0,1,437,0,0,437,0
110,114,256,147,20,1,1,0,269,0,0,0,0,2,0,0,5,5,0,0,0,0,0,706,0,4,710,0
111,115,227,101,5,1,2,1,232,0,0,0,0,0,0,0,1,3,3,0,0,0,1,577,0,3,580,0
112,116,238,93,15,0,1,1,161,0,0,0,1,0,0,0,0,1,0,0,0,0,0,511,0,3,514,0
113,117,248,135,45,1,0,2,397,1,2,1,1,1,1,1,0,3,4,1,0,0,0,844,0,3,847,0
