Polling Station No,V . PALANI,S. MUTHUSAMY,M. YUVARAJA,N. VIJAY,ANANTH MOGHAN K.K.,K. KALAIYARASAN,V. DHANALAKSHMI,M. NATARAJ,M. RUKMANI,SHANMUGAM M.,MOORTHI P.,A. RAMU,C. RAJENDRAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,4,290,260,22,261,4,0,0,2,0,0,0,3,846,0,3,849,0
2,1,249,202,16,259,2,0,1,1,1,1,2,0,735,0,3,738,0
3,0,290,90,20,340,0,0,0,0,0,2,2,6,750,0,6,756,0
4,2,211,109,12,203,2,0,0,1,1,1,2,3,547,0,4,551,0
5,2,333,204,29,310,1,0,0,0,1,2,2,3,887,0,5,892,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,340,148,38,426,1,2,0,0,0,0,2,1,959,0,4,963,0
8,2,243,164,26,319,2,0,0,0,0,2,1,2,761,0,6,767,0
9,0,188,68,6,181,1,1,0,0,2,0,0,2,449,0,1,450,0
10,3,245,118,27,277,1,0,0,0,0,1,0,1,673,0,2,675,0
11,2,337,76,23,457,0,0,1,0,1,2,1,2,902,0,4,906,0
12,1,330,106,24,370,2,1,2,0,0,0,0,1,837,0,2,839,0
13,0,226,112,27,300,2,0,1,0,2,0,0,0,670,0,5,675,0
14,5,258,113,31,346,2,0,0,0,0,0,0,0,755,0,1,756,0
15,1,227,107,15,256,1,0,0,0,0,0,0,2,609,0,1,610,0
16,2,234,92,27,286,0,1,1,0,0,1,0,2,646,0,5,651,0
17,1,225,104,29,268,1,1,0,0,0,0,0,0,629,0,3,632,0
18,0,188,99,27,232,0,0,1,0,0,0,0,1,548,0,2,550,0
19,1,194,86,14,182,1,0,0,0,0,1,1,0,480,0,0,480,0
20,3,172,75,11,163,0,1,0,1,0,0,0,0,426,0,0,426,0
21,3,277,148,21,378,0,1,0,0,1,0,0,1,830,0,6,836,0
22,1,161,102,14,224,0,0,0,1,0,1,0,1,505,0,3,508,0
23,3,214,95,21,216,0,2,0,0,0,1,0,0,552,0,4,556,0
24,0,182,71,18,195,1,0,1,1,0,0,1,1,471,0,1,472,0
25,0,279,123,24,226,1,2,1,0,0,3,4,2,665,0,5,670,0
26,0,292,90,29,358,2,1,0,0,1,0,0,0,773,0,4,777,0
27,4,246,73,24,215,1,2,0,0,0,0,2,1,568,0,2,570,0
28,2,306,114,33,502,1,0,0,2,0,1,1,0,962,0,3,965,0
29,6,299,122,34,391,6,0,1,0,1,1,2,2,865,0,8,873,0
30,0,212,124,15,435,0,1,0,0,0,0,1,4,792,0,5,797,0
31,3,152,77,34,394,5,3,0,1,2,1,1,0,673,0,4,677,0
32,2,323,92,38,348,2,1,1,0,0,2,0,3,812,0,4,816,0
33,2,183,41,24,287,1,0,2,0,0,0,0,3,543,0,4,547,0
34,3,314,98,45,339,1,0,3,0,0,0,2,3,808,0,9,817,0
35,0,303,61,24,301,1,0,1,1,1,0,1,3,697,0,7,704,0
36,2,280,82,29,350,2,0,0,1,2,1,0,0,749,0,5,754,0
37,3,236,76,34,347,1,0,0,2,1,0,1,2,703,0,2,705,0
38,3,124,63,24,247,0,0,0,0,0,1,1,1,464,0,1,465,0
39,1,242,84,19,346,2,2,0,0,0,0,0,1,697,0,0,697,0
40,2,175,146,17,192,0,0,0,0,0,0,0,1,533,0,2,535,0
41,0,267,87,28,337,1,1,0,0,2,1,0,1,725,0,5,730,0
42,1,232,216,19,204,0,2,1,1,1,1,1,3,682,0,4,686,0
43,2,252,73,11,211,0,0,0,1,0,0,1,0,551,0,5,556,0
44,0,259,139,7,232,1,0,1,1,1,1,1,0,643,0,5,648,0
45,3,294,118,15,372,4,1,1,1,0,0,1,3,813,0,4,817,0
46,2,254,124,10,314,1,0,0,0,0,0,0,0,705,0,3,708,0
47,3,202,78,20,383,6,1,1,0,1,1,1,1,698,0,2,700,0
48,2,76,52,12,463,6,1,4,0,5,1,1,4,627,0,1,628,0
49,2,113,25,6,237,1,0,1,0,0,0,1,0,386,0,1,387,0
50,0,190,116,17,328,0,0,0,0,0,1,1,1,654,0,2,656,0
51,1,143,160,20,234,2,0,0,1,0,1,0,1,563,0,3,566,0
52,1,202,125,20,286,4,0,0,1,1,0,1,2,643,0,6,649,0
53,1,243,147,32,389,2,0,0,0,1,2,3,2,822,0,5,827,0
54,1,155,61,13,384,3,0,0,0,2,2,1,0,622,0,2,624,0
55,0,196,104,23,213,1,0,0,0,0,0,1,1,539,0,1,540,0
56,0,210,93,19,233,1,0,0,0,0,0,0,0,556,0,2,558,0
57,1,242,225,33,265,0,0,0,0,0,1,1,2,770,0,11,781,0
58,1,210,137,35,338,1,0,0,0,0,0,0,0,722,0,2,724,0
59,2,302,228,41,374,2,0,2,0,2,2,1,5,961,0,4,965,0
60,2,338,119,37,447,1,1,1,0,1,2,1,2,952,0,5,957,0
61,0,203,93,30,244,2,2,0,0,0,0,0,0,574,0,6,580,0
62,1,199,127,17,262,5,1,0,3,1,0,1,1,618,0,1,619,0
63,0,203,123,25,396,1,1,1,0,0,1,1,0,752,0,3,755,0
64,0,223,148,34,348,4,3,1,4,2,2,1,2,772,0,4,776,0
65,0,184,129,18,189,1,0,0,0,2,0,0,0,523,0,2,525,0
66,2,167,158,18,224,1,2,0,0,1,0,1,1,575,0,6,581,0
67,5,308,237,32,405,5,0,2,0,1,1,3,3,1002,0,3,1005,0
68,2,219,232,19,182,1,1,1,1,4,2,0,2,666,0,4,670,0
69,3,182,246,21,185,2,1,1,1,1,0,4,2,649,0,7,656,0
70,3,242,252,33,403,2,1,1,0,0,2,0,1,940,0,4,944,0
71,2,212,204,30,280,2,2,1,0,2,0,1,1,737,0,3,740,0
72,0,198,111,15,189,2,0,0,0,0,1,0,2,518,0,4,522,0
73,2,388,119,15,338,2,0,0,1,1,1,5,2,874,0,2,876,0
74,2,299,107,13,167,2,0,0,0,0,0,1,0,591,0,2,593,0
75,1,312,91,25,239,1,1,2,0,1,1,2,1,677,0,4,681,0
76,1,297,131,22,319,2,0,2,0,1,1,1,1,778,0,6,784,0
77,5,320,71,30,291,1,0,2,0,1,0,0,1,722,0,3,725,0
78,3,345,135,27,422,1,1,1,2,2,1,2,2,944,0,4,948,0
79,1,148,188,20,116,1,1,1,1,1,1,0,0,479,0,1,480,0
80,5,248,141,41,443,3,0,0,0,3,0,0,1,885,0,10,895,0
81,1,312,118,38,467,0,1,1,1,1,1,1,1,943,0,2,945,0
82,1,289,107,28,469,3,2,2,0,4,3,0,1,909,0,7,916,0
83,0,238,155,21,330,2,2,1,0,1,1,0,0,751,0,0,751,0
84,0,106,135,12,108,2,0,0,0,0,0,0,0,363,0,1,364,0
85,1,256,166,39,419,0,0,0,1,0,0,1,0,883,0,5,888,0
86,1,89,172,14,128,1,0,0,0,0,1,1,1,408,0,1,409,0
87,4,272,124,33,411,1,0,1,0,1,2,3,3,855,0,8,863,0
88,2,344,139,36,284,1,0,0,0,0,0,0,1,807,0,5,812,0
89,2,199,141,25,331,1,0,0,1,1,0,1,0,702,0,4,706,0
90,0,185,78,19,183,1,1,1,0,0,0,0,0,468,0,2,470,0
91,2,209,114,20,273,3,0,1,0,0,0,1,1,624,0,7,631,0
92,0,143,99,33,300,0,0,0,0,1,0,1,0,577,0,5,582,0
93,1,173,98,17,211,0,0,0,1,0,1,0,0,502,0,3,505,0
94,0,151,122,31,372,0,0,0,0,0,0,0,0,676,0,3,679,0
95,2,227,141,39,407,0,2,1,0,1,0,1,2,823,0,3,826,0
96,1,273,160,48,471,0,0,1,0,0,0,1,1,956,0,8,964,0
97,1,283,70,27,362,3,0,1,0,1,0,2,0,750,0,4,754,0
98,1,214,120,23,341,2,0,2,1,0,1,1,2,708,0,5,713,0
99,2,157,99,29,327,0,1,2,0,0,0,0,0,617,0,1,618,0
100,3,169,120,35,461,1,1,5,1,1,2,0,0,799,0,4,803,0
101,0,143,94,29,409,0,0,5,0,0,1,1,0,682,0,3,685,0
102,1,192,129,29,369,0,0,6,0,0,0,0,0,726,0,3,729,0
103,1,177,81,20,404,2,1,1,1,0,1,0,0,689,0,2,691,0
104,2,192,97,40,407,0,0,3,0,2,1,0,0,744,0,4,748,0
105,2,227,84,45,308,0,0,1,0,0,1,0,1,669,0,7,676,0
106,2,190,102,32,490,1,0,0,0,3,1,1,1,823,0,5,828,0
107,1,202,107,27,488,0,1,2,0,0,3,0,0,831,0,1,832,0
108,2,235,105,21,281,1,1,1,0,0,0,0,1,648,0,3,651,0
109,1,171,88,32,283,2,1,1,1,2,1,0,0,583,0,3,586,0
110,0,205,75,29,312,2,1,1,0,0,0,0,0,625,0,0,625,0
111,0,122,50,13,186,0,0,0,0,0,0,1,0,372,0,0,372,0
112,3,141,63,24,319,1,0,3,0,0,1,0,1,556,0,1,557,0
113,2,99,57,14,170,2,0,1,0,1,1,0,0,347,0,1,348,0
114,1,185,89,26,367,0,0,1,0,1,0,0,0,670,0,1,671,0
115,1,210,90,19,367,1,4,0,0,0,0,0,3,695,0,2,697,0
116,1,182,96,33,297,0,1,0,3,2,0,0,2,617,0,17,634,0
117,0,227,78,26,318,1,0,0,2,0,0,1,0,653,0,3,656,0
118,5,246,66,23,455,1,1,0,2,4,1,1,4,809,0,7,816,0
119,2,180,130,21,412,1,1,1,1,0,2,0,2,753,0,4,757,1
120,2,150,74,17,268,1,0,0,0,0,1,1,1,515,0,2,517,0
121,0,132,83,9,203,0,0,0,1,0,2,0,0,430,0,0,430,0
122,0,130,41,11,130,1,0,0,1,0,0,0,0,314,0,1,315,0
123,3,188,108,28,389,2,1,0,0,1,0,0,1,721,0,4,725,0
124,0,192,112,26,394,0,0,0,0,0,0,0,1,725,0,6,731,0
125,1,271,113,25,435,3,0,1,0,1,1,0,0,851,0,1,852,0
126,0,245,111,29,435,3,0,1,1,2,2,1,2,832,0,5,837,0
127,2,237,109,48,403,3,0,0,0,1,1,0,0,804,0,5,809,1
128,2,257,102,37,429,4,0,0,1,2,0,0,0,834,0,6,840,0
129,1,233,131,37,477,3,0,0,0,1,0,0,0,883,0,5,888,0
130,1,162,77,30,341,2,1,0,1,2,2,2,4,625,0,1,626,0
131,3,269,122,24,538,2,1,0,1,4,1,0,4,969,0,3,972,0
