Polling Station No,SEETHALAKSHMI.M.K,NALLASIVAM.N,PRABHU.V.B,RAVIKUMAR.R,SENGOTTAIYAN.K.A,THIRUVENGATESH.M,MALARVIZHI,ANANDHAKUMAR.M,SAKTHIVEL.G,SHANMUGAM.G,SEETHA.R,SUMATHI.G,SELVAKUMAR.R,DHANAPAL.K,PALANISAMYRAAJ.M,BHUVANESHWARI.A,RAMESH.P,VENKATACHALAM,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,16,306,185,3,374,2,1,0,0,1,0,4,3,1,5,1,1,4,907,0,5,912,0
2,17,221,135,1,245,1,1,0,0,1,0,0,0,0,0,0,1,0,623,0,2,625,0
3,28,366,91,4,460,2,1,0,0,1,0,3,0,3,5,1,0,5,970,0,2,972,0
4,19,224,162,5,277,3,0,0,0,0,1,1,0,3,1,1,1,1,699,0,5,704,0
5,29,203,275,4,349,1,2,0,1,0,0,0,0,0,1,3,0,2,870,0,3,873,0
6,35,223,157,1,360,4,2,0,0,3,4,2,1,2,2,6,1,0,803,0,4,807,0
7,13,142,85,5,188,1,0,0,0,0,0,0,0,0,2,0,0,2,438,0,0,438,0
8,35,192,158,1,283,3,0,0,0,0,1,2,0,1,1,2,0,0,679,0,0,679,0
9,18,182,145,5,264,3,0,0,0,2,0,1,1,2,2,0,0,2,627,0,2,629,0
10,11,120,205,2,182,2,0,0,1,0,2,1,0,2,3,0,0,2,533,0,4,537,0
11,10,158,101,1,217,0,0,0,0,0,0,2,1,0,2,1,0,3,496,0,1,497,0
12,20,194,220,5,269,3,1,0,1,0,0,1,1,2,1,0,0,2,720,0,3,723,0
13,18,176,155,2,478,1,0,2,1,0,2,2,1,2,1,2,1,1,845,0,2,847,0
14,12,179,148,4,374,4,1,0,0,1,1,2,0,3,3,2,0,0,734,0,2,736,0
15,15,127,127,2,162,1,0,1,1,0,0,1,0,0,3,1,0,0,441,0,2,443,0
16,17,84,137,4,287,1,0,1,0,0,1,3,0,3,2,1,0,1,542,0,2,544,0
17,17,157,181,4,271,1,0,2,0,0,1,2,0,0,1,2,1,0,640,0,2,642,0
18,32,231,276,0,289,4,0,0,0,2,1,0,1,1,0,0,0,1,838,0,1,839,0
19,9,133,143,2,196,1,0,0,1,1,0,5,0,2,4,0,0,1,498,0,1,499,0
20,19,119,102,4,162,2,2,0,1,0,1,2,0,1,2,2,0,1,420,0,1,421,0
21,8,221,157,3,244,4,1,1,1,1,1,2,0,0,5,1,1,3,654,0,6,660,0
22,28,272,118,4,289,0,1,0,0,0,0,2,0,2,1,0,0,5,722,0,5,727,0
23,11,155,95,2,206,3,1,0,0,0,0,1,1,0,1,0,0,1,477,0,2,479,0
