Polling Station No,BHOJARAJAN.M,RAGUPATHY.B,RAMACHANDRAN.B,IBRAHIM.R,SAVEETHA.R,MANIAN.R,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,189,31,187,226,1,0,634,0,3,637,0
2,213,15,215,105,6,3,557,0,3,560,0
3,197,14,451,173,3,4,842,0,7,849,0
4,22,1,38,57,1,0,119,0,5,124,0
5,209,13,230,157,2,3,614,0,4,618,0
6,207,6,195,65,1,2,476,0,3,479,0
7,65,6,20,80,0,2,173,0,595,768,0
8,164,37,231,290,3,1,726,0,3,729,0
9,180,23,281,184,4,4,676,0,5,681,0
10,278,9,156,107,1,3,554,0,4,558,0
11,371,43,215,253,2,1,885,0,3,888,0
12,251,25,172,172,2,3,625,0,3,628,0
13,360,57,319,238,3,2,979,0,9,988,0
14,81,49,208,150,2,4,494,0,2,496,0
15,100,22,138,132,2,2,396,0,2,398,0
16,333,28,211,236,4,0,812,0,5,817,0
17,160,7,88,51,0,0,306,0,2,308,0
18,339,14,207,180,3,1,744,0,6,750,0
19,121,20,71,137,2,1,352,0,2,354,0
20,334,18,235,176,5,0,768,0,6,774,0
21,453,12,139,146,0,0,750,0,2,752,0
22,479,19,186,206,1,2,893,0,6,899,0
23,390,19,201,211,2,0,823,0,3,826,0
24,466,11,155,204,2,1,839,0,7,846,0
25,288,6,99,116,0,0,509,0,5,514,0
26,333,33,199,235,3,2,805,0,6,811,0
27,241,15,81,162,2,0,501,0,6,507,0
28,198,23,101,160,0,0,482,0,2,484,0
29,249,6,138,76,1,2,472,0,1,473,0
30,376,21,272,215,4,12,900,0,3,903,0
31,290,15,227,134,1,3,670,0,5,675,0
32,273,32,276,182,1,4,768,0,8,776,0
33,278,13,105,196,1,3,596,0,6,602,0
34,76,13,105,202,1,1,398,0,0,398,0
35,388,19,230,270,3,6,916,0,7,923,0
36,403,22,231,198,2,7,863,0,3,866,0
37,318,37,254,296,1,6,912,0,3,915,0
38,191,19,146,104,1,3,464,0,2,466,0
39,406,31,333,173,3,3,949,0,7,956,0
40,422,10,166,200,5,1,804,0,4,808,0
41,46,5,14,57,0,0,122,0,0,122,0
42,289,19,130,198,4,2,642,0,5,647,0
43,170,17,151,196,3,0,537,0,6,543,0
44,252,19,118,167,4,1,561,0,4,565,0
45,411,26,163,197,1,2,800,0,8,808,0
46,291,29,165,225,2,3,715,0,3,718,0
47,208,12,99,122,2,1,444,0,3,447,0
48,392,16,229,196,1,8,842,0,8,850,0
49,287,7,61,133,2,1,491,0,3,494,0
50,333,21,178,194,2,3,731,0,3,734,0
51,218,9,120,168,1,1,517,0,3,520,0
52,129,46,328,343,4,3,853,0,4,857,0
53,404,29,257,209,1,2,902,0,6,908,0
54,270,22,134,313,3,2,744,0,7,751,0
55,253,17,166,246,3,4,689,0,11,700,0
56,175,20,259,173,3,3,633,0,3,636,0
57,220,24,318,230,1,1,794,0,7,801,0
58,226,24,355,245,2,2,854,0,6,860,0
59,104,13,281,220,4,8,630,0,4,634,0
60,75,15,193,161,1,1,446,0,2,448,0
61,127,60,436,262,3,2,890,0,5,895,0
62,163,42,331,307,3,2,848,0,2,850,0
63,121,21,259,410,5,5,821,0,14,835,0
64,97,13,149,144,4,4,411,0,4,415,0
65,356,22,180,190,2,2,752,0,2,754,0
66,179,4,61,68,0,1,313,0,1,314,0
67,51,8,82,118,0,0,259,0,2,261,0
68,419,25,172,196,1,2,815,0,13,828,0
69,213,2,23,79,0,0,317,0,3,320,0
70,142,18,93,187,3,4,447,0,1,448,0
71,174,18,114,142,1,5,454,0,3,457,0
72,222,33,131,268,1,6,661,0,10,671,0
73,199,21,111,192,3,2,528,0,5,533,0
74,417,22,95,155,1,0,690,0,1,691,0
