Polling Station No,Candidate_1,AYANIBA.R,NADNANA.M.S.M,NAINAMARBUS.M SAILA IVAR.M,DLONYER SEMAJ.L,YMAWSANHSIRK.T,AMABAYHTAS.V,YHTRUMANIHCTAHD.YP,RAMUKAHDNANA.S,DNANA.K,RAKHSINAG,NANHSIRKALAB.G,YMASAGNAR.M,IVAR.P,YHTROOMUNHSIV.R,YMAWSADAKNEV.K,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,1,18,273,128,2,0,156,2,0,1,0,0,0,3,5,3,591,0,0,591,0
2,2,11,240,69,0,0,129,0,0,1,0,0,1,0,5,6,462,0,2,464,0
3,3,40,408,112,3,3,221,0,1,1,1,1,0,1,2,0,794,0,3,797,0
4,4,35,334,109,1,0,209,0,1,0,2,2,0,1,0,4,698,0,4,702,0
5,5,41,241,177,2,0,273,0,1,1,0,1,0,0,1,3,741,0,1,742,0
6,6,29,107,210,3,0,334,0,0,0,1,0,1,1,0,1,687,0,1,688,0
7,7,13,311,58,0,0,118,0,0,0,0,0,1,1,1,0,503,0,0,503,0
8,8,17,153,109,1,0,75,0,1,0,0,0,0,2,2,0,360,0,4,364,0
9,9,34,218,109,0,0,174,0,0,0,2,0,0,2,4,1,544,0,4,548,0
10,10,50,251,154,3,1,322,0,2,0,0,0,0,1,4,0,788,0,6,794,0
11,11,49,204,187,3,1,439,1,0,0,3,1,1,1,0,0,890,0,2,892,0
12,12,30,165,158,0,3,408,1,0,0,1,1,0,0,2,2,771,0,2,773,0
13,13,28,196,244,4,1,324,1,0,1,0,2,0,0,2,2,805,0,1,806,1
14,14,39,235,194,0,1,293,2,0,1,0,1,0,3,1,0,770,0,2,772,0
15,15,27,191,100,0,1,259,0,0,1,0,1,0,0,1,2,583,0,6,589,0
16,16,20,195,150,2,2,201,1,0,3,1,2,0,1,3,1,582,0,1,583,0
17,17,47,310,182,3,4,398,0,3,0,0,0,1,1,0,1,950,0,3,953,0
18,18,39,142,168,2,0,384,0,0,0,0,0,0,0,0,0,735,0,4,739,0
19,19,55,186,162,3,2,518,0,0,1,0,1,0,0,0,0,928,0,5,933,0
20,20,62,315,161,1,0,380,0,0,1,1,2,0,1,1,0,925,0,2,927,0
21,21,26,163,148,1,0,363,0,2,0,0,2,0,0,1,2,708,0,2,710,0
22,22,21,81,142,0,0,328,2,2,0,0,1,3,0,1,1,582,0,6,588,0
23,23,33,155,96,0,1,336,2,0,0,0,0,1,0,0,0,624,0,4,628,0
24,24,27,232,89,1,0,151,3,0,1,0,2,1,1,1,0,509,0,3,512,0
25,25,49,174,160,0,0,301,1,0,2,1,0,1,0,0,0,689,0,2,691,0
26,26,30,223,151,2,5,391,0,0,0,0,2,0,0,1,1,806,0,3,809,0
27,27,30,212,91,4,0,213,0,0,1,0,1,0,0,0,1,553,0,2,555,0
28,28,31,126,141,1,1,223,2,0,0,0,0,0,1,0,0,526,0,6,532,0
29,29,35,325,153,4,3,444,0,0,1,2,1,2,2,2,2,976,0,3,979,0
30,30,47,114,185,3,1,399,0,0,0,0,0,0,0,1,0,750,0,3,753,0
31,31,17,67,155,1,2,241,0,0,0,0,0,0,0,0,1,484,0,3,487,0
32,32,42,139,143,1,5,421,1,2,0,0,1,0,1,0,0,756,0,1,757,0
33,33,23,96,101,1,0,241,1,0,0,0,4,0,0,2,2,471,0,1,472,0
34,34,20,143,147,1,0,254,0,0,0,0,1,0,1,1,0,568,0,5,573,0
35,35,26,71,97,0,2,234,0,0,0,2,0,0,0,1,0,433,0,0,433,0
36,36,41,243,92,1,1,344,2,0,0,0,1,0,1,0,0,726,0,1,727,0
37,37,25,226,88,0,2,333,1,0,1,0,0,0,0,1,1,678,0,2,680,0
38,38,38,190,206,3,1,489,0,0,0,0,0,1,1,0,0,929,0,3,932,0
39,39,32,218,170,1,1,346,0,0,1,2,3,2,2,0,1,779,0,2,781,0
40,40,44,96,107,2,2,536,2,0,0,2,2,1,0,1,0,795,0,0,795,0
41,41,39,99,103,0,2,417,0,0,0,0,2,0,1,0,0,663,0,1,664,0
42,42,39,93,129,0,0,473,1,0,0,4,0,0,0,0,0,739,0,5,744,0
43,43,25,144,132,2,1,355,0,0,1,0,1,0,0,0,0,661,0,2,663,0
44,44,43,138,210,1,1,440,0,2,1,0,1,0,1,0,0,838,0,2,840,0
45,45,25,126,149,1,0,497,1,0,0,0,0,0,0,0,0,799,0,4,803,0
46,46,53,112,102,1,0,463,0,0,2,0,1,0,0,0,0,734,0,3,737,0
47,47,42,185,131,0,0,361,0,1,0,0,0,1,1,0,0,722,0,1,723,0
48,48,31,199,130,1,1,451,2,0,0,0,1,0,0,0,0,816,0,2,818,0
49,49,29,177,154,1,0,381,1,0,1,0,0,0,0,1,0,745,0,1,746,0
50,50,41,193,150,1,1,418,1,0,0,1,1,0,1,0,0,808,0,7,815,0
51,51,54,164,114,2,2,496,0,0,1,0,1,0,2,1,1,838,0,3,841,0
52,52,29,170,130,1,0,377,0,0,0,0,0,1,0,0,0,708,0,1,709,0
53,53,22,159,143,4,1,281,0,1,1,1,0,0,0,3,1,617,0,4,621,0
54,54,40,216,113,0,1,327,0,0,1,0,1,0,0,1,0,700,0,1,701,0
55,55,23,96,116,1,1,362,0,0,1,0,0,0,0,1,1,602,0,1,603,0
56,56,28,70,139,2,1,339,0,0,0,0,0,0,1,0,0,580,0,1,581,0
57,57,29,138,97,3,0,255,0,1,1,0,2,2,1,0,1,530,0,3,533,0
58,58,48,228,132,0,1,375,0,1,0,0,0,2,0,0,0,787,0,3,790,0
59,59,38,305,95,1,3,380,0,0,1,1,1,0,0,0,0,825,0,3,828,1
60,60,37,278,131,1,0,362,0,1,0,0,0,0,0,0,0,810,0,2,812,0
61,61,37,251,127,0,3,406,2,0,1,0,1,0,0,0,1,829,0,4,833,0
62,62,35,325,123,1,0,298,0,0,0,0,0,1,0,0,1,784,0,3,787,0
63,63,39,279,96,2,1,259,1,1,0,0,1,2,0,0,1,682,0,1,683,0
64,64,17,188,112,0,1,289,0,0,0,0,0,1,0,0,0,608,0,1,609,0
65,65,33,237,164,2,0,329,0,0,0,0,0,1,1,0,0,767,0,1,768,0
66,66,35,180,154,3,0,323,0,0,0,0,0,0,0,1,2,698,0,4,702,0
67,67,20,99,81,1,1,321,2,0,1,0,1,1,1,1,0,530,0,1,531,0
68,68,46,97,204,1,1,333,0,0,0,0,0,1,0,0,0,683,0,3,686,0
69,69,38,53,220,1,1,382,1,0,0,0,0,0,2,1,0,699,0,1,700,0
