Polling Station No,Candidate_1,S .JARAGNAHT,N.P .HSENID,N .RAMUKHSENID,S .YMASAGNAR,K .UHTUMILAK,S .NAGURUMALAB,G .IHZIVRALAM,KARABUM ILA DEMAHOM,M .RAMUKAYAJIV,A .AHSAB NHOJ,P .LEVAHTUMA,S .NANHSIRKAMAR .RD,K .IVEDAKIHTRAK,N .IHTRUMAVASEK,D .LABANAHD,RAMUKHSENID,RAMUKHSENID,V .RAMUKHSENID,V .MAGNILAHAM,M .LEVANIHTAR,S .HSEMAR,K .INAMAHTNASAV,K .YMASADAKNEV,G .MALAHCATAKNEV,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,1,178,17,154,1,2,222,2,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,581,0,3,584,0
2,2,152,36,139,1,0,236,1,0,2,1,1,0,1,0,0,3,1,1,0,1,0,1,0,0,577,0,5,582,0
3,3,97,26,161,1,4,297,1,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,592,0,4,596,0
4,4,98,40,153,0,3,361,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,661,0,9,670,0
5,5,158,34,144,2,3,229,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,573,0,2,575,0
6,6,153,17,173,0,1,282,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,631,0,2,633,0
7,7,127,29,169,1,8,328,1,0,0,0,0,0,0,1,0,2,0,0,0,2,1,2,0,1,672,0,0,672,0
8,8,116,25,234,1,4,273,0,0,0,0,0,1,1,1,0,4,2,0,0,0,0,0,1,1,664,0,1,665,0
9,9,107,40,171,1,2,323,1,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,650,0,7,657,0
10,10,87,32,171,0,0,263,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,556,0,1,557,0
11,11,84,22,83,1,1,226,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,420,0,0,420,0
12,12,65,11,109,0,1,173,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,360,0,0,360,0
13,13,133,33,180,2,2,347,1,0,5,0,0,0,0,0,2,0,0,1,1,0,0,1,0,0,708,0,2,710,0
14,14,78,17,364,1,15,284,0,0,0,0,0,0,1,0,0,1,1,0,2,1,0,0,0,1,766,0,1,767,0
15,15,116,34,200,1,10,354,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,720,0,7,727,0
16,16,68,43,227,2,22,364,1,0,0,0,0,0,0,0,0,3,0,0,0,1,1,1,1,1,735,0,1,736,0
17,17,54,19,151,1,3,229,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,462,0,0,462,0
18,18,88,38,237,0,40,407,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,811,0,3,814,0
19,19,50,11,119,1,4,151,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,340,0,1,341,0
20,20,48,13,148,1,0,176,2,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,394,0,1,395,0
21,21,69,20,172,2,11,275,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,552,0,0,552,0
22,22,65,25,134,1,3,246,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,2,1,0,481,0,2,483,0
23,23,66,26,185,0,9,215,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,504,0,6,510,0
24,24,82,40,148,1,6,302,2,1,0,0,1,0,1,0,0,2,0,1,1,0,0,0,0,0,588,0,1,589,0
25,25,64,23,188,0,12,327,1,1,1,0,0,0,0,3,0,0,0,0,2,3,0,0,0,0,625,0,3,628,0
26,26,62,23,211,3,3,283,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,589,0,1,590,0
27,27,70,19,166,1,4,205,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,469,0,1,470,0
28,28,49,17,121,1,8,234,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,3,0,0,438,0,2,440,0
29,29,105,32,116,0,0,278,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,535,0,5,540,0
30,30,75,33,214,1,10,347,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,685,0,2,687,0
31,31,70,14,93,0,1,185,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,366,0,1,367,0
32,32,50,17,97,1,2,191,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,360,0,1,361,0
33,33,125,27,195,0,9,324,1,0,0,1,0,0,0,1,1,2,1,0,0,1,1,0,0,0,689,0,2,691,0
34,34,152,39,196,1,11,390,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,794,0,5,799,0
35,35,151,49,191,1,3,294,1,0,0,0,0,0,0,0,0,2,1,1,2,0,0,2,0,2,700,0,2,702,0
36,36,86,24,121,0,18,204,2,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,459,0,0,459,0
37,37,226,35,173,0,2,212,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,649,0,5,654,0
38,38,82,27,173,1,9,267,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,1,0,565,0,2,567,0
39,39,179,26,162,0,2,248,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,623,0,2,625,0
40,40,179,21,124,0,1,176,2,0,1,1,0,0,0,0,0,0,3,2,2,0,0,1,2,1,516,0,2,518,0
41,41,247,16,132,2,0,194,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,596,0,5,601,0
42,42,199,31,215,0,1,232,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,683,0,1,684,0
43,43,88,25,238,1,5,251,2,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,614,0,1,615,0
44,44,113,19,197,1,9,239,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,583,0,3,586,0
45,45,151,26,368,2,2,239,0,0,0,0,1,1,0,2,1,0,1,1,2,0,0,0,0,0,797,0,1,798,0
46,46,174,16,174,0,0,215,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,585,0,0,585,0
47,47,171,26,215,2,3,272,0,0,0,0,0,0,0,1,0,0,2,2,1,0,0,0,0,0,695,0,1,696,0
48,48,166,21,130,0,0,166,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,484,0,0,484,0
49,49,138,23,213,0,3,225,2,2,0,0,0,1,0,0,0,0,0,1,1,0,0,2,1,0,612,0,1,613,0
50,50,166,18,114,2,2,224,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,531,0,0,531,0
51,51,71,16,130,0,2,194,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,418,0,2,420,0
52,52,100,20,121,0,0,177,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,423,0,0,423,0
53,53,152,19,207,3,0,295,1,0,0,0,0,0,1,0,2,0,0,0,1,1,0,0,0,1,683,0,1,684,0
54,54,159,31,227,0,1,286,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,707,0,0,707,0
55,55,125,19,130,0,0,219,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,496,0,4,500,0
56,56,71,27,159,0,4,206,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,470,0,2,472,0
57,57,79,17,94,1,5,219,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,421,0,1,422,0
58,58,76,16,109,0,2,201,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,408,0,0,408,0
59,59,92,26,228,2,1,346,0,0,1,0,0,0,0,1,0,2,2,1,1,1,0,0,1,0,705,0,4,709,0
60,60,160,32,168,1,2,317,2,1,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,1,688,0,2,690,0
61,61,97,26,175,0,14,279,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,1,1,0,598,0,2,600,0
62,62,62,19,198,1,13,259,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,2,0,0,559,0,6,565,0
63,63,167,31,221,1,6,201,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,631,0,2,633,0
64,64,223,21,161,3,0,243,0,1,0,0,0,0,1,0,0,1,0,2,0,0,0,1,0,0,657,0,3,660,0
65,65,155,17,127,0,0,186,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,488,0,3,491,0
66,66,165,40,222,0,1,327,3,0,0,0,0,0,0,0,0,2,1,1,3,0,0,4,0,0,769,0,0,769,0
67,67,187,20,119,2,0,171,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,504,0,2,506,0
68,68,224,35,160,0,0,226,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,650,0,5,655,0
