Polling Station No,SIVAJI PERUMAL,NEHRUJI GUNASEKARAN,K.R.JAYARAM,V.SRINIDHI,N.R.APPATHURAI,SARVESWARAN,S.S.SUNDHARAM,MURUGAN.O,K.S.SRI GIRI PRASATH,AKBAR ALI,M.ASHOK KUMAR,AYOOB RIYAS,N.RAJASEKARAN,UMA PARAMASIVAM,KARTHIK,K.KUMAR BABU,S.SATHEESH,SUBARAMANIAN.N,P.TAMILSELVI,THAHIR HUSSAIN,V.BALAMURUGAN,R.MANIKANDABRABHU,A.MOUNAKUMAR,DR.K.RAJKUMAR,RAJKUMAR.M,VASANTHI,VIJAYAKUMAR,JANANI.D,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,3,29,279,134,0,1,0,0,235,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,685,0,5,690,0
2,0,34,191,133,4,0,0,1,332,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,0,0,0,0,700,0,3,703,0
3,1,37,228,183,0,0,1,0,318,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,774,0,5,779,0
4,1,27,204,171,3,0,0,1,346,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,758,0,2,760,0
5,3,27,170,107,0,1,1,1,180,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,493,0,3,496,0
6,1,24,283,117,0,0,0,0,212,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,644,0,3,647,0
7,2,23,153,141,3,0,1,0,167,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491,0,7,498,0
8,3,40,193,163,1,0,0,0,313,3,0,0,0,1,0,0,2,1,0,1,1,0,0,0,0,0,0,0,722,0,5,727,0
9,1,30,218,147,1,0,1,1,222,1,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,627,0,3,630,0
10,0,33,109,118,0,1,0,0,251,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,2,1,0,1,520,0,0,520,0
11,0,38,233,148,1,1,2,0,318,0,0,0,0,0,0,0,2,0,3,3,1,0,0,0,1,0,0,1,752,0,4,756,0
12,1,10,67,215,0,0,1,0,252,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,552,0,1,553,0
13,1,2,79,187,0,0,1,2,257,1,2,1,2,2,0,0,0,0,1,1,2,1,0,0,2,1,1,0,546,0,1,547,0
14,0,34,216,132,0,0,1,0,377,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,765,0,3,768,0
15,1,30,173,125,1,0,0,0,260,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,593,0,3,596,0
16,4,34,209,242,1,0,1,1,374,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,3,874,0,5,879,0
17,2,28,194,188,0,2,1,0,319,1,0,0,0,0,0,1,2,0,1,5,1,0,0,0,0,0,0,2,747,0,2,749,0
18,0,27,116,210,1,0,2,1,235,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,596,0,5,601,0
19,0,29,155,212,1,0,0,0,192,1,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,1,0,1,597,0,3,600,0
20,2,35,259,177,1,0,0,1,240,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,716,0,6,722,0
21,1,12,113,129,1,0,1,0,165,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,426,0,4,430,0
22,1,30,149,151,1,0,1,0,202,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,538,0,4,542,0
23,1,14,99,112,1,1,1,0,199,1,0,0,0,0,0,0,3,1,2,1,0,2,0,0,1,0,1,0,440,0,7,447,0
24,0,30,121,178,0,1,0,0,158,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,491,0,4,495,0
25,0,28,198,144,1,1,3,1,225,1,1,0,0,2,0,0,0,1,1,1,0,0,0,0,0,1,1,1,611,0,9,620,0
26,1,35,143,233,0,0,1,0,314,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,734,0,3,737,0
27,1,16,184,216,1,1,0,4,477,1,0,0,0,2,0,0,1,1,2,5,1,0,1,0,3,0,0,0,917,0,5,922,0
28,0,12,68,99,0,1,1,0,165,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,350,0,2,352,0
29,0,10,150,134,0,0,1,0,207,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,1,508,0,3,511,0
30,0,19,125,112,0,8,1,0,155,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,422,0,3,425,0
31,0,7,144,108,0,0,0,0,184,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,446,0,0,446,0
32,0,23,139,266,1,1,0,0,289,2,0,0,0,1,0,1,2,2,0,0,0,0,0,0,0,1,0,0,728,0,6,734,0
33,0,30,118,163,1,0,1,1,213,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,533,0,4,537,0
34,0,22,147,101,3,0,2,0,228,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,505,0,1,506,0
35,1,19,159,183,0,0,0,0,193,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,557,0,3,560,0
36,1,20,122,130,0,0,0,0,183,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,459,0,4,463,0
37,2,24,123,186,0,0,1,0,193,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,535,0,3,538,0
38,2,19,111,207,1,1,1,2,355,0,1,2,2,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,710,0,4,714,0
39,2,18,164,101,0,1,0,0,153,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,443,0,3,446,0
40,1,33,204,222,2,1,3,0,300,2,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,773,0,5,778,0
41,1,25,153,154,0,1,0,0,321,0,1,0,0,1,0,0,0,2,1,5,0,0,0,0,2,1,0,0,668,0,2,670,0
42,3,17,131,193,1,0,0,1,266,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,617,0,2,619,0
43,1,26,152,111,0,0,0,0,214,3,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0,2,1,0,515,0,1,516,0
44,1,21,135,113,1,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,476,0,5,481,0
45,1,13,174,180,1,1,1,0,265,1,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,642,0,6,648,0
46,1,29,186,214,3,2,0,2,334,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,779,0,9,788,0
47,6,27,138,186,1,2,0,3,265,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,632,0,4,636,0
48,3,20,159,130,1,1,0,0,287,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,1,2,612,0,5,617,0
49,1,15,100,85,0,0,0,0,214,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,419,0,6,425,0
50,1,40,205,166,0,0,0,0,269,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,686,0,6,692,0
51,2,44,168,202,1,0,0,1,303,0,1,0,2,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,731,0,2,733,0
52,1,24,187,160,1,0,1,1,218,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,5,602,0,6,608,0
53,0,37,185,150,0,1,0,2,356,1,1,0,0,1,0,0,4,1,0,1,0,0,0,0,0,1,0,0,741,0,2,743,0
54,1,31,122,124,0,1,0,1,226,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,509,0,3,512,0
55,0,23,102,106,1,0,1,1,158,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394,0,2,396,0
