Polling Station No,UMADEVI. P,KUTTY (ALIAS) SUDHAKAR. A,LEKSHMANA SINGH. D,DR. SRIDHARAN. A,PERUMAL. K,LAKSHMI. N,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,25,243,125,168,0,1,562,0,3,565,0
2,13,203,153,205,3,1,578,0,4,582,0
3,25,234,145,216,2,0,622,0,6,628,0
4,30,247,148,196,3,0,624,0,1,625,0
5,15,350,177,243,1,4,790,0,2,792,0
6,23,367,226,266,4,1,887,0,7,894,0
7,17,206,179,315,5,1,723,0,5,728,0
8,8,165,162,255,2,0,592,0,1,593,0
9,7,142,137,242,2,0,530,0,2,532,0
10,24,248,165,154,1,3,595,0,4,599,0
11,36,267,220,207,0,3,733,0,3,736,0
12,21,386,193,170,1,1,772,0,1,773,0
13,40,406,227,292,2,1,968,0,2,970,0
14,23,201,174,192,5,0,595,0,5,600,0
15,37,231,177,169,0,1,615,0,5,620,0
16,29,452,209,288,1,0,979,0,4,983,0
17,10,119,29,63,0,0,221,0,0,221,0
18,16,185,160,221,4,0,586,0,6,592,0
19,22,175,114,148,0,0,459,0,2,461,0
20,35,266,196,216,1,2,716,0,3,719,0
21,27,240,139,207,0,4,617,0,2,619,0
22,11,177,120,153,2,0,463,0,4,467,0
23,26,187,262,245,4,2,726,0,1,727,0
24,23,95,209,198,3,0,528,0,0,528,0
25,17,89,161,198,3,2,470,0,5,475,0
26,19,166,164,274,1,0,624,0,5,629,0
27,26,136,152,308,0,3,625,0,4,629,0
28,17,157,185,270,2,0,631,0,3,634,0
29,23,129,195,143,0,0,490,0,2,492,0
30,30,105,101,199,1,1,437,0,1,438,0
31,20,166,246,140,0,2,574,0,1,575,0
32,30,143,341,188,0,0,702,0,2,704,0
33,30,270,243,278,6,3,830,0,6,836,0
34,29,178,244,219,1,0,671,0,1,672,0
35,29,250,291,258,3,1,832,0,2,834,0
36,22,256,160,207,1,0,646,0,2,648,0
37,15,214,194,214,1,2,640,0,4,644,0
38,17,442,64,222,1,1,747,0,0,747,0
39,16,127,142,189,2,1,477,0,1,478,0
40,16,97,146,244,0,0,503,0,1,504,0
41,17,181,149,232,6,1,586,0,1,587,0
42,21,190,269,209,2,0,691,0,5,696,0
43,22,150,184,134,0,0,490,0,0,490,0
44,26,122,146,254,2,0,550,0,4,554,0
45,37,171,357,190,6,3,764,0,6,770,0
46,19,224,354,219,5,5,826,0,2,828,0
47,27,181,253,192,4,0,657,0,8,665,0
48,31,262,277,335,2,3,910,0,7,917,0
49,16,168,290,229,2,2,707,0,4,711,0
50,19,220,185,306,3,0,733,0,1,734,0
51,31,221,206,280,1,0,739,0,2,741,0
52,25,111,194,191,3,2,526,0,1,527,0
53,17,159,241,113,2,2,534,0,3,537,0
54,23,272,356,167,1,1,820,0,1,821,0
55,22,212,311,256,2,1,804,0,0,804,0
56,11,195,188,190,0,4,588,0,6,594,0
57,11,157,209,131,1,1,510,0,0,510,0
58,15,170,121,190,2,0,498,0,4,502,0
59,10,220,134,184,1,0,549,0,0,549,0
60,27,254,298,194,0,3,776,0,2,778,0
61,5,180,167,160,2,1,515,0,2,517,0
62,13,145,204,125,2,2,491,0,1,492,0
