Polling Station No,Candidate_1,INAMAHDAR M,NANHSIRKAMARAYAJ R,ULEVAGUMNAHS C,RAMUKLIHTNES KA,IALAMURIHT R,ILA DEMAHA M,LEVAGUMNAHS A,LEVAGUMNAHS K,LEVAGUMNAHS S,LEVAGUNAHS M,JARAGNAHT P,NARDNEHAM PS,NAGAHZAVIDAV IJALAB K,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,1,9,203,205,2,124,0,0,0,1,1,0,2,2,549,0,3,552,0
2,2,16,204,175,0,217,1,0,1,0,1,0,1,0,616,0,2,618,0
3,3,17,234,203,0,201,0,0,0,0,0,1,3,7,666,0,3,669,0
4,4,15,224,277,1,115,0,0,0,0,1,0,4,2,639,0,2,641,0
5,5,19,140,170,1,174,1,0,0,0,0,3,0,2,510,0,5,515,0
6,6,17,96,126,2,141,0,0,0,0,0,0,0,0,382,0,2,384,0
7,7,19,150,158,3,189,0,0,1,1,0,1,0,6,528,0,5,533,0
8,8,30,236,194,1,226,0,0,0,0,0,2,0,0,689,0,6,695,0
9,9,12,147,143,6,108,0,1,0,0,0,0,0,0,417,0,5,422,0
10,10,9,109,136,0,85,0,0,0,0,1,0,0,0,340,0,0,340,0
11,11,11,207,159,2,205,0,0,0,3,1,1,0,3,592,0,7,599,0
12,12,18,158,128,2,112,1,0,0,0,0,1,1,0,421,0,6,427,0
13,13,22,304,308,2,197,1,0,1,4,1,1,0,2,843,0,2,845,0
14,14,36,370,248,0,313,1,2,0,6,4,0,2,2,984,0,5,989,0
15,15,24,245,181,2,216,0,0,1,2,2,0,0,2,675,0,2,677,0
16,16,34,237,243,8,249,1,1,0,1,2,1,1,1,779,0,4,783,0
17,17,6,197,117,1,157,0,1,0,2,1,1,2,5,490,0,3,493,0
18,18,8,168,164,2,146,1,0,0,0,0,0,0,0,489,0,2,491,0
19,19,40,372,241,2,117,1,0,0,1,3,1,4,0,782,0,4,786,0
20,20,16,180,117,0,141,1,0,0,0,0,0,1,0,456,0,2,458,0
21,21,19,181,197,1,61,0,0,0,0,2,0,2,2,465,0,0,465,0
22,22,19,300,212,3,195,0,1,1,3,0,2,2,1,739,0,1,740,0
23,23,27,197,185,3,170,0,2,0,0,1,0,0,7,592,0,2,594,0
24,24,24,222,166,0,132,0,0,0,2,4,0,0,0,550,0,4,554,0
25,25,33,301,275,7,187,1,0,1,2,0,0,3,0,810,0,4,814,0
