Polling Station No,Polling Station No.,S .UHTUMIHCAN,N .IDNAP,B .IRAWSEGURUM,K .NARAHONAMIVAR,NEEVARP M .RAMUK .RD,G .IHTROOMAMAR,K .IARUDLAKKYAV,G .RAMUKKOHSA,R .USARABNA,P .NAPPAISANNAHT,B .YMASIALAMURIHT,M .NARDNAHCALAB,R .RAMUKNEEVARP,R .IRAWSEHDAM,T .RAMUKAYAJ,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,1,1,150,23,300,147,0,0,1,2,0,1,1,0,3,0,629,0,2,631,0
2,2,1,99,13,264,96,0,0,0,0,0,1,0,1,1,1,477,0,2,479,0
3,3,1,206,25,310,175,2,1,0,0,0,0,3,0,0,3,726,0,2,728,0
4,4,0,146,20,207,186,1,0,2,0,0,1,0,3,0,1,567,0,1,568,0
5,5,0,161,15,353,100,0,0,1,1,0,1,2,2,0,2,638,0,3,641,0
6,6,1,203,18,315,329,0,0,1,0,1,0,1,1,0,1,871,0,0,871,0
7,7,4,182,20,241,304,0,0,1,0,0,1,1,1,0,1,756,0,3,759,0
8,8,1,178,13,344,169,0,1,2,2,0,0,1,1,1,0,713,0,4,717,0
9,9,1,128,1,62,224,1,0,0,1,0,0,0,0,0,0,418,0,1,419,0
10,10,3,207,32,370,236,1,0,1,0,0,0,1,0,1,1,853,0,10,863,0
11,11,1,113,11,126,117,0,0,0,0,0,0,0,0,0,0,368,0,1,369,0
12,12,1,210,21,261,172,0,1,1,0,0,1,0,2,1,3,674,0,4,678,0
13,13,2,215,10,263,140,0,0,1,0,0,0,3,1,0,0,635,0,1,636,0
14,14,2,178,14,385,200,0,0,0,0,0,0,0,0,0,0,779,0,2,781,0
15,15,2,71,5,140,89,0,0,0,0,0,2,0,0,1,0,310,0,1,311,0
16,16,3,257,30,272,341,0,1,1,0,1,0,0,2,1,1,910,0,7,917,0
17,17,3,277,18,220,296,1,1,1,0,1,1,0,1,0,1,821,0,7,828,0
18,18,2,152,17,240,245,1,0,2,0,0,1,1,1,1,2,665,0,4,669,0
19,19,0,98,11,264,170,1,0,0,1,0,0,2,0,1,0,548,0,2,550,0
20,20,2,271,11,253,244,0,1,1,0,1,1,1,3,1,3,793,0,6,799,0
21,21,2,186,13,274,177,0,0,0,1,0,0,0,0,0,0,653,0,1,654,0
22,22,1,385,17,317,232,0,2,3,0,1,0,2,2,2,0,964,0,2,966,0
23,23,0,177,14,338,161,1,0,1,1,0,0,2,1,0,2,698,0,1,699,0
24,24,2,113,13,326,81,0,1,1,0,0,0,0,2,0,4,543,0,2,545,0
25,25,5,276,20,279,278,0,4,2,0,0,0,0,0,0,2,866,0,9,875,0
26,26,7,212,25,255,237,0,0,3,0,3,0,0,0,0,0,742,0,6,748,0
27,27,2,268,20,151,190,0,1,0,0,0,0,2,1,0,0,635,0,3,638,0
28,28,0,274,12,147,136,0,4,1,0,0,0,0,2,2,2,580,0,2,582,0
29,29,3,230,5,141,108,0,0,0,0,1,0,0,1,1,1,491,0,0,491,0
30,30,3,311,31,242,209,0,3,0,0,0,0,0,0,1,3,803,0,3,806,0
31,31,8,225,23,156,124,0,8,0,0,1,0,0,0,0,1,546,0,1,547,0
32,32,1,235,39,366,205,1,1,4,0,1,0,0,1,0,1,855,0,6,861,0
33,33,3,226,19,177,152,1,2,0,0,0,1,0,1,2,1,585,0,2,587,0
34,34,5,170,25,201,112,2,0,1,0,0,0,1,0,1,0,518,0,5,523,0
35,35,2,540,7,70,76,1,0,0,0,0,0,0,0,0,3,699,0,3,702,0
36,36,2,191,9,147,161,1,0,0,0,0,0,1,1,0,0,513,0,1,514,0
37,37,4,265,10,146,115,1,1,2,0,0,0,0,0,0,2,546,0,2,548,0
38,38,2,376,10,301,199,2,5,1,1,0,2,1,0,1,9,910,0,4,914,0
39,39,0,329,6,24,56,0,0,0,0,0,0,0,0,0,1,416,0,1,417,0
40,40,2,131,9,167,150,1,2,1,0,0,0,1,0,1,5,470,0,1,471,0
41,41,0,477,7,29,66,2,0,0,0,0,0,0,0,1,0,582,0,3,585,0
42,42,3,413,13,153,137,0,0,2,0,0,0,0,0,1,2,724,0,2,726,0
43,43,1,145,22,245,168,1,0,1,0,2,0,0,1,2,2,590,0,0,590,0
44,44,1,147,18,202,190,0,1,1,0,0,0,0,0,0,2,562,0,2,564,0
45,45,2,156,28,120,155,0,2,1,1,0,0,1,2,1,1,470,0,1,471,0
46,46,1,173,17,181,167,2,3,3,0,1,0,2,0,1,1,552,0,0,552,0
47,47,0,248,36,245,264,0,1,0,0,0,0,0,0,1,0,795,0,8,803,0
48,48,4,208,28,317,276,0,0,2,0,0,0,1,0,1,2,839,0,2,841,0
49,49,2,321,14,247,275,0,1,0,0,0,0,1,0,2,1,864,0,1,865,0
50,50,5,323,14,250,242,3,0,3,0,0,0,1,0,2,3,846,0,3,849,0
51,51,4,158,24,450,129,0,1,0,1,0,1,2,1,1,1,773,0,2,775,0
52,52,3,190,19,397,125,0,2,1,0,0,0,0,3,2,2,744,0,2,746,0
53,53,3,316,16,260,142,1,0,0,1,0,1,0,0,3,0,743,0,2,745,0
54,54,2,143,21,235,246,0,0,0,0,0,0,0,1,0,0,648,0,3,651,0
55,55,0,164,18,172,138,5,0,0,0,0,0,0,0,0,0,497,0,9,506,0
56,56,0,118,22,123,157,1,1,2,0,0,0,1,1,0,0,426,0,3,429,0
57,57,3,175,19,211,267,0,0,2,0,0,0,1,0,0,1,679,0,2,681,0
58,58,0,103,12,206,217,0,0,1,0,0,0,0,0,0,4,543,0,3,546,0
59,59,1,125,17,95,111,1,0,1,0,0,0,0,0,0,1,352,0,3,355,0
60,60,0,147,26,107,151,0,0,1,0,0,0,0,0,0,1,433,0,2,435,0
61,61,1,177,28,123,192,2,0,1,0,0,0,1,0,1,0,526,0,4,530,0
62,62,1,76,11,71,93,2,0,1,0,0,0,1,0,1,0,257,0,4,261,0
63,63,4,186,16,296,414,0,0,1,1,0,0,0,4,1,3,926,0,5,931,0
64,64,2,180,18,161,250,0,0,1,0,0,1,0,1,0,0,614,0,2,616,0
65,65,1,115,9,164,228,1,0,1,1,1,0,1,2,0,1,525,0,2,527,0
66,66,1,82,14,156,152,0,0,2,0,1,0,0,1,0,0,409,0,1,410,0
67,67,1,145,26,279,286,1,0,2,0,1,0,0,1,0,2,744,0,3,747,0
68,68,0,250,25,172,306,2,0,1,0,3,0,0,0,1,0,760,0,0,760,0
69,69,0,144,14,110,151,0,0,0,0,0,0,0,2,0,1,422,0,4,426,0
70,70,1,220,21,168,281,0,0,1,0,0,0,0,1,0,1,694,0,7,701,0
71,71,0,214,26,136,244,2,0,1,0,0,0,0,1,0,0,624,0,2,626,0
72,72,2,237,28,118,263,2,0,0,1,0,0,0,1,1,2,655,0,5,660,0
73,73,4,204,21,234,233,2,1,0,1,0,0,0,1,0,3,704,0,3,707,0
74,74,1,132,13,174,181,0,0,0,0,0,1,0,0,1,1,504,0,4,508,0
75,75,0,280,23,203,240,0,0,0,0,1,0,1,0,0,4,752,0,5,757,0
76,76,1,241,19,251,254,0,0,1,1,0,0,0,0,0,0,768,0,2,770,0
77,77,1,169,28,247,254,0,0,0,0,0,0,0,0,0,0,699,0,3,702,0
78,78,1,146,19,273,211,2,3,0,0,2,0,1,0,0,1,659,0,3,662,0
79,79,3,222,24,227,316,1,0,0,1,0,0,1,1,0,0,796,0,4,800,0
80,80,0,221,21,223,223,1,0,0,0,0,0,0,1,0,0,690,0,5,695,0
81,81,7,184,21,158,233,1,1,0,0,0,0,1,2,1,1,610,0,3,613,0
82,82,1,179,27,265,335,1,0,3,0,1,0,0,3,0,2,817,0,5,822,0
83,83,2,327,13,290,204,1,0,0,0,1,0,0,2,0,2,842,0,5,847,0
84,84,0,102,18,126,226,0,0,3,1,0,0,0,1,0,2,479,0,2,481,0
85,85,2,136,18,178,335,1,1,0,2,0,0,0,0,0,1,674,0,2,676,0
86,86,2,233,10,165,366,3,0,3,0,0,0,3,1,1,3,790,0,4,794,0
87,87,1,34,6,34,56,3,0,0,0,0,0,0,0,0,0,134,0,1,135,0
88,88,1,98,11,145,117,1,0,0,0,0,0,0,0,0,3,376,0,4,380,0
89,89,0,130,12,180,158,0,0,0,0,0,1,0,0,0,1,482,0,2,484,0
90,90,1,146,28,182,248,1,0,1,0,2,0,0,0,1,2,612,0,2,614,0
91,91,2,194,17,185,255,0,0,0,0,0,0,0,0,0,2,655,0,6,661,0
92,92,0,115,14,133,153,1,0,0,1,1,0,0,0,0,0,418,0,5,423,0
93,93,0,196,27,201,300,1,1,0,0,1,1,0,0,0,0,728,0,2,730,0
94,94,3,153,20,163,242,1,1,0,0,1,0,1,1,1,0,587,0,0,587,0
95,95,1,212,11,175,153,1,1,1,0,0,1,1,0,0,3,560,0,3,563,0
96,96,2,506,20,93,208,2,0,1,0,0,0,0,1,0,2,835,0,2,837,0
97,97,0,155,17,208,229,4,0,0,0,0,0,1,0,0,0,614,0,5,619,0
98,98,0,249,29,207,372,1,0,0,1,1,2,1,0,0,1,864,0,5,869,0
99,99,1,159,30,177,206,1,0,0,0,1,0,0,0,0,0,575,0,4,579,0
100,100,4,206,21,205,171,0,0,0,0,1,1,0,0,0,2,611,0,6,617,0
101,101,4,356,17,210,321,1,1,0,1,1,0,0,3,1,4,920,0,1,921,0
102,102,1,257,43,289,285,0,1,0,0,0,0,0,2,0,2,880,0,3,883,0
103,103,4,155,27,292,285,0,0,1,0,1,2,1,2,0,1,771,0,4,775,0
104,104,1,68,11,133,200,0,0,0,0,1,0,0,1,0,0,415,0,1,416,0
105,105,0,124,12,154,178,1,0,0,0,0,2,2,0,0,1,474,0,0,474,0
106,106,2,139,26,207,242,2,0,1,1,1,1,0,0,0,1,623,0,5,628,0
107,107,2,135,13,175,186,2,0,1,0,0,0,1,1,0,0,516,0,1,517,0
108,108,1,139,18,375,174,0,0,0,0,0,0,0,2,0,0,709,0,1,710,0
109,109,3,301,4,83,118,2,0,0,0,0,0,0,0,0,2,513,0,1,514,0
110,110,2,605,17,35,145,0,0,0,0,0,0,0,0,0,2,806,0,1,807,0
111,111,3,506,8,108,134,0,0,0,0,0,0,0,0,1,0,760,0,4,764,0
112,112,0,397,31,115,182,2,0,0,0,1,0,0,0,1,3,732,0,3,735,0
113,113,2,264,18,261,213,1,1,1,0,0,0,0,2,0,0,763,0,2,765,0
114,114,1,144,7,189,144,0,0,0,0,0,0,0,1,0,2,488,0,3,491,0
115,115,1,395,8,120,154,0,0,2,0,0,0,0,0,0,3,683,0,3,686,0
116,116,2,328,6,101,162,0,0,0,0,0,0,0,0,0,1,600,0,2,602,0
117,117,3,467,15,115,215,1,0,0,1,0,1,1,0,0,2,821,0,0,821,0
118,118,1,157,18,198,212,1,0,1,0,0,0,0,0,1,0,589,0,2,591,0
119,119,0,196,22,258,226,0,0,1,0,0,0,0,1,2,0,706,0,3,709,0
120,120,2,135,13,146,143,0,1,0,0,1,0,1,0,1,0,443,0,1,444,0
121,121,1,241,22,199,247,0,0,2,0,0,1,0,1,0,1,715,0,5,720,0
122,122,0,151,9,194,215,0,0,0,0,0,0,0,1,1,2,573,0,1,574,0
123,123,1,136,10,168,146,0,0,1,0,0,0,0,0,0,1,463,0,1,464,0
124,124,0,149,23,121,235,2,0,1,0,0,0,0,0,0,0,531,0,2,533,0
125,125,1,190,24,183,243,0,0,1,3,1,0,0,0,0,0,646,0,1,647,0
126,126,2,205,11,201,197,0,0,2,0,0,0,0,0,5,1,624,0,2,626,0
127,127,7,230,39,255,303,3,2,3,0,0,0,2,0,2,4,850,0,5,855,0
128,128,3,189,24,237,365,2,0,0,1,0,0,0,0,1,2,824,0,5,829,0
129,129,2,119,13,180,176,2,0,0,0,0,1,0,0,0,1,494,0,0,494,0
130,130,3,179,22,196,204,0,0,0,0,0,0,0,1,2,1,608,0,1,609,0
131,131,3,160,19,251,296,4,0,0,1,0,0,0,2,0,4,740,0,3,743,0
132,132,1,109,19,128,210,3,1,1,0,0,0,0,2,0,0,474,0,2,476,0
133,133,0,119,14,135,262,1,2,2,0,0,1,0,0,0,1,537,0,3,540,0
134,134,2,166,12,207,277,2,0,3,0,1,0,0,1,0,4,675,0,1,676,0
135,135,3,123,15,177,163,0,0,2,1,0,0,0,0,0,0,484,0,6,490,0
136,136,1,133,14,148,148,1,0,0,0,0,1,0,0,1,0,447,0,0,447,0
137,137,0,156,23,280,263,5,1,0,0,0,0,0,1,0,1,730,0,1,731,0
138,138,1,91,7,130,98,1,0,0,0,0,0,0,1,0,0,329,0,0,329,0
139,139,1,108,18,276,180,1,1,1,0,1,0,1,2,0,0,590,0,4,594,0
140,140,0,153,22,288,153,2,0,1,0,0,1,0,0,0,0,620,0,0,620,0
141,141,1,95,21,156,125,0,0,0,0,0,0,0,1,0,2,401,0,1,402,0
142,142,3,147,14,291,238,2,0,1,0,0,0,0,2,0,1,699,0,4,703,0
143,143,1,231,15,267,242,0,0,2,0,0,0,0,0,1,0,759,0,6,765,0
144,144,3,195,8,302,237,2,0,0,1,0,0,0,2,2,3,755,0,2,757,0
145,145,4,133,15,297,210,0,0,1,1,0,0,1,1,0,0,663,0,3,666,0
146,146,4,240,11,175,121,0,0,0,0,1,0,1,1,1,3,558,0,2,560,0
147,147,4,206,46,151,341,0,2,0,0,0,5,1,0,0,2,758,0,4,762,0
148,148,1,198,56,204,276,2,1,2,0,0,1,0,3,1,4,749,0,4,753,0
149,149,1,127,35,119,232,0,1,1,0,1,0,1,1,0,1,520,0,3,523,0
150,150,3,168,12,279,253,0,1,0,1,1,2,2,4,1,3,730,0,4,734,0
151,151,1,99,15,218,113,1,0,0,0,0,0,0,1,0,2,450,0,0,450,0
152,152,2,85,24,201,216,1,0,0,0,1,0,1,0,0,1,532,0,1,533,0
153,153,0,161,9,189,146,0,1,0,0,2,0,0,0,0,1,509,0,0,509,0
154,154,1,127,15,323,113,0,0,0,0,1,0,0,0,0,5,585,0,1,586,0
155,155,2,138,12,255,89,1,0,0,0,7,0,0,1,0,0,505,0,1,506,0
156,156,1,49,7,121,44,0,0,0,0,1,0,0,0,1,4,228,0,0,228,0
157,157,1,111,15,237,172,1,0,0,1,5,1,1,3,2,1,551,0,2,553,0
158,158,2,144,16,247,210,0,2,0,1,3,0,1,2,0,1,629,0,2,631,0
159,159,3,108,12,186,137,1,0,2,0,0,0,1,1,1,1,453,0,0,453,0
160,160,2,138,25,251,176,0,1,0,0,0,0,1,1,0,3,598,0,1,599,0
161,161,1,107,35,173,179,0,1,1,0,1,0,0,0,0,0,498,0,2,500,0
162,162,0,256,20,238,170,0,0,2,0,3,0,2,0,0,2,693,0,1,694,0
163,163,2,177,24,110,121,1,1,0,1,0,1,1,0,1,0,440,0,2,442,0
164,164,2,171,30,333,339,2,0,2,0,0,0,4,1,1,3,888,0,3,891,0
165,165,2,154,6,229,110,0,0,1,0,0,0,0,1,0,0,503,0,1,504,0
166,166,3,99,12,125,101,0,1,1,0,1,1,0,0,1,0,345,0,3,348,0
167,167,0,140,11,182,69,0,0,0,1,1,0,0,1,0,2,407,0,0,407,0
168,168,2,100,13,355,279,0,1,1,0,0,0,3,0,0,2,756,0,2,758,0
169,169,2,89,10,195,127,0,0,1,0,0,0,2,0,0,6,432,0,1,433,0
170,170,1,170,17,364,190,3,0,4,1,0,0,1,4,2,1,758,0,8,766,0
171,171,2,157,17,260,228,1,0,1,0,1,1,1,1,0,2,672,0,2,674,0
172,172,5,224,30,288,233,1,0,2,0,0,1,0,0,1,6,791,0,1,792,0
173,173,2,142,44,188,195,0,0,1,0,0,1,2,2,1,2,580,0,2,582,0
174,174,4,192,19,188,216,0,1,0,0,0,0,4,1,2,3,630,0,2,632,0
175,175,5,162,15,320,255,1,1,1,0,0,0,0,1,1,0,762,0,3,765,0
176,176,2,93,13,210,152,1,0,0,0,0,0,0,1,0,0,472,0,0,472,0
177,177,3,265,13,318,221,1,4,0,0,0,1,1,5,0,3,835,0,4,839,0
178,178,0,50,4,117,37,1,0,0,0,0,0,0,0,0,0,209,0,1,210,0
179,179,2,145,20,325,148,0,1,0,0,0,0,2,3,1,2,649,0,4,653,0
180,180,0,68,8,180,84,0,0,0,0,0,0,0,0,0,0,340,0,0,340,0
181,181,1,355,19,191,177,3,0,1,0,1,1,0,3,0,2,754,0,0,754,0
182,182,0,473,14,68,76,1,0,0,0,0,0,0,1,0,2,635,0,1,636,0
183,183,1,317,30,264,287,1,1,1,0,0,1,1,1,2,2,909,0,4,913,0
184,184,3,227,41,259,298,0,2,0,0,1,0,1,0,0,1,833,0,5,838,0
185,185,3,406,31,127,157,0,1,0,0,0,0,1,3,4,1,734,0,2,736,0
186,186,0,234,21,216,245,1,2,0,1,2,0,1,0,0,0,723,0,1,724,0
187,187,1,348,24,261,262,2,0,1,0,1,0,0,0,1,1,902,0,3,905,0
188,188,1,184,10,316,217,0,0,0,0,0,0,1,1,2,0,732,0,3,735,0
189,189,2,173,29,204,320,1,2,1,0,0,0,1,1,0,1,735,0,1,736,0
190,190,0,201,23,212,261,0,0,2,0,0,1,1,0,1,2,704,0,5,709,0
191,191,2,207,42,252,275,1,9,0,0,1,0,1,1,1,2,794,0,3,797,0
192,192,5,182,37,261,264,0,0,1,1,0,1,3,2,2,7,766,0,7,773,0
193,193,1,112,28,99,185,0,2,0,0,0,0,0,0,0,0,427,0,3,430,0
194,194,4,304,33,303,211,1,0,0,0,2,0,0,0,0,1,859,0,4,863,0
195,195,1,297,25,290,189,0,0,1,2,0,0,0,2,0,1,808,0,4,812,0
196,196,1,225,20,227,226,0,1,1,0,0,0,0,0,0,0,701,0,0,701,0
197,197,3,160,13,181,125,0,0,0,0,1,0,3,2,0,0,488,0,1,489,0
198,198,7,157,32,165,107,0,0,3,4,1,0,2,0,0,4,482,0,4,486,0
199,199,0,81,21,122,59,0,0,0,1,0,0,0,0,0,1,285,0,0,285,0
200,200,1,104,34,102,156,0,0,1,0,0,1,1,0,0,0,400,0,1,401,0
201,201,0,230,18,156,85,0,0,0,0,2,0,0,1,1,1,494,0,1,495,0
202,202,1,173,21,154,110,1,1,0,0,0,0,2,0,0,2,465,0,3,468,0
203,203,1,177,26,158,126,0,1,3,0,3,0,1,1,1,2,500,0,2,502,0
204,204,3,133,14,100,141,1,0,2,0,0,0,2,0,0,0,396,0,1,397,0
205,205,3,189,18,258,181,1,0,0,1,0,2,0,1,0,2,656,0,2,658,0
206,206,3,122,15,153,140,3,1,2,0,0,2,1,0,0,4,446,0,1,447,0
207,207,4,229,22,291,181,1,2,0,2,0,0,0,0,1,2,735,0,4,739,0
208,208,2,448,12,189,181,0,1,1,0,0,0,2,2,0,2,840,0,1,841,0
209,209,4,279,27,307,235,0,0,2,1,0,1,2,3,0,7,868,0,3,871,0
210,210,1,214,23,318,216,2,1,1,0,0,0,1,1,0,5,783,0,1,784,0
211,211,0,169,26,167,143,0,0,0,0,0,0,0,1,0,1,507,0,1,508,0
212,212,4,227,24,300,183,0,1,0,0,1,0,2,1,0,4,747,0,3,750,0
213,213,4,211,28,395,223,0,1,1,1,0,0,2,2,2,3,873,0,0,873,0
214,214,3,84,14,161,140,1,0,1,0,0,0,1,0,0,0,405,0,2,407,0
215,215,2,175,25,244,316,3,0,1,1,1,1,2,2,1,3,777,0,3,780,0
216,216,2,175,27,285,248,0,2,2,0,1,0,3,2,1,3,751,0,0,751,0
217,217,3,164,18,344,226,1,0,2,0,0,1,1,1,4,6,771,0,2,773,0
218,218,0,122,11,190,150,2,0,0,0,0,0,0,0,0,1,476,0,2,478,0
219,219,2,118,12,180,118,0,0,0,0,0,0,0,2,0,1,433,0,1,434,0
220,220,3,130,11,237,120,0,0,0,0,0,1,1,3,0,2,508,0,1,509,0
221,221,0,217,40,170,188,1,0,1,0,0,0,1,1,1,2,622,0,1,623,0
222,222,0,153,32,118,96,0,0,2,0,1,0,0,0,0,4,406,0,3,409,0
223,223,2,195,14,257,245,0,0,0,0,0,0,1,1,1,1,717,0,4,721,0
