Polling Station No,Candidate_1,NAVOGNALE .R,JARAYADURI OGINI .S,V. YMASANHSIRK.RD,NARAKESAJAR .G,JARAVLES DNANA,HTANIBOG .N,S. RAMUKUS,RAMUK ADNAN .C,RAMUKUHTUM .R,AJAR LAYOR,K. YAJIV,AM. IJAANAHOM AIAJIV,YAJIV HPESOJ .C,NAHTANAGALU IAGNAG .T,S. NANNAK,JARAYAGAS SELRAHC .P,DNANA NAITSABES .G,MAVLES REENNAP .S,YTSIRHC TREBOR .J,NARDNEJAR .P,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,1,0,229,13,110,0,0,0,0,0,1,0,0,259,0,0,2,0,1,1,1,617,0,1,618,0
2,2,0,177,13,66,0,0,0,0,0,1,0,1,270,0,0,0,0,1,0,0,529,0,2,531,0
3,3,0,272,17,56,0,0,0,0,0,0,0,0,406,0,1,7,1,0,0,0,760,0,3,763,0
4,4,0,175,10,103,1,0,0,0,0,14,0,1,339,0,0,0,2,0,0,0,645,0,2,647,0
5,5,1,195,14,70,0,0,0,0,0,5,0,0,261,0,2,1,0,0,0,0,549,0,3,552,0
6,6,0,55,13,88,0,0,0,0,0,0,0,1,141,0,0,1,0,0,0,0,299,0,0,299,0
7,7,0,131,15,38,0,0,1,0,0,1,1,0,333,0,0,1,0,0,0,0,521,0,3,524,0
8,8,0,99,7,49,0,0,0,0,0,1,0,1,191,0,0,0,0,0,0,0,348,0,0,348,0
9,9,1,120,8,68,0,0,0,0,0,0,2,1,256,0,0,0,0,0,0,0,456,0,1,457,0
10,10,1,133,8,93,0,0,0,1,0,20,1,1,326,0,0,1,0,0,0,0,585,0,0,585,0
11,11,2,176,13,37,0,0,0,0,0,0,0,0,348,0,0,1,0,1,0,0,578,0,1,579,0
12,12,2,120,9,66,0,0,1,2,0,4,0,2,273,0,2,0,1,1,0,0,483,0,0,483,0
13,13,2,228,26,80,0,2,1,0,1,5,1,0,268,0,0,2,1,0,0,0,617,0,0,617,0
14,14,1,111,25,139,1,0,0,0,0,0,0,0,199,0,0,1,0,0,0,0,477,0,0,477,0
15,15,1,302,29,195,3,1,0,1,0,0,1,2,361,0,1,0,0,0,0,0,897,0,0,897,0
16,16,0,168,10,140,1,0,0,0,1,2,1,0,306,1,1,0,1,1,0,0,633,0,0,633,0
17,17,0,294,18,89,2,0,0,0,0,0,0,0,351,0,0,1,0,0,0,0,755,0,2,757,0
18,18,1,169,12,32,0,0,0,0,0,2,0,0,115,0,1,1,1,0,0,0,334,0,0,334,0
19,19,0,114,17,66,1,0,1,0,0,0,1,0,204,0,0,0,0,0,0,0,404,0,4,408,0
20,20,1,111,10,42,0,0,1,2,0,0,0,2,288,0,0,3,0,0,0,0,460,0,0,460,0
21,21,0,183,14,104,0,0,0,1,0,10,0,1,365,0,0,0,0,1,0,0,679,0,4,683,0
22,22,0,278,27,102,0,0,0,0,1,0,1,0,270,0,0,0,1,1,2,0,683,0,3,686,0
23,23,0,188,20,66,0,0,1,1,0,0,0,1,444,0,0,0,0,0,0,0,721,0,2,723,0
24,24,3,139,10,69,1,2,1,0,0,1,1,1,217,1,0,2,0,1,0,0,449,0,2,451,0
25,25,1,206,17,103,0,0,1,0,0,0,3,2,485,2,0,4,0,1,0,0,825,0,4,829,0
26,26,0,219,21,80,0,0,1,0,0,0,1,0,316,0,0,0,0,0,0,0,638,0,2,640,0
27,27,2,193,33,86,0,0,0,1,0,0,0,0,276,0,0,0,0,0,0,0,591,0,1,592,0
28,28,4,170,27,103,1,0,1,1,0,0,2,0,386,1,2,1,1,0,0,0,700,0,4,704,0
29,29,0,178,22,75,0,0,2,0,1,0,0,1,404,0,1,1,0,0,0,0,685,0,1,686,0
30,30,0,197,25,135,0,0,0,0,1,1,0,1,418,0,0,2,0,0,0,1,781,0,2,783,0
31,31,0,159,18,132,0,0,1,0,0,1,1,1,363,1,0,2,0,1,0,0,680,0,3,683,0
32,32,1,201,18,90,0,0,0,1,0,1,0,1,334,0,0,1,0,0,0,0,648,0,2,650,0
33,33,0,148,26,60,0,0,0,1,0,0,0,0,266,1,0,1,0,1,0,0,504,0,2,506,0
34,34,0,157,21,87,0,0,0,1,0,0,0,0,283,0,0,1,0,0,0,0,550,0,3,553,0
35,35,0,134,17,82,0,0,0,0,0,1,0,1,191,0,1,1,0,0,0,0,428,0,1,429,0
36,36,0,172,23,128,0,0,0,0,0,0,0,1,339,0,0,2,0,0,0,0,665,0,2,667,0
37,37,0,147,10,112,0,0,0,0,0,0,0,0,253,0,0,1,0,2,1,0,526,0,2,528,0
38,38,0,144,15,148,2,1,0,0,0,1,2,0,219,0,0,2,0,0,0,0,534,0,1,535,0
39,39,0,101,11,22,3,0,0,0,0,0,0,0,165,0,0,0,0,0,0,1,303,0,0,303,0
40,40,0,146,18,92,0,0,0,0,0,0,1,1,272,0,1,2,0,0,0,0,533,0,3,536,0
41,41,0,159,15,126,1,0,1,0,0,0,1,0,348,1,0,2,0,1,0,0,655,0,4,659,0
42,42,2,239,27,126,0,0,0,0,0,0,0,2,414,0,0,3,0,0,1,0,814,0,4,818,0
43,43,0,42,4,31,0,0,0,0,0,0,0,1,129,0,0,0,0,0,1,0,208,0,2,210,0
44,44,0,194,14,132,0,0,0,0,0,0,0,0,340,0,0,0,1,0,0,0,681,0,3,684,0
45,45,0,149,5,75,1,0,0,0,0,2,1,0,264,3,0,0,0,0,0,0,500,0,1,501,0
46,46,1,158,15,66,0,0,0,0,0,0,1,0,169,0,0,0,1,0,0,0,411,0,2,413,0
47,47,1,187,16,101,0,0,0,1,1,0,0,1,306,0,3,1,0,1,0,0,619,0,3,622,0
48,48,0,154,18,96,0,0,0,2,0,0,0,0,298,0,0,2,0,0,0,0,570,0,0,570,0
49,49,1,217,14,69,1,2,1,0,1,3,0,2,455,0,1,1,0,3,0,0,771,0,3,774,0
50,50,2,253,27,92,1,0,2,0,0,1,0,0,452,0,1,0,1,1,0,1,834,0,1,835,0
51,51,2,159,21,64,0,1,0,0,0,1,1,0,260,0,2,1,1,0,0,0,513,0,1,514,0
52,52,0,100,7,53,0,0,0,0,0,1,0,2,225,0,0,0,0,1,0,0,389,0,2,391,0
53,53,2,246,13,123,1,1,1,0,0,17,0,4,448,1,2,5,2,1,1,1,869,0,1,870,0
54,54,1,302,4,10,0,0,0,0,0,1,1,0,201,0,1,0,0,0,0,0,521,0,1,522,0
55,55,0,235,4,17,1,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,440,0,2,442,0
56,56,0,447,12,50,0,0,0,0,0,3,0,0,326,1,0,1,0,3,0,0,843,0,0,843,0
57,57,0,165,8,21,0,0,0,0,1,0,0,0,149,0,0,2,0,0,0,0,346,0,1,347,0
58,58,1,294,10,64,1,0,0,1,0,0,1,0,195,0,0,0,0,0,0,0,567,0,1,568,0
59,59,0,97,8,60,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,343,0,1,344,0
60,60,0,182,10,123,0,0,0,0,0,0,0,1,251,0,0,0,0,0,0,1,568,0,2,570,0
61,61,1,373,12,63,0,0,0,0,0,0,0,0,328,0,1,1,0,0,0,0,779,0,1,780,0
62,62,0,139,7,42,0,0,0,0,0,0,2,0,144,0,0,1,0,0,0,0,335,0,0,335,0
63,63,1,253,11,66,0,1,0,0,0,0,0,1,264,0,1,0,0,0,0,0,598,0,0,598,0
64,64,0,218,12,65,0,0,2,1,0,0,1,1,258,0,1,0,0,0,0,0,559,0,2,561,0
65,65,2,126,17,79,0,0,0,0,0,1,1,4,252,1,0,4,0,0,0,0,487,0,1,488,0
66,66,0,180,20,87,0,0,0,1,1,1,2,2,540,1,0,1,0,2,0,0,838,0,4,842,0
67,67,2,209,21,113,0,0,1,1,0,0,0,0,362,0,6,7,0,0,0,0,722,0,0,722,0
68,68,0,256,18,34,0,0,0,1,1,1,0,0,514,1,0,2,1,0,0,0,829,0,3,832,0
69,69,1,240,12,52,0,0,0,1,0,0,0,2,447,1,3,3,0,0,1,0,763,0,0,763,0
70,70,0,247,15,78,1,0,0,1,0,0,0,3,543,0,5,3,1,1,0,0,898,0,0,898,0
71,71,0,243,16,78,1,1,0,0,0,0,0,4,420,0,1,3,1,2,1,0,771,0,1,772,0
72,72,1,266,22,89,1,0,0,1,0,0,1,0,423,2,0,1,1,0,0,0,808,0,2,810,0
73,73,2,317,12,49,0,2,0,0,0,0,0,0,238,0,1,0,0,0,0,0,621,0,3,624,0
74,74,1,208,19,71,1,0,2,0,0,0,0,1,309,0,0,0,0,1,0,0,613,0,1,614,0
75,75,1,140,10,66,0,0,0,0,0,0,0,2,313,1,0,0,1,0,0,1,535,0,0,535,0
76,76,0,229,22,101,1,0,1,0,0,0,0,0,536,0,3,6,0,0,0,0,899,0,0,899,0
77,77,0,146,12,73,0,0,0,0,0,0,1,3,330,1,0,2,1,0,0,0,569,0,2,571,0
78,78,0,340,14,35,0,0,0,0,2,0,0,4,437,0,2,1,0,0,0,0,835,0,1,836,0
79,79,1,259,8,59,0,0,0,2,0,0,1,1,284,2,0,3,0,0,0,0,620,0,1,621,0
80,80,1,212,20,57,1,1,1,0,0,0,0,0,341,0,0,4,1,0,0,0,639,0,2,641,0
81,81,0,134,8,53,0,0,0,0,0,1,0,2,348,0,0,2,0,2,0,0,550,0,2,552,0
82,82,2,195,15,56,1,0,0,0,1,0,2,3,382,0,2,0,3,2,0,1,665,0,0,665,0
83,83,0,139,20,55,1,0,0,0,1,0,1,0,425,0,1,3,0,0,0,0,646,0,3,649,0
84,84,0,155,14,82,0,0,0,0,0,0,1,1,346,0,0,1,0,1,0,0,601,0,2,603,0
85,85,2,133,11,95,1,1,0,2,0,0,0,1,290,0,0,0,0,0,0,2,538,0,1,539,0
86,86,1,88,15,41,1,1,1,2,0,1,0,1,314,1,0,3,0,0,0,0,470,0,0,470,0
87,87,1,193,18,85,1,0,0,1,0,0,1,0,404,0,0,1,0,0,0,1,706,0,2,708,0
88,88,1,150,17,79,0,0,0,1,0,0,1,1,402,0,2,2,1,1,0,0,658,0,1,659,0
89,89,0,97,13,64,0,0,0,1,0,1,0,0,233,0,0,1,0,0,0,0,410,0,1,411,0
90,90,0,153,12,120,1,1,1,1,0,3,1,1,347,0,1,5,0,0,0,0,647,0,1,648,0
91,91,0,138,16,106,0,0,4,0,0,0,0,0,281,0,0,0,0,0,0,0,545,0,0,545,0
92,92,0,153,12,106,0,1,0,0,0,0,1,1,382,1,0,2,0,1,0,0,660,0,2,662,0
93,93,1,158,19,87,0,0,1,0,0,0,0,0,378,0,0,1,0,0,0,0,645,0,2,647,0
94,94,1,92,9,75,1,0,0,0,0,0,0,0,169,0,0,1,0,0,0,0,348,0,3,351,0
95,95,1,182,23,94,0,0,0,0,0,0,1,2,301,0,0,2,2,0,0,1,609,0,1,610,0
96,96,1,161,21,154,0,0,0,0,1,0,0,2,349,0,1,6,0,0,0,0,696,0,1,697,0
97,97,0,184,22,132,2,0,1,0,0,0,0,1,418,1,0,2,0,0,0,2,765,0,6,771,0
98,98,0,148,12,133,0,0,5,1,0,0,1,0,296,0,1,1,0,1,0,0,599,0,0,599,0
99,99,0,139,5,76,0,0,1,0,0,1,0,0,298,0,0,2,0,0,0,0,522,0,0,522,0
100,100,0,367,2,10,0,0,0,0,0,0,0,0,190,0,1,0,0,1,0,0,571,0,1,572,0
101,101,2,267,5,12,0,1,0,0,0,0,1,0,161,1,1,0,0,0,0,0,451,0,0,451,0
102,102,0,520,9,20,0,0,1,1,0,0,0,0,298,0,0,2,1,1,1,0,854,0,0,854,0
103,103,3,488,13,16,0,0,0,0,0,0,0,1,288,0,1,1,0,0,0,0,811,0,1,812,0
104,104,0,273,8,22,0,0,0,1,0,2,0,1,172,1,0,2,1,0,0,0,483,0,1,484,0
105,105,1,100,9,123,0,0,0,0,0,0,0,1,200,0,1,0,0,1,0,0,436,0,2,438,0
106,106,1,178,7,106,0,1,0,0,0,0,1,0,266,0,0,0,1,0,1,0,562,0,2,564,0
107,107,1,302,12,82,1,0,0,1,0,0,0,0,274,0,0,0,0,0,0,0,673,0,0,673,0
108,108,0,314,6,48,0,0,1,0,0,0,0,0,188,0,0,1,0,3,0,0,561,0,1,562,0
109,109,0,122,12,51,2,0,0,0,0,0,0,1,236,0,1,0,0,0,0,0,425,0,1,426,0
110,110,0,164,9,77,0,0,0,0,0,0,0,1,238,1,0,1,0,0,0,0,491,0,0,491,0
111,111,1,158,26,134,0,0,2,0,0,2,0,2,358,1,0,4,0,0,0,0,688,0,3,691,0
112,112,0,110,5,41,0,0,0,0,0,0,1,0,177,0,1,0,0,0,0,0,335,0,0,335,0
113,113,1,209,17,91,1,0,4,0,0,0,0,1,382,0,0,1,0,0,0,1,708,0,3,711,0
114,114,2,226,11,78,0,0,1,0,0,0,1,0,275,0,0,0,0,1,0,0,595,0,2,597,0
115,115,0,154,10,90,1,0,1,0,0,0,2,0,273,0,0,0,0,0,0,0,531,0,2,533,0
116,116,0,207,14,128,0,0,3,0,0,1,0,0,341,0,0,2,1,0,0,0,697,0,2,699,0
117,117,0,245,18,103,0,0,0,1,0,0,0,1,444,0,0,0,1,1,0,0,814,0,2,816,0
118,118,1,208,24,115,1,0,2,0,0,0,1,0,382,0,1,7,0,0,0,0,742,0,4,746,0
119,119,1,187,16,91,0,0,0,3,0,0,1,1,376,0,2,0,0,0,0,0,678,0,1,679,0
120,120,0,348,6,38,0,0,0,0,0,0,0,0,208,0,0,1,1,0,0,0,602,0,2,604,0
121,121,0,198,19,159,0,0,2,0,0,0,0,1,385,1,1,0,0,1,1,0,768,0,1,769,0
122,122,2,160,18,136,0,0,0,0,0,0,1,1,377,0,0,1,0,0,0,0,696,0,0,696,0
123,123,1,129,15,126,0,0,1,0,0,1,0,0,271,0,0,2,2,0,0,0,548,0,2,550,0
124,124,0,172,20,144,0,0,0,0,0,0,0,0,334,0,2,1,0,0,0,0,673,0,2,675,0
125,125,1,325,8,29,1,0,0,1,0,1,0,0,226,0,0,1,0,0,0,0,593,0,3,596,0
126,126,2,230,12,57,0,0,0,0,0,1,2,2,377,1,0,2,1,0,1,1,689,0,1,690,0
127,127,0,314,14,14,0,1,0,0,0,1,0,0,182,0,1,0,0,1,0,1,529,0,1,530,0
128,128,0,379,8,4,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,506,0,1,507,0
129,129,0,301,9,2,0,0,0,1,0,0,2,1,87,0,0,1,0,0,0,0,404,0,0,404,0
130,130,1,389,9,21,0,0,0,1,0,0,0,2,189,0,1,1,0,0,0,0,614,0,1,615,0
131,131,2,250,7,46,1,0,0,0,0,3,0,1,483,0,1,1,0,1,0,0,796,0,2,798,0
132,132,2,169,20,93,1,2,0,1,0,0,1,0,303,0,1,1,1,1,0,0,596,0,3,599,0
133,133,2,172,20,58,1,0,1,0,0,0,0,0,294,0,0,0,0,4,0,1,553,0,1,554,0
134,134,1,302,28,50,0,0,0,1,0,0,0,0,363,0,1,2,0,1,0,0,749,0,0,749,0
135,135,1,454,11,27,0,0,0,0,0,0,0,0,280,0,1,1,1,2,0,0,778,0,1,779,0
136,136,0,199,6,38,1,0,0,0,0,0,0,0,184,1,0,3,1,0,0,1,434,0,3,437,0
137,137,3,476,13,41,0,0,1,0,0,0,0,0,302,0,0,3,0,0,0,0,839,0,1,840,0
138,138,9,318,11,52,0,0,1,0,0,0,2,0,367,0,1,2,0,0,0,0,763,0,0,763,0
139,139,1,351,10,41,0,0,0,0,0,2,0,1,291,0,0,1,0,2,1,0,701,0,0,701,0
140,140,1,425,10,20,2,0,0,1,0,0,1,2,216,0,0,0,0,0,0,1,679,0,1,680,0
141,141,0,296,8,44,1,2,1,0,0,0,0,1,350,0,2,2,1,0,0,0,708,0,3,711,0
142,142,0,319,7,67,0,0,0,0,0,0,0,1,421,0,0,1,0,0,0,0,816,0,0,816,0
143,143,2,175,20,88,0,0,1,0,0,0,0,1,418,0,0,1,0,0,0,0,706,0,2,708,0
144,144,0,331,10,50,1,0,0,0,0,1,0,1,324,1,2,2,0,1,0,0,724,0,1,725,0
145,145,1,262,16,84,0,1,0,0,0,0,0,1,402,0,0,1,1,0,0,0,769,0,3,772,0
146,146,0,173,10,132,1,0,0,0,0,1,0,1,351,1,0,2,0,1,0,0,673,0,2,675,0
147,147,0,138,6,63,0,0,0,0,0,0,1,1,237,0,0,1,0,0,0,0,447,0,3,450,0
