Polling Station No,Candidate_1,HSEHAM IHZOMAYYOP LIBNA,P .RAMUK,T .HSSEJAR,S .ARHTISIV,T .LEVARAMUK,.UHTUMIAHCTIP A,S .HTIJNAR,)A( .S RAMUKAYAJIV UTTAPLAVAN IJIV,L .HPESOJ,I .JARUSEY,K .RAMUK,P .RAMUK,S .SELRAHC,.IMHSKALUBBUS R,P .KAPEED,D .HSOLUOP,AHTNANAGURUM G .M,ANAHOM P .NAVLEHC .RD,.NARDNAHCAMAR V,A .JARTNECNIV,C .RAMUKAYAJIV,N .RAMUKAYAJIV,LEVIRTEV P .ANNAK,.NARDNAHCAYAJ P,A .NAGAJAHS,H .NAMAHAR BEEBAH,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,1,269,172,40,3,0,0,0,307,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,2,0,799,0,0,799,0
2,2,213,209,33,1,0,0,2,329,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,794,0,1,795,0
3,3,279,145,34,1,1,0,0,335,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,2,0,802,0,3,805,0
4,4,238,130,22,1,0,0,1,285,0,0,0,0,1,0,3,2,2,2,0,0,0,0,3,0,0,0,690,0,1,691,0
5,5,167,145,28,0,0,8,0,225,1,0,0,0,0,1,0,1,3,2,0,0,0,1,0,0,0,0,582,0,0,582,0
6,6,293,132,40,0,0,13,1,329,1,1,0,0,1,0,0,0,3,2,0,0,2,1,0,1,4,0,824,0,3,827,0
7,7,325,99,48,1,0,0,0,281,0,1,0,0,0,0,0,3,7,2,1,0,0,0,1,3,2,0,774,0,0,774,0
8,8,251,208,51,1,3,0,1,359,0,0,0,0,2,0,0,1,0,2,1,0,1,0,0,1,0,0,882,0,2,884,0
9,9,376,234,18,0,0,1,0,306,0,2,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,945,0,2,947,0
10,10,251,213,30,0,0,0,0,193,0,0,0,0,0,0,0,0,4,1,0,1,0,0,1,0,1,0,695,0,1,696,0
11,11,137,193,8,0,1,0,0,211,1,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,1,1,558,0,0,558,0
12,12,283,224,44,0,0,0,0,277,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,1,834,0,0,834,0
13,13,120,141,19,1,1,0,1,131,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,1,3,0,424,0,1,425,0
14,14,263,152,26,1,1,0,0,177,0,0,0,0,0,1,0,2,2,1,0,0,0,0,1,1,1,1,630,0,3,633,0
15,15,239,196,28,1,0,1,0,181,0,0,0,0,0,0,0,0,1,0,2,0,1,0,2,0,0,1,653,0,1,654,0
16,16,244,195,20,2,3,1,1,273,1,0,0,1,1,1,1,3,0,0,0,0,0,0,0,1,0,0,748,0,1,749,0
17,17,180,68,14,0,0,2,0,184,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,453,0,0,453,0
18,18,241,58,30,0,0,1,0,241,1,0,0,0,0,0,0,0,1,2,0,0,0,1,1,2,1,0,580,0,0,580,0
19,19,262,61,35,0,0,0,0,250,0,0,0,1,0,1,0,1,0,0,0,0,0,1,3,0,0,0,615,0,5,620,0
20,20,167,70,30,0,0,0,0,202,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,474,0,1,475,0
21,21,318,79,44,1,1,0,0,326,0,0,0,0,0,0,0,3,3,1,1,0,0,0,2,0,2,0,781,0,2,783,0
22,22,346,123,36,1,3,1,2,302,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,818,0,4,822,0
23,23,233,67,24,0,1,2,0,255,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,584,0,5,589,0
24,24,157,44,30,0,1,1,0,122,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,356,0,2,358,0
25,25,352,88,46,0,0,1,1,351,0,0,1,0,0,1,2,0,1,0,0,0,0,0,2,0,0,0,846,0,4,850,0
