Polling Station No,Candidate_1,LALLAVIRAP .T,ABEEHTARP,NAHDAM .N,NITRAM ESORAMEEL,YRAM ETALUCAMMI .K,NAYIHZEHCNALE .P,SSODUSEY .E,NANHSIRK AP UK,NANAVARAS .P,NIHPESOJ,UHTUMIRAVAS NALAMA .A,NANHSIRK .M,RAMUKLIHTNES .K,NASARALIMAT .R,JARAMRAHD .K,R. YHTROOMANAHD,RAMUKHSENID .R,UBMALISNOP .R,NAHKILA ROOSNAM,YMASUHTUM .V,QIDDIS RAKKABUBA DEMAHOM,RAMUKHSEMAR .M,NIASSUH REEKAJ HANNIJ,SSODNOMALAS NAGEJ .A,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,1,121,1,8,220,1,0,0,120,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,475,0,0,475,0
2,2,160,3,19,281,5,1,2,130,0,3,0,2,1,0,0,2,0,0,0,0,0,0,1,1,611,0,3,614,0
3,3,236,1,64,349,1,0,1,157,0,1,0,0,1,4,0,1,0,0,1,1,1,0,0,0,819,0,0,819,0
4,4,248,5,26,274,3,0,1,276,0,0,0,0,2,0,0,3,0,1,0,0,0,0,0,1,840,0,1,841,0
5,5,238,2,17,290,2,0,0,238,1,0,0,2,1,1,0,0,5,2,1,1,1,1,2,1,806,0,3,809,0
6,6,180,2,10,184,4,1,0,140,0,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0,526,0,1,527,0
7,7,216,1,21,287,0,0,0,184,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,712,0,0,712,0
8,8,234,0,25,274,1,1,0,200,0,0,0,0,0,0,1,0,2,1,0,2,0,2,1,1,745,0,1,746,0
9,9,106,2,23,235,1,0,0,72,0,0,0,0,2,0,0,0,2,1,0,0,1,0,1,0,446,0,1,447,0
10,10,258,1,46,432,5,1,3,273,3,0,0,1,2,0,1,1,4,3,0,3,1,5,2,0,1045,0,1,1046,0
11,11,236,2,31,219,1,0,1,266,1,2,0,0,0,0,2,2,4,3,1,1,0,0,1,1,774,0,5,779,0
12,12,231,1,28,411,4,0,0,192,1,0,0,0,2,0,1,1,3,1,0,4,0,4,1,1,886,0,2,888,0
13,13,162,3,26,220,1,1,0,158,1,0,1,1,0,0,1,1,1,1,0,0,0,0,2,0,580,0,3,583,0
14,14,158,3,7,175,2,0,2,122,1,0,0,1,2,0,1,4,4,1,0,0,0,0,2,0,485,0,0,485,0
15,15,113,4,21,290,2,0,0,170,0,0,0,0,0,2,0,2,2,2,0,4,0,2,0,0,614,0,2,616,0
16,16,114,0,12,237,2,0,1,129,0,0,1,0,1,1,1,0,2,2,0,4,1,0,0,0,508,0,1,509,0
17,17,196,1,21,282,3,2,1,236,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,749,0,1,750,0
18,18,188,0,30,352,7,1,0,187,0,0,1,1,1,0,1,2,3,1,2,0,1,2,2,0,782,0,2,784,0
19,19,224,2,39,320,6,0,0,197,0,2,0,0,0,2,1,3,0,0,2,1,0,3,2,1,805,0,3,808,0
20,20,226,0,23,173,1,0,0,193,2,0,0,1,1,0,0,0,2,2,0,0,0,0,1,0,625,0,2,627,0
21,21,147,0,23,272,0,0,0,172,0,0,0,0,0,0,0,3,0,2,0,3,0,1,1,1,625,0,2,627,0
22,22,130,2,36,386,5,1,0,169,0,0,1,2,0,1,1,1,0,2,2,6,1,0,0,0,746,0,2,748,0
23,23,266,3,64,303,5,1,1,194,1,0,0,1,0,0,2,0,2,1,0,0,0,0,0,0,844,0,3,847,0
24,24,283,3,81,318,7,1,1,307,1,1,0,0,0,0,0,0,1,2,0,0,2,0,1,1,1010,0,0,1010,0
25,25,205,3,39,298,1,0,0,140,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,689,0,1,690,0
26,26,113,0,35,234,0,0,0,169,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,557,0,0,557,0
27,27,147,0,22,167,4,1,1,128,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,474,0,2,476,0
28,28,109,2,24,345,1,0,0,193,0,1,0,0,1,0,0,1,1,4,0,6,0,2,1,1,692,0,0,692,0
29,29,126,3,27,371,4,1,0,196,1,0,0,0,2,0,1,4,4,0,1,0,0,0,1,1,743,0,3,746,0
30,30,200,2,18,226,3,0,2,181,1,0,0,1,1,0,2,3,2,0,0,0,0,1,0,1,644,0,1,645,0
31,31,289,2,24,385,1,0,0,209,1,0,0,0,0,0,1,2,2,5,0,1,1,1,0,0,924,0,1,925,0
32,32,187,1,32,302,0,0,0,85,1,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,614,0,0,614,0
33,33,220,1,22,309,0,1,0,155,0,0,0,0,0,0,1,1,2,2,1,0,1,0,0,0,716,0,0,716,0
34,34,255,0,22,326,1,0,1,150,1,0,0,0,0,4,0,3,6,1,0,0,1,0,1,1,773,0,3,776,0
35,35,115,2,18,227,2,0,0,87,0,0,0,1,0,0,1,1,1,4,0,1,0,0,0,0,460,0,1,461,0
36,36,128,1,13,139,0,0,0,86,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,369,0,1,370,0
37,37,225,3,27,234,2,0,0,198,0,0,0,1,0,0,0,2,1,0,1,0,0,0,0,1,695,0,0,695,0
38,38,209,2,19,468,2,0,0,125,0,0,1,2,0,0,0,0,3,0,0,4,0,0,0,0,835,0,1,836,0
39,39,207,0,29,325,1,0,3,159,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,728,0,0,728,0
40,40,209,1,21,388,2,0,0,287,0,0,2,0,1,0,1,0,1,4,0,0,1,0,1,0,919,0,2,921,0
41,41,105,1,24,268,0,1,0,156,0,0,0,0,2,0,0,1,3,3,2,1,0,1,2,0,570,0,2,572,0
42,42,254,2,12,76,0,0,1,137,0,0,0,0,0,0,1,2,6,3,0,0,2,0,0,1,497,0,0,497,0
43,43,149,6,42,280,3,0,0,202,0,1,0,0,0,0,0,0,5,0,1,1,1,0,0,1,692,0,0,692,0
44,44,155,1,15,205,1,2,1,190,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,575,0,2,577,0
45,45,178,7,14,192,0,0,2,214,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,611,0,0,611,0
46,46,227,2,46,293,3,2,1,167,0,1,0,0,3,0,0,1,0,2,0,3,0,0,1,0,752,0,0,752,0
47,47,182,2,24,403,3,1,1,179,1,0,0,0,1,0,0,5,0,0,0,0,0,0,2,2,806,0,2,808,0
48,48,236,3,27,251,2,0,1,204,3,1,0,1,0,0,0,3,3,5,2,1,0,0,0,1,744,0,3,747,0
49,49,237,4,18,381,5,1,0,193,0,0,1,3,2,0,2,3,5,2,0,1,3,0,0,0,861,0,1,862,0
50,50,202,1,15,150,0,1,0,146,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,521,0,2,523,0
51,51,329,1,18,102,1,0,0,132,1,0,0,1,0,0,0,1,2,1,0,0,1,0,2,0,592,0,0,592,0
52,52,136,4,20,164,1,0,0,99,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,426,0,2,428,0
53,53,242,0,27,301,1,0,0,211,1,0,1,0,1,1,1,4,1,4,0,2,0,1,0,0,799,0,1,800,0
54,54,163,1,39,212,1,2,0,176,1,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,601,0,1,602,0
55,55,180,2,30,173,2,0,1,153,0,0,1,0,0,0,0,1,3,1,1,1,0,0,0,0,549,0,1,550,0
56,56,138,1,25,284,0,0,2,179,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,634,0,0,634,0
57,57,214,2,36,162,1,0,1,285,3,1,0,0,1,1,0,1,1,5,1,3,1,1,1,0,721,0,0,721,0
58,58,209,0,36,203,0,1,2,299,0,0,1,0,1,0,0,1,2,0,0,1,0,2,1,1,760,0,0,760,0
59,59,205,1,30,273,2,0,1,305,1,0,1,0,0,0,0,1,4,1,0,0,0,1,0,0,826,0,1,827,0
60,60,110,0,24,87,0,0,0,157,0,0,1,0,2,0,0,1,1,1,0,0,0,0,0,0,384,0,1,385,0
61,61,140,1,16,153,1,0,1,158,0,0,1,0,0,0,2,0,1,3,1,0,0,0,0,0,478,0,1,479,0
62,62,169,0,15,132,1,1,2,146,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467,0,1,468,0
63,63,139,2,36,126,1,1,0,213,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,520,0,2,522,0
64,64,222,2,8,108,0,0,0,105,0,3,0,0,0,0,1,1,2,0,0,0,0,0,2,0,454,0,4,458,0
65,65,154,1,27,115,0,0,0,167,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,467,0,1,468,0
66,66,162,3,18,308,0,1,0,112,0,0,0,0,0,0,0,1,1,2,0,0,1,0,0,0,609,0,0,609,0
67,67,149,0,9,232,2,0,2,131,0,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,532,0,1,533,0
68,68,176,1,14,170,1,1,1,186,0,4,0,0,0,0,0,2,4,2,0,0,0,0,0,1,563,0,2,565,0
69,69,116,2,33,123,1,1,1,206,0,3,2,0,0,0,0,0,1,0,0,0,1,0,0,0,490,0,1,491,0
70,70,203,1,37,211,3,1,0,299,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,759,0,2,761,0
71,71,196,1,25,210,4,0,1,186,2,1,0,0,0,1,0,0,2,0,1,0,1,0,0,0,631,0,0,631,0
72,72,150,0,26,209,3,0,1,144,1,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,539,0,1,540,0
73,73,178,2,31,241,5,0,1,296,0,0,0,0,0,0,1,1,4,3,1,1,1,2,1,0,769,0,2,771,0
74,74,204,0,40,313,2,0,0,364,2,2,0,0,0,1,0,1,3,4,0,2,0,1,0,1,940,0,1,941,0
75,75,166,1,21,288,3,0,0,200,0,0,0,0,0,1,0,1,1,2,3,0,1,0,2,0,690,0,1,691,0
76,76,215,0,30,259,4,0,0,166,0,0,0,0,0,0,1,0,3,1,1,0,0,0,1,0,681,0,1,682,0
77,77,180,0,18,201,2,1,0,235,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,641,0,1,642,0
78,78,151,3,11,270,1,0,1,146,0,0,0,0,0,1,0,0,0,1,0,2,0,0,1,2,590,0,1,591,0
79,79,241,2,28,213,0,0,2,275,0,1,0,1,0,0,0,1,2,2,1,1,0,1,1,1,773,0,2,775,0
80,80,126,1,22,210,0,0,2,238,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,605,0,1,606,0
