Polling Station No,Candidate_1,S .NAVARIHTAK,R .IHZOMNEHT,NAHTARAHB .V.R,)A( NANHSIRKALAB ULAB ROOMA,NANAVARAS.V,RAMUKLIHTNES .K,M .ULAB,S .IHTAVER,C .AYIAREEV,P .NAYEKIHTRAK,V .NANHSIRKALAPOG,T.V .MAGUMNAHS,K .RAMUKSEEHTAS,S .RAMUKANAVARAS,S .HSEVID,V .NAJARAGAN,G .RAMUK HSEMAR,S .NANHSIRKAHDAR,N .DASARPMAR,R .RAHESAJAR,V .UJAR,M .NAMARAYAJ,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,1,195,25,309,0,116,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,646,0,2,648,0
2,2,141,19,144,0,122,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,428,0,1,429,0
3,3,179,29,180,2,219,0,0,0,0,0,0,0,0,0,0,3,6,2,1,0,1,2,624,0,4,628,0
4,4,186,14,93,1,147,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,446,0,0,446,0
5,5,243,29,185,3,222,0,1,0,0,1,0,1,0,0,0,0,2,1,0,0,1,0,689,0,3,692,0
6,6,315,38,105,1,246,1,1,2,0,2,0,0,0,2,0,4,3,3,0,0,0,1,724,0,3,727,0
7,7,530,47,98,1,238,1,3,0,1,1,1,0,0,0,0,4,2,0,1,0,0,0,928,0,3,931,0
8,8,160,15,179,2,139,1,0,0,1,0,0,1,0,1,1,2,0,0,1,0,0,0,503,0,1,504,0
9,9,291,28,201,1,222,0,0,0,0,0,0,1,1,0,0,4,3,0,0,1,0,0,753,0,6,759,0
10,10,188,29,331,1,188,0,0,0,0,0,0,0,0,2,2,3,0,0,0,1,0,0,745,0,0,745,0
11,11,256,12,197,4,131,0,0,0,1,1,1,0,0,0,1,2,3,1,1,1,1,0,613,0,1,614,0
12,12,179,34,315,3,215,0,1,0,0,2,0,3,3,2,2,5,1,2,2,0,1,0,770,0,6,776,0
13,13,334,32,253,2,283,1,0,0,0,1,0,1,1,1,0,2,1,3,1,0,0,0,916,0,3,919,0
14,14,340,50,370,3,238,1,0,2,1,1,0,2,2,1,2,6,7,8,1,0,0,1,1036,0,4,1040,0
15,15,273,28,300,3,253,0,1,1,0,0,0,1,0,0,1,1,6,4,2,0,1,0,875,0,1,876,0
16,16,137,51,182,0,98,0,0,0,1,0,1,0,1,0,0,0,1,1,1,3,0,0,477,0,2,479,0
17,17,432,67,106,2,265,0,1,0,0,0,0,2,0,1,0,1,1,0,0,1,1,0,880,0,3,883,0
18,18,499,155,51,0,225,1,0,1,0,0,0,0,0,1,0,1,0,2,1,0,2,0,939,0,4,943,0
19,19,200,17,64,1,114,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,399,0,0,399,0
20,20,167,49,309,2,169,0,0,0,0,0,0,1,0,1,0,3,1,3,0,0,0,0,705,0,0,705,0
21,21,205,9,256,2,127,0,0,1,0,0,0,0,1,0,0,2,1,1,0,0,0,1,606,0,0,606,0
22,22,283,22,56,0,132,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,499,0,1,500,0
23,23,384,46,47,1,148,0,0,0,0,0,0,0,0,1,0,3,1,2,0,0,0,0,633,0,1,634,0
24,24,328,34,51,5,185,0,1,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,610,0,1,611,0
25,25,218,20,129,1,202,0,0,0,1,1,0,0,0,0,0,2,3,1,2,0,0,0,580,0,5,585,0
26,26,268,46,342,3,292,1,2,0,0,2,0,0,0,1,0,2,2,1,2,0,1,0,965,0,1,966,0
27,27,209,23,135,1,202,1,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,577,0,1,578,0
28,28,216,20,229,0,101,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,568,0,1,569,0
29,29,148,10,94,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352,0,2,354,0
30,30,278,9,191,0,133,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,616,0,0,616,0
31,31,193,29,121,0,149,0,0,0,0,0,0,2,0,0,0,3,1,0,1,0,3,0,502,0,1,503,0
32,32,205,27,210,1,219,2,0,0,0,1,0,1,0,0,1,2,0,0,2,0,2,0,673,0,3,676,0
33,33,202,27,119,0,150,0,0,1,0,0,0,0,0,0,0,1,3,1,0,0,0,0,504,0,1,505,0
34,34,252,55,259,5,283,0,0,0,0,2,1,0,0,0,0,1,3,4,2,3,2,1,873,0,4,877,0
35,35,198,24,65,1,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444,0,0,444,0
36,36,139,16,159,1,181,0,0,0,0,0,0,0,0,1,0,1,2,1,2,0,0,0,503,0,1,504,0
37,37,291,18,144,1,222,0,0,2,1,1,1,0,0,0,0,4,3,2,2,1,1,0,694,0,0,694,0
38,38,256,29,147,2,233,0,0,0,0,0,0,1,0,1,1,0,3,2,0,0,0,0,675,0,2,677,0
39,39,369,36,149,0,337,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,894,0,2,896,0
40,40,397,48,117,2,259,1,0,0,0,0,0,1,0,3,0,0,2,0,0,1,1,0,832,0,1,833,0
41,41,337,22,273,1,223,2,0,0,0,0,0,0,0,1,0,2,3,1,2,2,1,0,870,0,0,870,0
42,42,270,14,180,1,182,1,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,652,0,5,657,0
43,43,149,11,53,0,63,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,279,0,1,280,0
44,44,356,50,148,4,265,1,2,0,0,0,1,1,0,0,1,1,7,12,1,0,1,1,852,0,2,854,0
45,45,149,16,43,1,154,0,1,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,369,0,1,370,0
46,46,175,42,133,2,211,0,0,1,0,1,0,0,2,2,1,2,2,2,4,1,0,0,581,0,1,582,0
47,47,181,39,160,1,128,0,0,0,0,0,0,2,3,0,0,0,3,3,0,0,0,0,520,0,3,523,0
48,48,219,54,236,0,290,2,2,0,0,1,1,1,2,4,2,2,2,4,1,1,0,0,824,0,4,828,0
49,49,303,32,95,2,178,0,2,0,0,0,0,0,0,1,0,1,5,0,1,1,1,0,622,0,2,624,0
50,50,304,24,62,0,147,0,1,0,0,2,0,0,0,0,1,1,1,0,0,0,0,0,543,0,5,548,0
51,51,324,59,274,3,264,2,0,1,1,2,0,1,0,1,0,3,2,3,2,0,0,0,942,0,1,943,0
52,52,192,49,187,0,232,1,0,0,0,0,1,1,0,0,1,0,3,6,0,1,2,1,677,0,3,680,0
53,53,385,76,265,4,278,0,0,0,0,0,0,1,1,0,1,2,3,6,5,1,0,1,1029,0,4,1033,0
54,54,161,27,222,1,182,0,0,0,1,1,0,1,0,3,0,2,0,2,1,0,2,0,606,0,0,606,0
55,55,324,37,200,1,155,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,720,0,0,720,0
56,56,289,46,278,1,235,0,0,0,0,0,0,1,1,1,0,0,2,0,4,1,0,0,859,0,2,861,0
57,57,281,29,189,2,218,0,0,0,1,0,0,0,0,3,0,1,2,4,1,1,1,0,733,0,3,736,0
58,58,152,16,192,0,135,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,3,0,501,0,0,501,0
59,59,130,40,197,2,101,1,0,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,476,0,1,477,0
60,60,183,34,179,1,206,1,1,1,1,1,0,1,1,0,1,2,2,2,0,2,2,1,622,0,3,625,0
61,61,268,27,225,2,195,0,1,0,0,0,0,2,0,0,0,4,6,7,3,1,0,0,741,0,1,742,0
62,62,173,21,68,1,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,0,1,356,0
63,63,208,37,352,2,161,1,1,0,2,1,0,0,1,2,2,2,0,2,4,2,0,0,780,0,1,781,0
64,64,196,38,238,0,202,0,2,0,0,0,0,1,0,2,0,6,6,3,2,0,0,1,697,0,1,698,0
65,65,207,36,82,2,164,0,0,0,0,1,0,1,0,2,1,2,2,1,0,0,0,0,501,0,2,503,0
66,66,338,41,116,1,315,1,2,0,0,1,0,0,0,0,0,2,2,2,1,0,0,0,822,0,2,824,0
67,67,271,34,72,1,168,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,550,0,1,551,0
68,68,244,29,71,2,221,0,1,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,573,0,0,573,0
69,69,126,10,168,2,100,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,408,0,2,410,0
70,70,187,17,151,0,281,0,2,0,0,0,0,1,0,0,0,2,1,1,1,0,0,0,644,0,2,646,0
71,71,156,23,198,0,184,1,0,0,0,0,0,0,0,0,2,1,1,6,0,0,1,0,573,0,2,575,0
72,72,234,25,174,0,147,0,0,0,0,0,0,0,0,0,1,1,2,1,2,1,0,0,588,0,1,589,0
73,73,144,10,171,1,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,396,0,0,396,0
74,74,175,12,244,0,81,1,1,0,2,0,0,0,0,1,1,4,1,2,0,0,0,0,525,0,1,526,0
75,75,306,24,55,1,129,0,1,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,521,0,0,521,0
76,76,140,10,187,0,126,0,0,1,0,2,1,2,0,0,3,2,1,4,3,1,2,1,486,0,3,489,0
77,77,276,19,94,0,166,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,560,0,3,563,0
78,78,403,23,165,1,112,0,1,0,0,0,0,0,0,1,0,3,3,2,0,0,0,0,714,0,3,717,0
79,79,233,26,220,2,181,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,664,0,1,665,0
80,80,277,20,370,0,169,1,0,0,0,0,0,1,1,2,1,0,0,1,1,0,0,0,844,0,1,845,0
81,81,473,33,166,1,252,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,0,1,933,0,5,938,0
82,82,207,27,110,0,179,1,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,528,0,0,528,0
83,83,161,15,152,1,107,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2,0,0,441,0,2,443,0
84,84,267,61,155,0,186,0,1,0,1,2,0,0,0,0,1,2,1,3,1,0,0,0,681,0,1,682,0
85,85,174,17,203,0,163,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,561,0,0,561,0
86,86,247,65,307,0,201,1,0,1,0,1,0,1,1,1,2,0,2,2,1,0,1,0,834,0,0,834,0
87,87,135,10,130,3,71,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,1,1,357,0,0,357,0
88,88,284,32,230,0,242,0,1,0,0,3,0,0,0,1,2,3,2,2,0,0,0,0,802,0,1,803,0
89,89,216,27,267,1,171,1,1,0,0,2,0,0,0,0,0,3,1,4,2,0,2,0,698,0,1,699,0
90,90,218,16,242,0,121,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,605,0,2,607,0
91,91,189,26,263,1,167,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,654,0,1,655,0
92,92,86,24,173,0,103,0,0,0,1,0,0,0,0,1,1,0,2,0,1,0,0,0,392,0,0,392,0
93,93,112,17,135,3,122,0,1,0,0,1,1,0,1,2,0,1,1,1,0,0,0,0,398,0,1,399,0
94,94,259,45,241,5,278,0,0,0,0,1,0,3,3,0,0,0,2,2,2,1,0,1,843,0,1,844,0
95,95,133,60,226,1,174,0,0,0,1,0,0,1,0,0,1,2,5,1,0,0,1,1,607,0,0,607,0
96,96,162,31,210,0,120,1,1,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,530,0,1,531,0
97,97,145,19,148,2,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,480,0,3,483,0
98,98,277,41,251,4,237,0,1,0,0,1,0,0,0,2,0,1,0,0,0,1,1,0,817,0,1,818,0
99,99,242,12,101,1,187,0,1,0,0,0,0,1,0,1,0,1,2,2,2,0,3,0,556,0,0,556,0
100,100,209,33,152,3,231,0,1,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,634,0,0,634,0
101,101,314,50,285,2,241,0,0,0,0,0,0,0,4,0,1,4,2,1,1,1,0,0,906,0,2,908,0
102,102,209,18,223,4,264,2,0,1,0,1,1,0,1,0,0,5,3,1,0,0,1,0,734,0,0,734,0
103,103,269,25,268,3,207,1,0,1,0,0,0,0,0,0,0,1,1,1,2,0,0,1,780,0,1,781,0
104,104,286,42,268,2,223,1,0,0,0,0,0,1,0,1,1,0,1,2,0,0,0,0,828,0,1,829,0
105,105,365,30,35,1,216,0,0,0,0,0,0,0,0,0,0,3,2,0,2,2,1,0,657,0,4,661,0
106,106,296,30,121,1,317,1,0,1,0,1,0,0,0,0,0,6,2,0,0,2,0,0,778,0,2,780,0
107,107,347,19,64,0,172,0,1,0,0,0,0,0,0,1,0,4,3,0,0,0,1,0,612,0,2,614,0
108,108,255,17,112,0,155,0,0,0,0,0,1,0,0,0,0,2,2,1,0,1,0,0,546,0,0,546,0
109,109,271,13,134,1,219,0,0,1,0,0,1,0,0,0,0,1,1,0,0,2,0,0,644,0,1,645,0
110,110,318,20,209,3,205,1,0,0,0,0,0,0,0,1,0,2,1,1,2,2,1,1,767,0,1,768,0
111,111,225,19,196,1,232,0,2,0,1,0,0,1,0,0,0,1,1,2,0,0,1,0,682,0,2,684,0
112,112,274,26,131,1,224,0,1,0,0,1,0,0,0,0,1,3,1,0,0,0,0,0,663,0,2,665,0
113,113,234,57,164,4,179,1,0,1,0,0,0,1,0,1,0,0,4,1,0,1,0,0,648,0,2,650,0
114,114,387,39,150,1,272,1,0,1,0,0,0,2,1,0,1,6,3,1,1,2,1,1,870,0,1,871,0
115,115,316,52,269,2,76,0,0,0,0,0,1,0,2,1,0,0,0,0,1,1,0,0,721,0,1,722,0
116,116,276,41,121,2,178,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,620,0,1,621,0
117,117,415,52,114,2,263,0,0,0,1,0,0,0,0,1,1,5,6,1,1,0,0,0,862,0,5,867,0
118,118,291,46,118,1,269,0,1,1,0,1,1,0,1,1,0,1,4,1,4,1,3,1,746,0,2,748,0
119,119,294,25,130,1,246,1,0,0,0,0,0,0,0,0,0,1,2,3,3,0,1,0,707,0,0,707,0
120,120,162,17,242,0,187,1,0,0,0,0,0,0,1,0,0,3,0,2,2,0,1,0,618,0,0,618,0
121,121,348,31,147,0,199,1,0,0,0,0,0,0,1,0,0,3,1,1,0,0,0,0,732,0,1,733,0
122,122,414,31,251,2,242,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,945,0,0,945,0
123,123,295,17,210,1,236,0,2,0,0,0,0,0,0,0,2,1,4,0,0,0,1,0,769,0,1,770,0
124,124,444,16,81,1,305,0,1,0,0,1,0,0,0,0,0,3,4,3,1,1,0,1,862,0,6,868,0
125,125,316,27,99,1,323,1,2,0,0,0,0,0,0,1,0,1,2,2,1,1,0,0,777,0,1,778,0
126,126,214,23,49,1,238,0,1,0,1,0,0,0,0,1,0,0,4,1,0,0,1,0,534,0,1,535,0
127,127,192,20,70,2,163,1,2,1,0,0,0,1,0,0,0,5,2,4,1,0,0,0,464,0,0,464,0
128,128,299,43,128,1,295,0,2,0,0,1,0,1,0,0,0,2,2,0,0,2,1,0,777,0,1,778,0
129,129,63,23,31,0,77,0,1,0,0,0,1,0,0,0,0,2,2,0,1,1,0,0,202,0,2,204,0
130,130,261,28,127,1,206,0,0,0,0,1,0,0,1,0,0,2,3,1,1,1,1,0,634,0,2,636,0
131,131,200,18,209,3,223,0,2,0,0,0,0,1,0,1,4,5,3,1,3,1,0,0,674,0,0,674,0
132,132,152,9,114,0,162,0,1,2,0,0,0,0,0,0,0,1,2,1,2,0,0,0,446,0,0,446,0
133,133,325,31,63,3,259,0,0,0,0,0,0,1,0,1,0,1,2,1,0,0,0,0,687,0,2,689,0
134,134,318,44,155,0,402,1,0,0,1,0,0,2,0,1,1,3,2,0,0,1,0,0,931,0,2,933,0
135,135,238,35,132,1,261,0,0,0,1,0,2,0,0,1,1,0,3,0,0,0,1,0,676,0,2,678,0
136,136,359,40,129,3,297,3,0,0,0,0,0,1,0,0,0,2,4,1,0,0,2,0,841,0,1,842,0
137,137,299,19,65,1,159,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,548,0,6,554,0
138,138,195,22,236,0,167,0,0,0,0,0,0,0,0,2,0,1,3,0,1,0,0,0,627,0,1,628,0
139,139,275,21,233,2,307,0,1,1,0,0,0,0,1,2,0,0,3,1,2,0,0,0,849,0,2,851,0
140,140,323,36,284,2,281,1,2,0,0,1,0,1,1,0,3,3,11,4,9,2,2,0,966,0,5,971,0
141,141,260,34,132,1,164,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,595,0,5,600,0
142,142,199,20,195,2,231,1,1,0,0,1,0,0,1,0,0,0,1,1,2,0,1,0,656,0,3,659,0
143,143,174,20,103,0,137,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,439,0,2,441,0
144,144,210,28,155,0,185,0,0,0,0,0,0,0,2,0,3,7,0,0,0,0,0,1,591,0,2,593,0
145,145,269,26,135,2,275,2,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,714,0,2,716,0
146,146,224,16,61,1,150,1,2,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,459,0,4,463,0
147,147,257,28,89,1,193,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,573,0,1,574,0
148,148,380,73,82,1,331,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,873,0,1,874,0
149,149,382,65,133,0,383,0,0,0,0,1,0,2,1,0,0,0,1,0,0,0,1,1,970,0,0,970,0
150,150,258,40,76,2,264,0,0,0,0,1,0,0,0,0,0,2,3,0,1,0,1,1,649,0,0,649,0
151,151,225,27,47,1,235,1,0,1,0,1,0,0,0,0,0,1,4,0,0,0,3,0,546,0,1,547,0
152,152,232,45,189,2,193,0,0,0,0,0,0,0,0,0,0,3,2,1,0,3,1,0,671,0,0,671,0
153,153,249,65,122,0,214,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,655,0,1,656,0
154,154,332,31,77,0,277,0,0,0,0,0,1,0,0,1,0,2,2,2,1,0,0,0,726,0,2,728,0
155,155,403,51,112,0,273,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,844,0,1,845,0
156,156,392,36,103,2,328,0,0,0,1,1,0,0,0,0,1,2,2,0,1,0,2,0,871,0,5,876,0
157,157,350,19,53,0,206,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,1,0,633,0,0,633,0
