Polling Station No,Candidate_1,AYLASWOK S,AJORAS.E,NASAVINIRS.P,HTASARP NINEL.M,AYITTEVANANG LAMUREPAVIS K. N,M.RAKNASIVAR,MAKCINAMAJAR .T,AJORAS.E,AJORAS.K,AJORAS.P,MAVLES.K,G. MAVLES,AMUKHSENIHD .G R,UGAHZAHTUM .N,NARDNAHCIVAR .M,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,1,38,132,0,143,0,202,0,1,0,0,1,0,0,0,0,517,0,2,519,0
2,2,34,189,3,101,1,203,0,0,0,1,1,0,1,0,1,535,0,2,537,0
3,3,39,280,0,180,1,315,0,0,0,0,1,0,2,1,2,821,0,7,828,0
4,4,63,286,2,168,1,291,1,1,1,0,0,0,0,3,2,819,0,4,823,0
5,5,42,275,6,170,2,286,0,0,0,0,1,2,0,0,0,784,0,2,786,0
6,6,32,273,1,47,1,151,0,0,0,1,0,1,0,0,2,509,0,3,512,0
7,7,34,205,1,205,5,303,4,0,0,0,0,1,1,0,1,760,0,3,763,0
8,8,37,202,2,183,1,366,1,1,0,2,3,3,1,0,2,804,0,4,808,0
9,9,12,171,3,96,2,153,0,2,2,1,0,3,4,0,2,451,0,1,452,0
10,10,15,140,1,130,1,188,0,0,2,0,2,3,0,0,0,482,0,4,486,0
11,11,11,247,0,148,2,132,1,1,0,0,0,2,2,1,4,551,0,2,553,0
12,12,25,233,3,154,0,254,1,0,0,0,3,1,1,0,2,677,0,2,679,0
13,13,20,257,3,175,1,206,1,0,1,0,0,0,0,0,2,666,0,2,668,0
14,14,19,195,0,222,0,131,1,0,0,0,0,0,0,0,1,569,0,2,571,0
15,15,23,232,1,156,0,175,0,0,0,0,0,2,0,0,2,591,0,2,593,0
16,16,11,199,2,151,2,173,0,0,0,0,0,1,1,0,0,540,0,1,541,0
17,17,19,181,6,200,1,169,0,0,0,1,2,0,0,2,0,581,0,1,582,0
18,18,15,215,1,221,0,124,0,0,0,0,1,0,2,0,1,580,0,3,583,0
19,19,22,228,0,206,1,167,0,0,1,0,0,0,0,0,1,626,0,4,630,0
20,20,22,201,3,100,1,175,1,0,1,1,2,0,0,0,0,507,0,1,508,0
21,21,38,345,3,179,2,211,0,0,0,0,1,0,2,0,5,786,0,1,787,0
22,22,25,166,2,139,1,193,3,0,1,1,4,4,5,0,0,544,0,4,548,0
23,23,38,197,1,160,3,218,4,0,0,0,0,0,1,2,2,626,0,1,627,0
24,24,27,222,2,108,4,198,0,1,0,2,1,1,3,3,0,572,0,0,572,0
25,25,31,170,3,206,4,371,3,1,1,1,3,4,3,2,2,805,0,2,807,0
26,26,14,213,0,149,3,202,0,0,0,0,1,0,0,0,1,583,0,3,586,0
27,27,26,136,3,222,2,157,1,0,0,0,1,0,1,1,0,550,0,3,553,0
28,28,15,111,0,136,0,127,0,0,0,0,0,1,0,0,0,390,0,0,390,0
29,29,25,276,1,388,3,230,1,0,0,0,1,0,0,4,1,930,0,3,933,0
