Polling Station No,.oN noitatS gnilloP,Candidate_2,Candidate_3,Candidate_4,Candidate_5,Candidate_6,Candidate_7,Candidate_8,Candidate_9,Candidate_10,Candidate_11,Candidate_12,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,1,1,14,236,211,123,1,1,0,1,1,0,589,0,3,592,0
2,2,0,13,271,123,189,1,1,0,0,1,0,599,0,1,600,0
3,3,0,19,149,140,140,0,0,0,1,0,0,449,0,0,449,0
4,4,2,28,203,204,155,0,0,2,0,2,1,597,0,2,599,0
5,5,0,5,133,193,138,1,2,1,0,0,0,473,0,1,474,0
6,6,0,13,242,150,151,1,0,2,1,0,2,562,0,1,563,2
7,7,1,19,163,104,168,0,1,4,3,0,1,464,0,1,465,0
8,8,4,21,117,188,149,1,0,0,0,0,2,482,0,2,484,0
9,9,1,30,241,283,247,2,1,1,0,1,0,807,0,0,807,0
10,10,6,35,204,238,214,1,1,1,4,0,4,708,0,4,712,0
11,11,5,30,223,285,284,0,2,1,2,1,0,833,0,3,836,0
12,12,1,18,86,254,193,1,1,0,2,2,0,558,0,1,559,0
13,13,4,10,86,236,150,1,2,2,2,2,1,496,0,8,504,0
14,14,1,8,97,228,196,1,0,2,2,1,0,536,0,4,540,0
15,15,4,17,143,127,160,0,0,0,6,3,0,460,0,4,464,1
16,16,2,19,190,162,269,6,0,1,1,2,1,653,0,3,656,0
17,17,7,43,248,134,165,0,1,2,3,1,1,605,0,1,606,0
18,18,2,16,136,268,155,1,0,1,2,3,1,585,0,2,587,0
19,19,1,34,125,397,210,0,1,0,3,2,1,774,0,1,775,0
20,20,4,28,166,224,176,2,2,1,1,1,0,605,0,3,608,0
21,21,0,27,219,158,170,1,0,0,0,2,0,577,0,1,578,0
22,22,1,12,201,123,217,0,0,0,0,1,1,556,0,2,558,0
23,23,2,11,113,266,191,1,2,2,0,0,1,589,0,3,592,0
24,24,4,9,98,159,211,1,1,0,0,1,0,484,0,2,486,0
25,25,4,16,192,219,337,3,0,1,1,0,0,773,0,1,774,0
26,26,1,14,193,134,221,1,1,2,0,2,1,570,0,1,571,0
27,27,3,31,190,274,351,1,1,0,0,0,0,851,0,2,853,0
28,28,3,15,153,74,205,0,0,0,5,2,0,457,0,1,458,0
29,29,0,28,194,149,219,1,0,0,0,1,3,595,0,2,597,0
30,30,2,22,242,219,284,0,1,0,1,3,0,774,0,0,774,0
31,31,2,14,152,148,246,1,0,2,1,0,1,567,0,2,569,0
32,32,0,12,193,85,128,0,1,1,1,2,4,427,0,3,430,0
33,33,2,50,284,228,291,3,0,0,1,0,2,861,0,3,864,0
34,34,4,21,270,141,208,0,2,0,5,3,1,655,0,5,660,0
35,35,5,17,171,91,172,0,1,0,2,0,1,460,0,1,461,0
36,36,2,41,273,334,326,2,1,1,4,0,1,985,0,2,987,0
37,37,4,19,236,208,419,1,0,4,0,1,0,892,0,1,893,0
38,38,4,43,236,234,307,1,1,3,2,2,0,833,0,5,838,0
39,39,1,25,191,136,324,5,2,4,1,3,4,696,0,3,699,0
40,40,0,16,197,101,254,0,2,0,2,3,0,575,0,2,577,0
41,41,2,22,267,128,197,1,1,0,1,1,1,621,0,3,624,0
