Polling Station No,Candidate_1,Candidate_2,Candidate_3,Candidate_4,Candidate_5,Candidate_6,Candidate_7,Candidate_8,Candidate_9,Candidate_10,Candidate_11,Candidate_12,Candidate_13,Candidate_14,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,284,17,258,166,0,0,0,0,0,2,0,0,0,727,727,0,4,731,0
2,207,14,228,242,0,0,0,0,0,2,0,0,2,695,695,0,1,696,0
3,175,29,313,183,1,1,0,0,0,0,0,0,3,705,705,0,2,707,0
4,172,18,228,187,0,1,0,0,1,0,0,1,4,612,612,0,6,618,0
5,161,38,265,229,1,0,0,0,0,1,2,1,0,698,698,0,1,699,0
6,259,62,301,203,1,0,0,0,0,1,1,0,2,830,830,0,1,831,0
7,128,3,145,85,0,1,0,1,0,0,1,0,1,365,365,0,0,365,0
8,103,9,128,115,1,0,0,1,0,1,1,0,1,360,360,0,0,360,0
9,266,47,363,278,1,0,0,1,2,1,0,2,0,961,961,0,1,962,0
10,174,32,121,102,2,2,1,0,1,1,1,0,1,438,438,0,3,441,0
11,401,38,371,212,0,0,0,1,0,0,1,0,2,1026,1026,0,6,1032,0
12,123,9,199,137,2,1,0,1,0,0,1,1,0,474,474,0,0,474,0
13,400,11,201,210,3,1,1,0,0,1,0,1,1,830,830,0,3,833,0
14,194,24,279,164,0,0,0,0,0,0,0,1,1,663,663,0,1,664,0
15,179,21,294,135,1,0,0,0,0,0,0,0,1,631,631,0,2,633,0
16,290,21,115,165,0,0,0,1,0,0,0,0,1,593,593,0,2,595,0
17,263,24,277,228,0,0,0,0,0,0,0,3,0,795,795,0,5,800,0
18,166,24,194,187,1,0,1,1,0,0,0,4,0,578,578,0,3,581,0
19,102,25,251,161,3,1,0,0,0,1,2,0,0,546,546,0,1,547,0
20,53,16,358,135,0,0,0,1,0,1,0,0,0,564,564,0,1,565,0
21,102,16,355,171,1,0,1,0,0,0,1,1,0,648,648,0,1,649,0
22,78,20,389,113,0,0,0,0,0,1,1,0,0,602,602,0,4,606,0
23,188,18,304,128,0,0,0,1,0,0,0,0,0,639,639,0,2,641,0
24,192,37,306,166,0,0,0,0,0,3,1,1,1,707,707,0,1,708,0
25,27,8,375,44,0,0,0,1,0,0,0,0,0,455,455,0,0,455,0
26,100,10,232,102,2,0,0,0,0,2,0,0,0,448,448,0,4,452,0
27,43,7,295,53,0,1,0,0,1,0,0,0,0,400,400,0,1,401,0
28,98,7,237,162,0,0,0,0,0,0,1,1,0,506,506,0,1,507,0
29,57,18,344,119,1,0,0,0,0,0,0,0,0,539,539,0,1,540,0
30,44,14,352,65,0,0,0,0,0,0,0,0,0,475,475,0,0,475,0
31,102,10,375,106,1,0,0,0,0,0,0,0,0,594,594,0,1,595,0
32,205,25,270,144,2,1,0,1,0,1,1,0,3,653,653,0,5,658,0
33,240,38,273,236,1,2,0,0,1,0,2,0,2,795,795,0,1,796,0
34,300,25,243,219,0,0,1,0,1,0,0,1,0,790,790,0,2,792,0
35,190,35,265,176,2,0,0,1,0,0,0,1,2,672,672,0,0,672,0
36,204,30,233,154,0,0,1,0,0,0,0,0,1,623,623,0,1,624,0
37,288,42,268,263,2,0,1,0,0,0,1,3,11,879,879,0,3,882,0
38,76,20,326,81,2,0,0,0,0,1,0,1,0,507,507,0,3,510,0
39,176,35,167,111,1,0,0,0,0,0,0,1,1,492,492,0,2,494,0
40,181,24,204,137,2,0,0,0,0,0,1,3,0,552,552,0,3,555,0
41,176,33,221,150,0,0,0,0,0,1,2,2,2,587,587,0,0,587,0
42,46,25,367,68,2,4,0,0,0,0,0,1,0,513,513,0,1,514,0
43,162,17,254,166,1,0,0,1,0,0,1,2,0,604,604,0,5,609,0
44,233,25,333,201,0,1,1,0,0,1,3,0,1,799,799,0,2,801,0
45,314,46,196,232,0,0,0,0,0,1,0,0,1,790,790,0,4,794,0
46,147,19,243,156,0,1,3,0,0,1,1,2,0,573,573,0,1,574,0
47,185,26,201,185,0,2,1,1,0,1,1,2,1,606,606,0,4,610,0
48,119,11,285,147,1,1,2,0,1,1,0,0,1,569,569,0,3,572,0
49,180,22,214,245,2,0,0,0,0,0,1,1,0,665,665,0,0,665,0
50,51,7,357,72,0,0,1,0,0,0,0,1,1,490,490,0,0,490,0
51,157,23,291,175,0,0,3,0,0,0,1,5,4,659,659,0,0,659,0
52,97,15,515,101,1,0,1,0,0,0,2,0,0,732,732,0,4,736,0
53,235,22,435,247,2,0,0,0,0,0,0,2,1,944,944,0,4,948,0
54,252,31,307,190,0,1,0,0,1,0,0,1,2,785,785,0,2,787,0
55,169,26,274,218,2,1,1,0,0,2,0,0,1,694,694,0,4,698,0
56,165,33,313,211,0,2,0,0,0,0,3,0,0,727,727,0,0,727,0
57,21,9,306,36,2,1,0,0,0,1,0,1,0,377,377,0,4,381,0
58,277,44,229,121,0,0,0,0,0,0,0,1,0,672,672,0,3,675,0
59,262,42,321,338,3,3,0,0,2,2,0,0,0,973,973,0,1,974,0
60,212,26,284,187,3,0,1,0,0,1,2,2,2,720,720,0,3,723,0
61,334,10,247,159,0,0,0,0,0,0,1,1,0,752,752,0,1,753,0
62,214,37,277,157,2,0,0,0,0,0,1,0,0,688,688,0,4,692,0
63,103,31,176,135,0,1,0,0,0,1,0,1,1,449,449,0,5,454,0
64,229,36,186,215,4,0,0,0,0,3,0,3,2,678,678,0,0,678,0
65,199,31,152,132,0,0,1,1,1,0,0,0,3,520,520,0,2,522,0
66,226,31,160,186,1,0,0,0,1,0,1,0,0,606,606,0,3,609,0
67,203,20,242,188,0,0,1,0,0,2,0,0,0,656,656,0,0,656,0
68,219,18,124,116,0,2,0,0,0,0,0,0,1,480,480,0,2,482,0
69,180,25,276,308,2,1,1,0,0,0,0,2,0,795,795,0,2,797,0
70,289,17,255,202,1,1,0,0,1,1,1,0,1,769,769,0,0,769,0
71,246,29,302,209,2,1,1,0,0,0,1,0,1,792,792,0,3,795,0
72,193,17,203,214,0,0,0,0,0,1,2,1,1,632,632,0,1,633,0
73,360,32,270,161,1,0,0,0,0,1,1,3,0,829,829,0,3,832,0
74,261,11,319,152,0,0,1,1,0,0,0,2,2,749,749,0,1,750,0
75,258,32,197,176,1,0,0,1,0,0,1,0,0,666,666,0,1,667,0
76,240,31,320,269,1,0,0,0,0,0,1,0,0,862,862,0,1,863,0
77,405,27,258,250,1,1,0,1,0,2,2,1,0,948,948,0,2,950,0
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,149,28,249,206,0,0,0,0,1,2,1,0,0,636,636,0,1,637,0
80,150,15,184,127,1,0,0,0,0,0,0,0,0,477,477,0,2,479,0
81,224,42,246,147,2,0,0,0,0,0,0,2,0,663,663,0,4,667,0
82,457,41,322,204,0,0,0,0,0,1,0,0,0,1025,1025,0,1,1026,0
83,249,20,206,90,0,0,0,0,0,0,1,1,1,568,568,0,1,569,0
84,302,23,267,185,0,0,0,0,0,0,0,0,0,777,777,0,3,780,0
85,292,16,325,235,1,0,0,1,0,0,0,1,1,872,872,0,2,874,0
86,245,50,263,186,1,0,1,0,1,0,0,1,2,750,750,0,1,751,0
87,189,22,166,201,1,0,0,0,1,0,1,1,0,582,582,0,1,583,0
88,258,61,162,156,0,0,1,0,0,0,0,0,0,638,638,0,0,638,0
89,201,34,195,181,0,1,0,0,0,1,0,1,5,619,619,0,5,624,0
90,263,35,206,325,1,0,0,0,0,2,0,0,3,835,835,0,2,837,0
91,152,22,161,289,1,0,0,0,0,1,1,0,4,631,631,0,2,633,0
92,188,25,98,278,1,1,0,0,1,1,1,0,2,596,596,0,2,598,0
93,385,40,322,226,0,0,0,0,0,2,1,3,0,979,979,0,4,983,0
94,94,25,197,138,1,0,0,0,0,0,0,2,0,457,457,0,1,458,0
95,256,19,234,249,0,0,0,1,0,1,2,2,1,765,765,0,2,767,0
96,254,30,230,205,1,1,1,0,0,0,0,2,0,724,724,0,1,725,0
97,238,13,221,274,0,0,0,0,0,2,1,1,3,753,753,0,2,755,0
98,226,17,206,248,0,1,1,0,0,1,1,1,1,703,703,0,1,704,0
99,87,13,224,117,0,0,0,1,1,0,0,0,0,443,443,0,2,445,0
100,78,18,216,137,0,0,0,0,0,1,0,2,0,452,452,0,2,454,0
101,68,15,272,239,1,0,0,2,0,0,1,1,2,601,601,0,1,602,0
102,86,10,194,275,0,0,0,0,1,2,1,0,0,569,569,0,1,570,0
103,168,12,252,89,0,0,0,0,0,0,0,0,0,521,521,0,3,524,0
104,172,6,206,139,1,0,0,0,0,1,0,1,1,527,527,0,0,527,0
105,43,15,629,116,1,0,0,0,0,0,0,1,0,805,805,0,1,806,0
106,115,4,98,134,0,0,0,0,0,1,0,0,0,352,352,0,0,352,0
107,225,15,99,282,4,0,0,0,0,1,0,2,0,628,628,0,1,629,0
108,145,12,137,188,0,0,0,0,0,0,0,0,0,482,482,0,0,482,0
109,31,15,520,74,1,0,0,0,0,0,3,0,0,644,644,0,2,646,0
110,31,11,301,50,0,0,0,0,0,0,0,0,0,393,393,0,1,394,0
111,48,14,348,48,0,0,0,0,0,0,0,1,1,460,460,0,1,461,0
112,27,8,339,57,0,0,0,0,0,0,0,0,0,431,431,0,0,431,0
113,33,3,357,36,0,0,0,0,0,0,1,0,1,431,431,0,0,431,0
114,76,13,528,128,2,0,1,0,0,0,1,1,0,750,750,0,3,753,0
115,59,8,383,77,0,0,0,0,1,1,0,0,1,530,530,0,1,531,0
116,40,11,391,58,1,0,0,0,0,1,0,0,1,503,503,0,3,506,0
117,17,11,484,60,1,0,1,0,0,0,0,0,1,575,575,0,1,576,0
118,36,15,297,106,0,0,0,0,0,1,1,0,0,456,456,0,2,458,0
119,79,11,198,107,0,0,0,2,0,0,0,1,0,398,398,0,1,399,0
120,62,26,472,136,2,0,2,0,0,0,1,0,1,702,702,0,4,706,0
121,34,11,535,78,1,0,0,0,1,0,0,2,0,662,662,0,4,666,0
122,31,7,244,57,0,0,1,0,0,0,0,0,0,340,340,0,1,341,0
123,131,8,359,206,0,0,0,0,0,0,1,1,0,706,706,0,2,708,0
124,166,18,199,236,3,0,1,1,0,0,0,0,0,624,624,0,0,624,0
125,289,25,75,415,1,0,2,0,2,1,1,0,0,811,811,0,3,814,0
126,33,8,120,76,0,0,0,0,1,0,0,0,0,238,238,0,1,239,0
127,200,27,123,176,0,0,0,0,0,1,1,0,1,529,529,0,1,530,0
128,253,27,153,223,1,0,1,0,0,1,0,0,1,660,660,0,2,662,0
129,365,52,149,255,1,0,0,2,0,0,0,0,1,825,825,0,9,834,0
130,96,15,121,190,0,0,0,0,0,0,0,0,1,423,423,0,3,426,0
131,94,14,130,356,0,0,1,0,0,1,0,0,0,596,596,0,0,596,0
132,153,17,184,416,1,0,0,0,1,0,0,1,0,773,773,0,0,773,0
133,148,19,212,379,2,0,0,1,0,0,1,1,0,763,763,0,0,763,0
134,167,62,230,412,1,0,0,0,0,0,0,1,1,874,874,0,0,874,0
135,199,33,169,478,1,1,0,0,0,0,1,2,1,885,885,0,3,888,0
136,127,14,142,237,1,0,0,0,1,1,1,0,1,525,525,0,0,525,0
137,124,32,159,181,0,0,0,0,3,1,1,0,0,501,501,0,1,502,0
138,156,33,160,232,0,0,0,0,0,1,0,0,0,582,582,0,2,584,0
139,107,21,169,204,2,1,0,0,0,1,0,2,0,507,507,0,1,508,0
140,139,16,157,125,1,0,0,0,0,0,1,0,0,439,439,0,4,443,0
141,273,14,55,264,0,0,0,0,0,0,1,0,1,608,608,0,4,612,0
142,171,7,54,233,2,0,0,1,0,1,1,0,0,470,470,0,2,472,0
143,371,29,134,332,2,0,0,0,0,2,1,1,0,872,872,0,3,875,0
144,182,5,73,150,0,0,0,0,0,0,0,0,3,413,413,0,0,413,0
145,232,9,57,223,2,0,0,0,0,0,1,0,0,524,524,0,1,525,0
146,126,22,179,177,1,1,0,0,0,0,0,0,0,506,506,0,5,511,0
147,156,29,208,280,7,0,0,0,0,0,1,1,3,685,685,0,3,688,0
148,175,20,125,197,0,0,1,0,0,0,1,0,0,519,519,0,2,521,0
149,157,16,133,192,0,0,0,0,0,0,0,0,1,499,499,0,5,504,0
150,148,11,93,122,1,0,0,0,1,0,0,0,0,376,376,0,2,378,0
151,158,16,103,114,0,0,0,0,0,0,0,0,0,391,391,0,2,393,0
152,192,20,199,327,2,1,0,1,0,0,1,0,0,743,743,0,3,746,0
153,133,18,126,289,3,0,0,1,2,1,1,0,0,574,574,0,0,574,0
154,92,25,149,273,0,1,1,0,0,1,0,0,0,542,542,0,1,543,0
155,83,14,90,145,0,0,0,0,0,0,0,0,0,332,332,0,0,332,0
156,60,17,119,134,0,0,1,0,0,0,0,0,0,331,331,0,2,333,0
157,105,5,85,152,2,0,0,0,0,1,0,0,1,351,351,0,3,354,0
158,84,13,114,121,0,0,0,1,0,0,0,0,0,333,333,0,1,334,0
159,143,21,157,212,0,0,1,0,0,0,3,1,0,538,538,0,2,540,0
160,261,29,182,300,3,0,0,0,0,2,1,1,1,780,780,0,2,782,0
161,111,25,126,248,0,0,0,1,0,0,1,0,0,512,512,0,0,512,0
162,131,17,100,213,1,1,0,0,1,0,1,0,1,466,466,0,4,470,0
163,240,28,186,303,2,1,1,3,0,0,1,1,1,767,767,0,1,768,0
164,206,15,193,261,2,0,0,1,0,0,0,0,0,678,678,0,0,678,0
165,144,19,105,257,1,0,2,5,0,1,5,0,0,539,539,0,1,540,0
166,125,21,210,180,1,0,1,0,0,2,0,0,0,540,540,0,3,543,0
167,109,20,193,139,0,0,1,0,0,0,0,0,0,462,462,0,4,466,0
168,34,17,587,107,0,1,0,0,0,0,0,1,0,747,747,0,1,748,0
169,46,22,411,178,0,1,0,0,0,1,0,0,0,659,659,0,5,664,0
170,69,12,86,147,0,0,1,0,0,1,0,0,0,316,316,0,0,316,0
171,72,8,37,120,2,0,0,0,0,0,0,0,0,239,239,0,0,239,0
172,33,5,272,88,0,0,0,0,0,0,0,0,0,398,398,0,1,399,0
173,21,12,171,45,1,0,0,0,0,0,0,0,0,250,250,0,1,251,0
174,163,18,75,97,1,0,0,0,0,0,0,0,0,354,354,0,5,359,0
175,240,25,225,203,0,0,0,0,0,1,1,0,1,696,696,0,3,699,0
176,206,32,146,194,0,0,0,3,0,0,2,0,0,583,583,0,0,583,0
177,139,20,174,181,0,0,0,0,0,1,1,0,1,517,517,0,2,519,0
178,37,7,389,90,0,0,0,1,0,0,0,0,0,524,524,0,4,528,0
179,103,17,130,218,1,0,0,0,0,0,2,1,1,473,473,0,3,476,0
180,139,25,134,223,0,0,1,0,0,0,1,1,0,524,524,0,2,526,0
181,126,9,89,250,2,0,0,2,0,1,0,0,0,479,479,0,0,479,0
182,254,24,277,275,1,0,0,0,0,2,1,0,0,834,834,0,3,837,0
183,214,20,253,238,1,0,1,0,0,0,0,2,1,730,730,0,3,733,0
184,218,13,103,153,0,0,0,0,0,1,1,0,1,490,490,0,3,493,0
185,210,20,117,166,0,0,0,0,0,1,0,1,1,516,516,0,0,516,0
186,143,11,97,145,0,0,0,0,0,0,0,0,1,397,397,0,0,397,0
187,130,16,113,109,1,1,0,0,2,0,0,0,1,373,373,0,4,377,0
188,237,17,258,250,1,0,0,0,0,0,0,0,1,764,764,0,2,766,0
189,197,20,153,139,1,0,0,0,1,0,0,1,0,512,512,0,3,515,0
