Polling Station No,Candidate_1,Candidate_2,Candidate_3,Candidate_4,Candidate_5,Candidate_6,Candidate_7,Candidate_8,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,42,354,5,361,220,5,6,993,993,0,1,994,0
2,51,307,2,286,151,0,1,798,798,0,0,798,0
3,32,278,1,180,203,1,2,697,697,0,3,700,0
4,57,242,2,253,205,1,0,760,760,0,1,761,0
5,25,155,3,105,125,1,1,415,415,0,0,415,0
6,48,412,1,231,195,0,1,888,888,0,2,890,0
7,39,239,1,147,99,1,1,527,527,0,1,528,0
8,16,206,4,211,150,4,3,594,594,0,0,594,0
9,27,250,2,240,206,1,3,729,729,0,6,735,0
10,21,126,1,236,244,1,2,631,631,0,1,632,0
11,32,213,2,254,175,2,1,679,679,0,3,682,0
12,19,245,4,213,207,1,2,691,691,0,2,693,0
13,37,236,6,208,187,2,4,680,680,0,2,682,0
14,53,230,3,240,160,3,2,691,691,0,5,696,0
15,41,405,3,285,80,3,2,819,819,0,2,821,0
16,30,219,0,244,172,1,1,667,667,0,1,668,0
17,37,187,1,248,120,3,1,597,597,0,2,599,0
18,23,231,2,225,180,2,3,666,666,0,3,669,0
19,45,187,1,353,123,0,2,711,711,0,6,717,0
20,29,277,1,264,112,1,1,685,685,0,2,687,0
21,28,288,1,142,51,1,0,511,511,0,2,513,0
22,40,344,1,279,184,2,2,852,852,0,2,854,0
23,32,165,0,250,197,9,1,654,654,0,5,659,0
24,31,256,0,220,146,1,2,656,656,0,2,658,0
25,32,195,1,241,171,2,1,643,643,0,4,647,0
26,38,214,0,246,152,3,2,655,655,0,4,659,0
27,91,327,0,308,107,3,2,838,838,0,6,844,0
28,41,272,3,340,153,6,3,818,818,0,3,821,0
29,28,203,0,156,118,3,0,508,508,0,1,509,0
30,30,249,2,192,189,5,1,668,668,0,1,669,0
31,33,311,8,392,154,8,7,913,913,0,5,918,0
32,24,120,1,196,80,2,3,426,426,0,5,431,0
33,36,178,1,249,107,1,1,573,573,0,0,573,0
34,40,363,3,294,107,2,2,811,811,0,2,813,0
35,29,160,1,274,53,1,1,519,519,0,5,524,0
36,30,250,3,402,90,3,2,780,780,0,4,784,0
37,23,63,3,305,98,0,4,496,496,0,3,499,0
38,28,114,0,240,30,2,1,415,415,0,1,416,0
39,24,98,1,381,67,1,1,573,573,0,2,575,0
40,21,113,3,263,37,1,0,438,438,0,2,440,0
41,31,122,1,343,98,4,0,599,599,0,1,600,0
42,48,196,4,614,110,0,2,974,974,0,1,975,0
43,37,85,2,406,59,0,1,590,590,0,0,590,0
44,35,165,3,642,104,4,6,959,959,0,6,965,0
45,38,341,3,282,176,1,1,842,842,0,2,844,0
46,34,299,5,385,233,2,2,960,960,0,4,964,0
47,20,180,3,196,173,1,0,573,573,0,3,576,0
48,34,219,6,194,162,3,1,619,619,0,3,622,0
49,24,345,3,324,96,1,1,794,794,0,3,797,0
50,31,459,4,394,111,3,1,1003,1003,0,2,1005,0
51,26,226,2,220,87,1,3,565,565,0,2,567,0
52,17,249,0,285,160,4,0,715,715,0,0,715,0
53,31,223,1,191,135,1,0,582,582,0,0,582,0
54,35,228,4,201,82,2,0,552,552,0,2,554,0
55,32,187,3,331,192,6,2,753,753,0,4,757,0
56,37,300,2,197,138,1,1,676,676,0,0,676,0
57,34,269,4,149,67,2,1,526,526,0,2,528,0
58,35,209,3,172,240,2,0,661,661,0,1,662,0
59,39,455,4,263,183,1,3,948,948,0,1,949,0
60,20,503,7,192,88,0,3,813,813,0,4,817,0
61,69,233,0,199,63,3,1,568,568,0,1,569,0
62,34,195,0,246,125,1,0,601,601,0,0,601,0
63,43,448,0,291,190,0,4,976,976,0,4,980,0
64,45,324,1,265,189,4,6,834,834,0,1,835,0
65,16,327,1,228,194,1,2,769,769,0,4,773,0
66,18,162,2,276,116,1,3,578,578,0,3,581,0
67,10,165,2,157,132,2,0,468,468,0,3,471,0
68,40,348,3,404,260,0,5,1060,1060,0,3,1063,0
69,45,281,2,287,205,4,1,825,825,0,4,829,0
70,44,306,0,162,94,0,1,607,607,0,1,608,0
71,23,173,3,137,101,1,0,438,438,0,2,440,0
72,21,129,2,194,159,2,5,512,512,0,1,513,0
73,45,215,2,234,229,4,3,732,732,0,3,735,0
74,24,211,1,176,112,1,2,527,527,0,2,529,0
75,26,157,1,194,147,1,1,527,527,0,3,530,0
76,36,254,2,373,318,7,2,992,992,0,4,996,0
77,39,300,3,427,66,0,3,838,838,0,3,841,0
78,30,147,0,210,55,2,3,447,447,0,3,450,0
79,26,346,0,141,27,0,0,540,540,0,1,541,0
80,20,149,1,207,74,0,1,452,452,0,2,454,0
81,36,223,2,314,142,1,2,720,720,0,2,722,0
82,41,302,2,392,150,2,1,890,890,0,6,896,0
83,14,215,1,305,50,1,3,589,589,0,2,591,0
84,19,196,0,347,25,0,2,589,589,0,0,589,0
85,17,132,1,107,12,2,4,275,275,0,5,280,0
86,13,228,2,298,38,0,0,579,579,0,0,579,0
87,30,130,0,164,34,0,0,358,358,0,4,362,0
88,23,291,6,487,34,0,3,844,844,0,6,850,0
89,53,305,2,311,202,1,2,876,876,0,1,877,0
90,25,348,3,281,125,2,0,784,784,0,1,785,0
91,74,346,2,223,203,0,4,852,852,0,2,854,0
92,47,240,4,270,229,1,2,793,793,0,2,795,0
93,38,181,1,144,155,1,0,520,520,0,1,521,0
94,35,192,4,278,112,1,1,623,623,0,1,624,0
95,29,225,7,236,95,1,0,593,593,0,1,594,0
96,23,204,1,207,171,3,1,610,610,0,1,611,0
97,23,280,2,139,56,1,2,503,503,0,1,504,0
98,27,237,1,208,120,6,1,600,600,0,4,604,0
99,51,333,4,289,126,4,1,808,808,0,4,812,0
100,64,282,2,240,145,2,3,738,738,0,6,744,0
101,24,360,1,202,133,3,1,724,724,0,0,724,0
102,22,379,0,187,108,2,2,700,700,0,2,702,0
103,24,374,3,245,123,5,2,776,776,0,0,776,0
104,39,313,2,198,165,2,0,719,719,0,0,719,0
105,34,251,0,240,146,1,1,673,673,0,2,675,0
106,33,244,3,128,139,1,1,549,549,0,1,550,0
107,31,249,4,274,238,3,0,799,799,0,1,800,0
108,26,321,3,293,156,4,1,804,804,0,3,807,0
109,55,486,5,233,209,2,3,993,993,0,4,997,0
110,40,254,3,169,99,2,4,571,571,0,0,571,0
111,22,287,4,198,188,1,1,701,701,0,2,703,0
112,28,318,2,247,131,3,2,731,731,0,4,735,0
113,40,351,3,289,285,5,1,974,974,0,4,978,0
114,25,234,4,179,189,5,4,640,640,0,1,641,0
115,50,290,3,323,167,1,4,838,838,0,3,841,0
116,15,171,3,138,155,0,0,482,482,0,3,485,0
117,14,251,1,266,68,2,1,603,603,0,3,606,0
118,25,204,1,147,151,3,2,533,533,0,5,538,0
119,16,114,0,66,72,1,3,272,272,0,0,272,0
120,52,409,2,385,175,0,2,1025,1025,0,2,1027,0
121,48,228,2,601,108,1,2,990,990,0,3,993,0
122,24,194,0,589,70,0,0,877,877,0,2,879,0
123,30,224,5,481,190,3,2,935,935,0,5,940,0
124,43,128,2,191,64,1,0,429,429,0,2,431,0
125,60,134,2,203,180,2,1,582,582,0,4,586,0
126,59,129,1,211,45,0,0,445,445,0,2,447,0
127,34,199,2,243,91,2,1,572,572,0,2,574,0
128,54,300,3,235,118,2,3,715,715,0,0,715,0
129,101,323,9,387,130,2,2,954,954,0,3,957,0
130,49,261,2,285,154,1,4,756,756,0,1,757,0
131,29,532,2,236,159,2,2,962,962,0,3,965,0
132,87,414,5,371,125,2,3,1007,1007,0,7,1014,0
133,19,320,0,103,52,1,1,496,496,0,3,499,0
134,15,486,1,101,30,1,0,634,634,0,2,636,0
135,13,155,3,104,46,1,3,325,325,0,0,325,0
136,45,356,2,256,148,1,2,810,810,0,1,811,0
137,69,282,5,225,103,0,2,686,686,0,3,689,0
138,36,411,5,308,144,0,6,910,910,0,6,916,0
139,32,145,1,161,167,1,0,507,507,0,0,507,0
140,44,190,1,117,189,1,0,542,542,0,3,545,0
141,14,214,0,144,140,0,1,513,513,0,1,514,0
142,62,444,26,261,198,6,4,1001,1001,0,2,1003,0
143,19,250,3,176,258,1,0,707,707,0,1,708,0
144,37,413,2,180,67,1,4,704,704,0,2,706,0
145,41,231,2,207,140,4,4,629,629,0,0,629,0
146,27,194,1,178,35,0,4,439,439,0,3,442,0
147,32,253,0,195,131,1,0,612,612,0,1,613,0
