Polling Station No,.oN noitatS gnilloP,No. of valid votes cast in favour of,Candidate_3,Candidate_4,Candidate_5,Candidate_6,Candidate_7,Candidate_8,Candidate_9,Candidate_10,Candidate_11,Candidate_12,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,50,251,194,110,0,0,1,1,0,2,4,613,613,0,3,616,0
2,39,160,267,84,0,0,1,0,0,0,0,551,551,0,2,553,0
3,41,160,173,118,0,0,0,1,0,0,1,494,494,0,0,494,0
4,65,318,339,238,1,0,0,0,0,0,1,962,962,0,3,965,0
5,36,203,274,294,1,2,1,0,0,1,2,814,814,0,4,818,0
6,38,321,231,257,0,1,4,1,0,2,12,867,867,0,3,870,0
7,26,232,160,110,2,0,0,1,0,1,1,533,533,0,1,534,0
8,48,246,380,223,0,0,0,0,1,0,1,899,899,0,2,901,0
9,34,248,125,87,1,0,0,0,0,0,3,498,498,0,0,498,0
10,25,270,137,128,2,0,0,0,0,0,0,562,562,0,0,562,0
11,31,343,316,246,1,1,3,2,2,6,6,957,957,0,2,959,0
12,24,188,213,113,0,0,0,0,2,1,0,541,541,0,3,544,0
13,47,156,218,94,0,0,0,0,1,2,1,519,519,0,1,520,0
14,92,223,305,232,2,0,0,1,0,1,1,857,857,0,2,859,0
15,19,169,234,71,0,0,0,0,1,0,0,494,494,0,0,494,0
16,39,236,325,180,1,0,0,0,0,0,5,786,786,0,3,789,0
17,25,268,206,193,1,0,0,0,0,0,1,694,694,0,2,696,0
18,25,85,100,57,0,1,0,2,0,0,4,274,274,0,6,280,0
19,35,252,259,209,1,0,1,0,0,1,5,763,763,0,4,767,0
20,69,358,334,215,0,1,0,0,0,3,2,982,982,0,2,984,0
21,33,327,232,201,1,0,1,0,1,1,2,799,799,0,3,802,0
22,79,192,196,175,2,1,0,0,1,3,3,652,652,0,1,653,0
23,27,190,211,115,0,1,0,0,0,1,0,545,545,0,3,548,0
24,19,117,197,81,0,0,1,2,0,1,0,418,418,0,0,418,0
25,38,264,244,173,1,0,0,1,1,0,1,723,723,0,2,725,0
26,13,231,275,128,1,1,1,0,0,1,2,653,653,0,3,656,0
27,26,277,339,184,1,0,1,1,0,2,2,833,833,0,5,838,0
28,5,154,358,31,4,0,0,0,0,0,0,552,552,0,2,554,0
29,35,184,376,135,1,0,2,2,2,1,3,741,741,0,2,743,0
30,21,334,520,142,4,0,2,1,0,4,5,1033,1033,0,5,1038,0
31,32,117,188,81,1,0,0,0,0,0,0,419,419,0,1,420,0
32,101,186,187,129,0,0,1,1,0,1,2,608,608,0,5,613,0
33,23,279,282,133,1,0,1,0,0,1,1,721,721,0,3,724,0
