Polling Station No,KAMARAJ. R,THENMOZHI DILIPKUMAR,MOHAMED MUBARAK,SIVARAMAN. T,TAMILSELVAN. M,PRABHAKARAN. S,RAJA. S,SANKAR. R,SHANMUGARAJA. D,SURESH. V,BHARATHIMOHAN. K.S,MOHUMED RIYAS. K,RAVICHANDRAN. R,RAJASEKAR. R,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,448,41,189,1,0,266,0,0,0,1,0,0,0,2,948,0,5,953,0
2,377,34,182,0,0,227,0,0,0,0,0,0,0,0,820,0,3,823,0
3,359,31,199,0,2,218,1,4,0,1,1,0,1,2,819,0,1,820,0
4,380,22,177,0,0,201,0,0,0,0,0,0,2,1,783,0,2,785,0
5,348,50,185,0,0,187,1,0,0,1,0,1,1,1,775,0,1,776,0
6,384,51,200,0,1,189,0,0,0,0,0,0,0,0,825,0,6,831,0
7,350,22,122,0,1,170,0,1,0,0,2,0,0,0,668,0,4,672,0
8,376,28,146,0,0,186,1,1,0,1,0,1,0,0,740,0,2,742,0
9,274,32,168,1,1,195,1,0,0,1,0,0,1,0,674,0,3,677,0
10,303,27,107,0,0,199,2,1,0,0,0,0,1,1,641,0,4,645,0
11,312,25,138,0,0,136,0,0,0,0,0,0,0,0,611,0,2,613,0
12,316,24,85,1,1,170,1,0,0,0,0,0,0,0,598,0,2,600,0
13,270,22,89,0,0,152,0,0,0,0,0,0,0,1,534,0,4,538,0
14,389,32,119,0,1,227,0,0,0,0,0,1,0,3,772,0,3,775,0
15,122,8,359,1,0,103,0,0,0,0,1,0,0,0,594,0,2,596,0
16,158,21,397,1,0,95,0,0,0,0,0,0,0,0,672,0,3,675,0
17,357,26,247,0,0,160,2,0,1,0,0,0,3,0,796,0,3,799,0
18,25,14,508,2,0,69,1,1,0,0,0,2,0,0,622,0,0,622,0
19,316,37,305,1,0,145,4,1,0,0,0,0,2,1,812,0,5,817,0
20,219,17,114,1,0,114,0,0,0,0,0,0,0,1,466,0,2,468,0
21,69,5,372,0,0,58,0,0,0,0,0,0,0,0,504,0,1,505,0
