Polling Station No,SHAN. RAMANATHAN,N. KRISHNAKUMAR,KARUPPU MURUGANANTHAM,H. MOHAMED ABDUL KHADIR,S. MUTHUVEL,R. VIJAYSARAVANAN,S. KARIKALA CHOLAN,D. KUMARAN,M. SANTHOSH,R. SABTHAGIRI,R. MURALIDHARAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,282,63,147,3,4,433,5,1,0,0,3,941,0,5,946,0
2,383,48,114,0,2,387,5,0,2,2,4,947,0,5,952,0
3,167,15,82,1,2,206,1,0,1,0,0,475,0,2,477,0
4,247,33,101,1,3,293,1,0,0,0,3,682,0,9,691,0
5,202,16,71,1,2,287,2,0,1,1,0,583,0,6,589,0
6,232,32,110,0,4,346,3,0,2,0,4,733,0,3,736,0
7,227,21,137,1,0,382,6,0,2,0,16,792,0,4,796,0
8,224,34,76,2,2,364,5,1,4,0,2,714,0,4,718,0
9,234,33,72,0,0,303,1,1,0,0,8,652,0,4,656,0
10,118,26,117,0,0,216,0,0,0,0,1,478,0,0,478,1
11,194,64,110,0,2,335,3,0,0,0,2,710,0,2,712,0
12,286,42,69,1,1,410,5,2,2,2,2,822,0,2,824,0
13,181,37,89,0,1,298,3,0,1,0,3,613,0,6,619,0
14,278,38,113,4,1,376,4,2,0,3,2,821,0,10,831,0
15,258,46,115,0,1,298,1,0,0,1,4,724,0,10,734,0
16,271,21,90,1,1,346,2,0,0,0,0,732,0,5,737,1
17,145,25,143,3,0,288,3,2,0,1,2,612,0,5,617,0
18,180,28,78,1,2,356,8,3,2,1,10,669,0,4,673,0
19,137,39,105,2,2,299,1,0,1,1,3,590,0,4,594,0
20,230,38,202,1,1,358,4,0,0,0,0,834,0,3,837,0
21,186,25,120,0,2,256,1,0,0,2,5,597,0,1,598,0
22,208,16,107,1,1,193,1,0,2,0,4,533,0,4,537,0
23,189,30,108,1,1,307,5,0,0,0,4,645,0,6,651,0
24,221,27,86,1,3,285,3,0,0,0,4,630,0,5,635,0
25,369,21,141,2,5,440,5,1,0,0,2,986,0,2,988,0
26,149,26,79,2,1,321,2,0,0,1,2,583,0,2,585,1
27,134,31,71,1,2,268,2,0,0,0,0,509,0,4,513,0
28,127,16,56,1,4,201,4,0,0,2,1,412,0,0,412,0
29,228,27,94,1,4,407,4,1,2,0,4,772,0,3,775,2
30,181,15,22,0,3,385,3,0,0,0,2,611,0,2,613,0
31,164,19,35,2,4,449,5,0,0,0,2,680,0,2,682,0
32,122,14,71,0,2,253,3,0,0,0,5,470,0,7,477,0
33,266,18,34,0,2,267,1,0,0,2,1,591,0,5,596,0
34,218,29,62,0,2,374,2,1,0,2,2,692,0,5,697,0
35,160,19,64,2,1,336,2,0,1,1,3,589,0,0,589,0
36,138,26,98,0,1,251,2,0,0,0,1,517,0,1,518,0
37,222,14,63,1,3,533,7,0,8,0,1,852,0,1,853,0
38,229,26,86,1,2,370,5,1,2,0,5,727,0,1,728,0
39,194,24,68,2,3,397,4,0,0,2,3,697,0,2,699,0
40,184,26,89,1,3,341,4,1,1,3,0,653,0,1,654,0
41,119,17,68,0,0,211,3,0,0,0,0,418,0,1,419,0
