Polling Station No,M. SEKAR,S.THIRUMURUGAN,R. VAITHILINGAM,DR. K. ARVIND,C. GUNASEKARAN,M. SELVARAJ,A. AJESHKANNAN,M. KANAGARAJ,T. VIJAYAKUMAR,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,94,35,224,208,1,0,1,0,0,563,0,1,564,0
2,55,43,313,269,0,1,2,2,1,686,0,4,690,0
3,99,35,207,364,1,1,0,1,2,710,0,0,710,0
4,65,18,171,251,0,1,1,2,0,509,0,2,511,0
5,44,12,159,159,0,0,0,0,0,374,0,0,374,0
6,66,15,148,304,1,0,0,0,0,534,0,2,536,0
7,80,42,252,317,2,0,0,0,0,693,0,2,695,0
8,71,45,172,331,1,0,0,0,1,621,0,1,622,0
9,36,13,110,162,0,1,1,0,0,323,0,1,324,0
10,67,34,244,258,1,2,0,0,2,608,0,1,609,0
11,51,31,161,221,0,1,0,0,0,465,0,1,466,0
12,122,49,367,223,3,2,0,8,0,774,0,3,777,0
13,101,54,413,328,1,3,1,5,0,906,0,4,910,0
14,137,26,295,308,5,3,1,1,0,776,0,7,783,0
15,162,30,377,224,12,1,1,1,2,810,0,2,812,0
16,50,31,288,222,0,0,0,0,1,592,0,2,594,0
17,102,37,322,272,1,3,0,0,0,737,0,5,742,0
18,41,31,248,134,1,0,0,3,0,458,0,1,459,0
19,81,18,208,234,0,0,1,3,0,545,0,2,547,0
20,96,32,289,149,0,1,2,1,2,572,0,2,574,0
21,160,32,267,242,0,0,2,1,2,706,0,0,706,0
22,122,15,238,124,1,0,1,1,0,502,0,0,502,0
23,83,11,285,125,2,0,1,2,0,509,0,2,511,0
24,134,20,283,210,2,0,5,1,0,655,0,3,658,0
25,138,26,268,174,0,0,2,2,0,610,0,1,611,0
26,140,39,365,291,4,1,2,2,1,845,0,2,847,0
27,190,19,271,215,1,2,1,1,0,700,0,2,702,0
28,108,37,325,254,2,1,1,3,1,732,0,3,735,0
29,163,69,365,199,1,1,0,3,2,803,0,0,803,0
30,124,57,306,264,1,5,1,1,1,760,0,4,764,0
31,201,30,309,176,1,0,1,1,2,721,0,0,721,0
32,74,26,186,141,1,1,1,1,1,432,0,1,433,0
33,137,29,292,213,3,1,4,2,1,682,0,2,684,0
34,197,36,317,279,4,2,2,1,4,842,0,4,846,0
35,146,36,231,265,2,1,3,0,5,689,0,5,694,0
36,159,84,316,297,1,1,0,1,1,860,0,3,863,0
37,149,23,224,208,4,1,0,2,0,611,0,2,613,0
38,69,27,264,141,0,0,0,0,2,503,0,0,503,0
39,215,34,264,138,0,1,1,2,2,657,0,5,662,0
40,69,33,279,185,4,1,0,1,6,578,0,0,578,0
41,87,38,201,163,1,0,0,1,10,501,0,1,502,0
42,186,69,356,250,1,3,0,1,1,867,0,3,870,0
43,45,11,258,149,1,2,2,0,0,468,0,0,468,0
44,137,31,195,195,0,2,1,0,1,562,0,2,564,0
45,104,35,155,193,0,0,0,2,0,489,0,1,490,0
46,91,28,249,115,0,0,0,1,0,484,0,2,486,0
47,101,38,196,166,1,0,1,2,1,506,0,2,508,0
48,78,72,289,230,1,1,1,1,5,678,0,3,681,0
49,85,38,205,327,5,3,1,1,1,666,0,4,670,0
50,158,28,218,111,0,0,0,0,1,516,0,0,516,0
51,149,16,252,120,0,0,2,0,0,539,0,2,541,0
52,127,4,178,73,1,0,0,2,1,386,0,0,386,0
53,142,23,171,93,1,2,1,0,0,433,0,3,436,0
54,218,56,383,205,2,1,0,0,0,865,0,2,867,0
55,258,25,338,238,3,0,0,0,2,864,0,2,866,0
56,98,42,162,69,2,0,1,0,0,374,0,1,375,0
57,100,21,158,179,0,1,2,4,2,467,0,1,468,0
58,188,79,310,180,8,1,0,1,1,768,0,7,775,0
59,167,43,236,273,1,3,1,0,2,726,0,4,730,0
60,129,22,275,144,0,0,0,1,3,574,0,3,577,0
61,205,50,264,139,1,0,0,0,0,659,0,6,665,0
62,237,86,298,243,1,0,0,1,1,867,0,4,871,0
63,197,59,244,154,5,1,3,0,1,664,0,1,665,0
64,215,76,217,250,0,0,2,0,3,763,0,2,765,0
65,146,50,436,241,2,0,0,1,0,876,0,0,876,0
66,84,15,199,85,0,0,0,0,2,385,0,2,387,0
67,174,34,417,255,1,0,1,1,0,883,0,1,884,0
68,81,25,225,166,0,0,0,0,0,497,0,1,498,0
69,171,54,344,325,2,1,3,1,3,904,0,0,904,0
70,116,23,398,171,1,0,0,2,0,711,0,5,716,0
71,221,37,379,230,3,0,0,2,0,872,0,3,875,0
72,127,41,256,133,3,0,0,1,0,561,0,4,565,0
73,113,17,304,139,0,0,0,0,0,573,0,2,575,0
74,168,28,449,144,0,0,0,1,2,792,0,2,794,0
75,148,30,361,200,3,0,3,1,1,747,0,2,749,0
76,146,67,222,191,0,3,2,2,2,635,0,3,638,0
77,215,9,345,88,5,0,1,1,1,665,0,0,665,0
78,61,20,164,57,2,0,1,0,4,309,0,2,311,0
79,217,47,334,338,2,0,0,4,1,943,0,3,946,0
80,128,39,346,289,2,3,1,1,0,809,0,2,811,0
81,123,28,276,167,2,0,0,1,1,598,0,3,601,0
82,176,25,282,157,1,0,0,2,0,643,0,5,648,0
83,145,11,369,106,0,0,0,1,2,634,0,5,639,0
84,153,17,292,119,1,0,0,1,0,583,0,2,585,0
85,132,28,284,136,0,0,0,4,0,584,0,2,586,0
86,131,38,324,172,1,1,2,6,1,676,0,3,679,0
87,98,23,240,190,1,0,1,0,1,554,0,0,554,0
