Polling Station No,ASHOKKUMAR. N,GOVI.ELANGO,BHUVANA MANIYARASAN,NEIVELI SASIKUMAR,D.CHANDRAKANDEEBAN,G.CHITHIRAVELU,R.RAVI,T.ARULMURUGAN,U.UTHAYAKUMAR,PASUMAIBHOOMI NATARAJAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,107,181,7,1,84,0,0,3,1,3,387,0,5,392,0
2,119,214,37,2,168,1,5,1,1,0,548,0,0,548,0
3,285,173,40,0,163,1,6,0,1,2,671,0,5,676,0
4,237,245,21,19,196,2,12,1,0,2,735,0,2,737,0
5,226,363,39,2,214,1,4,2,1,2,854,0,1,855,0
6,243,326,82,7,202,1,2,1,4,5,873,0,2,875,0
7,162,118,25,12,59,2,45,3,0,1,427,0,2,429,0
8,210,119,29,13,122,0,8,0,0,1,502,0,1,503,0
9,156,167,33,2,182,3,114,2,21,1,681,0,3,684,0
10,36,141,11,2,59,0,21,0,1,0,271,0,2,273,0
11,145,377,38,0,98,1,1,1,2,2,665,0,3,668,0
12,237,300,30,1,170,1,3,2,1,5,750,0,7,757,0
13,192,282,52,1,149,1,7,1,0,0,685,0,6,691,0
14,252,251,51,1,168,1,1,1,1,1,728,0,3,731,0
15,64,104,7,3,52,0,0,1,2,0,233,0,0,233,0
16,259,258,28,1,204,1,2,3,3,1,760,0,3,763,0
17,224,237,17,1,177,2,1,1,0,5,665,0,1,666,0
18,247,202,39,3,128,1,3,1,1,1,626,0,2,628,0
19,239,202,42,2,183,1,13,1,1,3,687,0,7,694,0
20,182,199,23,0,189,0,33,2,0,1,629,0,4,633,0
21,216,229,45,1,175,1,2,0,3,1,673,0,5,678,0
22,196,135,34,0,143,0,1,0,0,1,510,0,4,514,0
23,161,107,32,0,147,1,1,0,3,1,453,0,2,455,0
24,315,123,38,10,206,0,1,0,0,2,695,0,2,697,0
25,194,154,24,1,185,0,0,1,0,1,560,0,1,561,0
26,226,114,18,1,185,1,4,0,0,2,551,0,0,551,0
27,260,282,40,5,216,1,4,1,0,3,812,0,2,814,0
28,138,199,15,2,160,1,1,2,2,1,521,0,6,527,0
29,169,269,33,1,138,2,6,0,3,5,626,0,11,637,0
30,282,197,53,4,209,1,3,1,1,1,752,0,3,755,0
31,130,334,23,1,181,0,1,1,0,3,674,0,2,676,0
32,160,74,21,0,52,0,0,0,0,0,307,0,3,310,0
33,197,233,41,0,108,1,0,1,0,4,585,0,1,586,0
34,260,276,59,0,241,1,3,2,1,2,845,0,3,848,0
