Polling Station No,RAMUKHTIJNAR YMASULAB,NAMEES,S .IDUGNAM,LUDBA J .NAMHAR ZIZA,K .HAIAPPURAK,A .UHTUMILAK,IKOPREHD IDNAP.V,.UBAB NOTWEN C,KT .UHBARP.RD,M .UMAR,.ILA NAMUHDU S.M,R .SSADILAK,B .IHTNAHS,V .HSERUS,K .IVLES,K .HSENID,S .IDNAP,G .UBARP,R .NARAMINAM,.RAMUKUHTUM K,.NAHTANAMAR V.S,R .NANAMHSKAL,NAKINAMAREEV V .NAD,K .ULEV,A .AHTIVEEJ,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
2,0,59,157,1,3,2,85,1,244,0,0,0,1,0,0,2,0,1,0,0,0,1,0,2,1,560,0,1,561,0
3,0,46,145,1,2,0,81,1,298,0,1,3,1,2,2,4,0,1,0,0,0,0,0,1,0,589,0,1,590,0
4,4,66,162,0,0,2,89,3,405,1,0,3,0,1,2,1,1,3,4,0,1,4,1,1,2,756,0,4,760,0
5,1,89,144,0,4,1,62,1,372,0,0,1,1,0,0,3,0,0,0,1,0,0,0,2,1,683,0,0,683,0
6,2,65,65,0,1,2,34,1,230,0,1,2,1,0,1,2,1,1,0,0,1,0,1,1,1,413,0,1,414,2
7,0,74,90,0,2,3,33,0,256,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,462,0,2,464,0
8,0,55,82,0,1,1,44,1,214,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,399,0,1,400,0
9,0,68,145,0,1,0,40,1,320,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,576,0,2,578,0
10,0,85,141,0,0,0,29,1,250,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,510,0,1,511,0
11,0,47,123,0,1,1,43,0,203,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,419,0,1,420,0
12,0,50,127,0,2,4,27,2,196,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,409,0,0,409,0
13,0,93,126,0,0,0,47,1,278,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,547,0,3,550,1
