Polling Station No,SELVAM K,MAHENDRAN K,MOORTHY P,KARTHIKEYAN S,BHARATHIRAJA A,PRINCE S,BOOMIRAJAN K,ARASU S,ARUN PANDIAN A J,AJAY KANNAN A,KARTHIKEYAN G,CHANDRA MOULISWARAN A,PITCHAI V,MUGESHKUMAR M,VELLADURAI A,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,36,102,458,337,0,4,0,1,0,0,3,2,6,7,0,956,0,2,958,0
2,19,69,227,251,2,2,0,1,0,1,1,0,2,2,0,577,0,3,580,0
3,50,125,341,430,0,0,1,2,2,1,5,2,1,6,2,968,0,3,971,0
4,18,101,267,181,0,6,0,0,0,0,2,1,1,1,0,578,0,3,581,0
5,42,115,368,335,3,3,0,0,2,0,1,0,1,5,0,875,0,2,877,0
6,37,175,413,275,5,3,1,1,0,0,4,0,1,4,0,919,0,1,920,0
7,42,69,476,306,1,0,0,0,0,0,4,0,1,6,0,905,0,2,907,0
8,20,34,252,205,1,3,0,0,0,0,2,1,1,2,0,521,0,0,521,0
9,27,62,377,182,0,3,0,0,0,0,0,0,2,4,0,657,0,1,658,0
10,19,36,193,169,0,2,0,0,0,0,1,0,0,1,0,421,0,0,421,0
11,47,107,454,284,1,6,0,1,1,1,1,1,1,6,1,912,0,3,915,0
12,18,54,302,167,1,7,0,0,0,0,1,0,2,0,0,552,0,0,552,0
13,39,62,212,279,1,5,0,1,0,0,2,0,1,1,0,603,0,4,607,0
14,8,83,246,125,0,0,0,0,0,1,1,0,0,3,1,468,0,0,468,0
15,4,34,302,133,0,5,0,0,0,0,1,0,1,1,0,481,0,1,482,0
16,37,116,366,304,1,3,1,1,1,0,1,0,2,4,0,837,0,0,837,0
17,30,85,508,346,2,4,0,0,0,0,0,0,1,5,0,981,0,0,981,0
18,25,55,375,230,2,2,1,1,0,0,3,0,0,4,0,698,0,3,701,0
19,36,74,336,343,8,1,0,1,1,0,4,0,0,4,0,808,0,3,811,0
20,33,101,241,192,0,1,0,0,0,0,1,0,0,0,0,569,0,1,570,0
21,24,18,255,257,0,6,1,1,2,0,2,0,3,2,0,571,0,1,572,0
22,72,56,308,243,1,4,1,0,0,0,0,0,0,1,0,686,0,2,688,0
23,76,112,402,287,4,9,0,0,0,0,1,0,0,3,0,894,0,3,897,0
24,93,66,347,219,0,2,0,0,1,0,5,0,1,4,0,738,0,3,741,0
25,80,43,365,263,15,3,0,0,1,0,1,1,3,0,0,775,0,1,776,0
26,20,29,375,426,3,3,1,0,1,3,1,0,1,6,0,869,0,0,869,0
27,28,41,223,352,0,1,0,0,1,1,2,0,1,3,0,653,0,0,653,0
28,15,52,226,222,0,2,0,0,0,0,2,0,0,3,1,523,0,0,523,0
29,36,57,283,342,2,1,0,0,0,1,1,0,1,1,0,725,0,3,728,0
30,51,112,394,420,2,0,1,0,0,0,1,0,1,1,0,983,0,7,990,0
31,10,39,224,276,1,4,0,0,1,0,1,0,0,1,0,557,0,2,559,0
32,40,42,198,301,1,4,1,1,0,0,0,0,0,1,0,589,0,3,592,0
33,39,69,386,281,1,3,0,0,0,0,0,0,0,1,0,780,0,2,782,0
34,51,96,411,377,1,0,0,1,0,1,6,1,0,4,0,949,0,3,952,0
35,47,76,233,333,1,1,0,1,1,1,2,0,0,0,0,696,0,3,699,0
36,40,84,414,297,2,6,2,0,1,0,4,0,2,3,0,855,0,4,859,0
37,30,59,296,283,1,2,1,1,1,1,1,0,0,0,0,676,0,4,680,0
38,28,94,351,351,4,1,2,1,2,0,2,0,0,2,0,838,0,3,841,0
39,42,80,367,372,0,4,0,2,0,1,5,0,1,1,0,875,0,3,878,0
40,41,68,283,509,2,2,0,0,0,0,3,1,0,1,0,910,0,8,918,0
41,21,73,356,262,0,1,0,0,0,0,1,0,1,2,0,717,0,3,720,0
42,13,65,200,157,2,3,1,1,0,0,2,0,0,0,0,444,0,1,445,0
43,51,78,289,409,2,4,0,2,0,0,8,0,1,2,0,846,0,2,848,0
44,44,84,243,398,3,1,0,0,0,2,1,0,0,1,1,778,0,1,779,0
45,36,78,276,327,2,1,0,0,0,0,4,0,0,0,2,726,0,6,732,0
46,48,100,284,386,2,2,0,0,0,1,3,1,1,1,0,829,0,4,833,0
47,22,93,235,249,0,2,0,0,1,0,0,0,0,0,4,606,0,3,609,0
48,38,102,227,313,1,1,0,2,0,0,2,0,0,0,0,686,0,6,692,0
49,43,104,180,222,2,3,0,2,1,0,1,0,0,0,1,559,0,9,568,0
50,29,65,194,221,1,5,1,0,0,1,3,0,0,0,0,520,0,5,525,0
51,33,60,322,313,1,6,0,0,0,0,3,0,0,1,1,740,0,4,744,0
52,35,76,260,384,2,4,0,0,2,0,3,1,1,3,1,772,0,7,779,0
53,34,110,258,372,1,5,1,1,0,1,3,0,0,2,0,788,0,3,791,0
54,36,81,328,289,2,7,0,0,2,0,3,0,0,0,0,748,0,4,752,0
55,29,94,219,195,0,3,0,0,0,0,1,0,0,1,1,543,0,3,546,0
