Polling Station No,P.SARAVANAN,G.THALAPATHI,V THIRUNAVUKKARASU,A.KALLANAI,R RAJKUMAR,M J VOLTAIRE,N.KUPPUSAMY,J.KESAVARAJAH,M.P.SANKARAPANDI,C.SATHISHKUMAR,D.MOHAMED ISMAIL,P MUTHUSAMY,A.RAJANGAM,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,128,284,50,440,0,0,1,2,0,0,0,0,1,906,0,2,908,0
2,59,204,31,300,1,0,0,0,0,0,1,2,3,601,0,3,604,0
3,67,222,17,260,1,0,0,0,1,0,2,1,1,572,0,2,574,0
4,96,217,49,349,0,0,0,0,3,2,1,1,1,719,0,7,726,0
5,103,260,37,418,1,0,0,1,0,0,1,0,2,823,0,2,825,0
6,137,207,28,402,0,0,0,0,2,0,1,0,0,777,0,2,779,0
7,96,206,38,438,0,0,0,0,2,0,0,0,0,780,0,2,782,0
8,87,210,28,336,0,1,0,1,2,0,0,0,2,667,0,2,669,0
9,127,197,40,414,2,2,0,0,6,0,1,0,0,789,0,3,792,0
10,121,231,26,394,0,0,0,0,1,0,1,0,0,774,0,4,778,0
11,67,140,18,225,0,1,0,0,0,0,1,1,1,454,0,2,456,0
12,42,250,21,232,1,0,1,0,1,0,1,0,0,549,0,1,550,0
13,49,107,19,145,0,0,0,1,1,1,1,0,0,324,0,0,324,0
14,84,174,26,315,0,0,0,1,0,2,0,0,0,602,0,4,606,0
15,85,105,24,291,0,0,0,1,0,0,0,0,0,506,0,0,506,0
16,107,106,24,229,0,0,0,0,0,0,1,1,0,468,0,5,473,0
17,69,166,34,412,0,0,0,0,0,1,0,0,2,684,0,2,686,0
18,79,163,25,313,0,0,0,0,2,1,1,7,0,591,0,2,593,0
19,112,204,33,430,1,0,0,0,0,1,0,1,2,784,0,4,788,0
20,81,177,22,317,0,0,1,0,0,0,2,0,0,600,0,0,600,0
21,107,227,32,409,0,1,0,0,1,0,2,1,0,780,0,6,786,0
22,36,43,10,135,0,0,0,0,1,1,0,2,0,228,0,0,228,0
23,140,173,28,364,1,1,0,0,0,1,1,1,0,710,0,0,710,0
24,70,163,25,326,0,0,0,1,2,0,2,0,0,589,0,1,590,0
25,136,187,41,354,0,0,0,3,2,0,0,1,1,725,0,2,727,0
26,101,229,32,344,1,0,0,1,0,0,0,1,0,709,0,0,709,0
27,99,178,27,332,0,1,0,0,5,0,0,1,0,643,0,2,645,0
28,126,190,32,396,1,1,0,0,2,0,0,2,0,750,0,4,754,0
29,147,219,38,545,1,1,0,2,6,0,0,0,2,961,0,4,965,0
30,90,169,28,278,1,0,0,0,5,0,0,0,0,571,0,3,574,0
31,103,183,31,317,0,1,0,0,1,0,1,2,0,639,0,3,642,0
32,98,194,43,435,1,1,0,0,9,0,1,1,0,783,0,6,789,0
33,91,152,19,273,0,0,0,0,1,1,1,1,0,539,0,3,542,0
34,108,229,26,338,0,0,0,0,2,0,1,1,0,705,0,1,706,0
35,130,142,27,355,2,2,0,0,4,0,1,1,0,664,0,2,666,0
36,125,179,35,403,1,0,1,0,0,0,1,0,0,745,0,3,748,0
