Polling Station No,UDHAYAKUMAR.R.B,MANIMARAN.M,MUNISH.N,ALAGAR.A,KALAISELVI.R,SATHISHKUMAR.N,JEEVITHA NACHIYAR.B,AYYANAN.P,GIRISHKUMAR.A,SAKKARAVARTHY.P,NAGOOR.M,BHARATH.M,MUTHURAJA.M,MURUGAN.S,VENGATESWARAN.B,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,89,188,38,0,0,182,9,0,0,1,0,0,0,0,0,507,0,2,509,0
2,163,411,51,0,0,255,26,0,0,4,0,0,0,0,0,910,0,1,911,0
3,100,177,19,0,0,94,12,0,0,0,0,0,0,1,0,403,0,0,403,0
4,158,269,34,0,0,95,29,0,1,2,0,0,0,0,0,588,0,2,590,0
5,125,238,31,0,2,245,25,0,0,4,0,0,0,0,0,670,0,2,672,0
6,211,280,58,0,1,310,30,0,0,0,0,2,0,0,0,892,0,2,894,0
7,130,388,61,0,0,317,24,0,0,5,0,1,0,1,0,927,0,5,932,0
8,160,331,50,0,0,337,27,0,0,8,0,0,0,0,1,914,0,2,916,0
9,230,286,24,0,0,227,10,0,0,0,1,1,0,0,0,779,0,0,779,0
10,161,200,28,0,0,171,19,0,0,4,0,1,0,0,0,584,0,1,585,0
11,226,224,52,0,1,245,21,0,1,0,0,0,0,0,0,770,0,2,772,0
12,150,206,34,0,1,170,22,0,0,0,0,1,2,0,1,587,0,0,587,0
13,211,303,62,4,1,210,45,0,0,0,0,0,0,0,0,836,0,5,841,0
14,123,286,59,0,0,296,23,0,0,1,1,0,0,0,1,790,0,1,791,0
15,124,222,38,1,0,118,18,0,0,0,0,0,1,0,0,522,0,1,523,0
16,174,447,40,0,1,245,16,1,0,0,0,0,0,0,1,925,0,2,927,0
17,185,377,37,0,0,205,10,0,0,1,0,0,0,0,6,821,0,5,826,0
18,124,106,19,0,0,81,19,0,0,0,0,0,0,0,1,350,0,1,351,0
19,199,201,9,5,0,199,3,0,0,0,0,2,0,0,1,619,0,7,626,0
20,221,423,47,0,3,216,36,1,0,1,0,2,1,0,0,951,0,2,953,0
21,349,474,36,0,0,213,16,0,0,0,0,0,0,0,2,1090,0,3,1093,0
22,225,221,12,2,0,122,7,0,0,0,0,87,1,1,1,679,0,6,685,0
23,92,205,34,3,0,100,18,0,0,0,0,0,0,0,0,452,0,1,453,0
24,322,320,76,0,1,200,25,0,0,1,0,1,0,0,0,946,0,1,947,0
25,117,111,20,0,1,63,3,0,0,0,0,1,0,0,0,316,0,0,316,0
