Polling Station No,Candidate_1,Candidate_2,Candidate_3,Candidate_4,Candidate_5,Candidate_6,Candidate_7,Candidate_8,Candidate_9,Candidate_10,Candidate_11,Candidate_12,Candidate_13,Candidate_14,Candidate_15,Candidate_16,Candidate_17,Candidate_18,Candidate_19,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,1,2,23,199,176,2,2,0,131,0,0,0,0,0,2,0,0,0,0,537,0,3,540,0
2,2,0,37,257,155,0,2,1,128,0,0,1,2,0,1,0,0,0,0,584,0,2,586,0
3,3,2,20,282,185,2,0,1,129,0,0,0,0,0,0,0,0,1,0,622,0,0,622,0
4,4,2,13,136,266,1,0,0,111,1,0,0,1,0,0,0,0,1,0,532,0,3,535,0
5,5,0,21,108,359,1,0,4,101,0,0,0,0,0,0,0,1,0,1,596,0,2,598,0
6,6,0,27,122,372,1,0,1,72,0,0,0,0,0,0,0,2,0,0,597,0,2,599,0
7,7,0,4,246,261,3,1,1,146,1,1,0,0,3,2,3,0,0,0,672,0,0,672,0
8,8,0,4,247,346,0,1,0,148,0,0,0,3,2,2,3,0,3,0,759,0,1,760,0
9,9,0,18,240,239,1,0,2,235,0,0,0,0,0,1,0,0,2,0,738,0,4,742,0
10,10,3,19,175,338,2,0,1,278,1,0,0,0,1,0,1,1,0,0,820,0,2,822,0
11,11,1,11,272,364,3,1,1,221,0,0,0,1,0,1,1,0,0,0,877,0,4,881,0
12,12,0,34,282,212,2,0,0,183,0,0,0,1,0,0,0,0,0,0,714,0,5,719,0
13,13,0,18,127,169,2,0,8,124,0,0,0,0,1,0,1,0,0,1,451,0,3,454,0
14,14,2,15,156,237,0,0,1,248,0,1,1,2,0,0,0,1,0,0,664,0,2,666,0
15,15,0,18,207,213,2,3,3,262,2,0,0,0,1,0,0,0,1,0,712,0,1,713,0
16,16,1,16,287,244,0,0,1,152,0,0,0,1,0,0,2,2,0,0,706,0,2,708,0
17,17,3,17,237,484,1,1,5,245,0,3,0,2,2,1,0,0,1,0,1002,0,3,1005,0
18,18,0,26,155,249,2,0,3,185,0,0,1,0,0,3,0,1,0,0,625,0,4,629,0
19,19,1,10,74,197,1,0,1,92,0,0,0,0,0,0,0,0,0,2,378,0,1,379,0
20,20,3,29,222,321,2,0,0,333,0,0,0,1,2,1,0,3,0,0,917,0,6,923,0
21,21,2,27,241,251,0,0,2,295,0,0,0,1,0,1,0,0,0,0,820,0,7,827,0
22,22,5,81,376,211,3,6,2,220,2,0,2,2,3,3,2,8,2,1,929,0,8,937,0
23,23,0,29,182,235,5,0,0,194,0,1,0,1,1,1,0,0,0,1,650,0,5,655,0
24,24,3,17,207,320,1,1,2,173,0,0,1,0,0,0,1,1,0,0,727,0,2,729,0
25,25,1,7,160,126,1,1,1,90,0,0,0,1,1,1,2,0,0,0,392,0,1,393,0
