Polling Station No,Candidate_1,Candidate_2,Candidate_3,Candidate_4,Candidate_5,Candidate_6,Candidate_7,Candidate_8,Candidate_9,Candidate_10,Candidate_11,Candidate_12,Candidate_13,Candidate_14,Candidate_15,Candidate_16,Candidate_17,Candidate_18,Candidate_19,Candidate_20,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,1,25,287,82,0,1,302,3,1,1,0,1,0,1,0,0,1,1,7,2,715,0,5,720,0
2,2,11,134,45,0,0,186,0,0,0,0,1,0,0,0,0,0,0,0,0,377,0,0,377,0
3,3,23,185,37,0,2,215,0,0,0,0,0,0,0,1,0,0,1,0,0,464,0,0,464,0
4,4,30,182,45,1,3,202,0,0,0,0,0,0,1,0,0,1,0,4,2,471,0,0,471,0
5,5,58,137,58,0,1,269,0,0,0,0,0,0,0,0,0,0,0,5,0,528,0,1,529,0
6,6,64,134,70,2,0,370,2,0,0,0,0,1,1,1,0,0,1,3,3,652,0,2,654,0
7,7,30,91,47,1,1,161,0,0,0,0,1,0,0,1,0,0,1,0,0,334,0,0,334,0
8,8,17,117,52,0,0,189,1,1,0,0,1,0,0,0,0,0,0,0,0,378,0,2,380,0
9,9,14,239,49,1,2,169,1,0,0,0,0,0,0,1,0,0,0,2,0,478,0,4,482,0
10,10,69,268,39,5,4,263,2,0,0,2,0,0,0,1,1,1,0,1,0,656,0,1,657,0
11,11,40,223,47,0,4,216,1,0,0,0,1,1,0,0,0,0,0,0,0,533,0,4,537,0
12,12,58,219,87,1,1,334,0,0,0,0,2,0,1,2,1,3,1,0,1,711,0,0,711,0
13,13,11,396,50,2,1,342,1,0,0,1,2,0,1,9,0,3,1,3,1,824,0,0,824,0
14,14,41,289,102,2,2,432,2,2,0,0,1,2,0,0,1,2,2,4,1,885,0,5,890,0
15,15,40,336,53,0,1,347,0,1,0,0,1,0,0,0,0,0,0,1,0,780,0,0,780,0
16,16,81,321,40,2,2,320,0,0,0,0,3,0,0,1,1,1,0,1,0,773,0,2,775,0
17,17,17,233,19,1,0,195,0,0,0,0,0,0,1,0,0,1,1,0,1,469,0,2,471,0
18,18,28,188,38,0,7,226,0,0,0,0,0,0,0,0,0,2,1,1,0,491,0,2,493,0
19,19,19,246,72,2,3,225,1,0,0,0,0,0,1,2,0,0,0,0,0,571,0,1,572,0
20,20,22,229,54,0,0,272,0,0,1,0,0,0,0,3,0,1,0,4,0,586,0,2,588,0
21,21,29,286,94,1,1,238,0,0,1,0,0,0,0,1,1,1,0,1,0,654,0,0,654,0
22,22,45,331,67,1,1,152,0,0,0,0,0,0,0,0,0,0,3,11,1,612,0,1,613,0
23,23,15,228,70,1,2,229,0,1,0,0,0,0,0,0,1,0,0,1,1,549,0,0,549,0
24,24,35,313,122,2,2,352,1,2,2,1,3,0,1,1,4,7,2,1,0,851,0,1,852,0
25,25,11,178,25,1,1,152,0,0,1,1,0,0,0,1,1,0,2,1,0,375,0,3,378,0
26,26,8,195,64,1,1,208,0,3,1,1,2,2,0,1,1,0,0,3,1,492,0,3,495,0
27,27,15,230,45,0,1,274,1,0,1,1,1,0,0,1,0,2,0,0,0,572,0,0,572,0
28,28,40,177,24,2,2,149,1,1,3,0,1,0,0,0,0,0,0,0,0,400,0,0,400,0
29,29,60,284,34,1,0,145,1,1,0,0,1,0,1,1,0,0,0,0,1,530,0,1,531,0
30,30,40,256,30,0,3,273,0,0,0,0,0,0,0,0,0,0,1,1,0,604,0,1,605,0
31,31,32,243,34,0,0,204,1,0,0,0,1,0,1,1,0,1,0,2,0,520,0,0,520,0
32,32,28,179,15,0,1,184,0,0,0,0,0,0,0,1,1,0,0,0,0,409,0,1,410,0
33,33,33,298,24,1,2,233,1,0,2,0,1,0,0,0,0,1,0,2,2,600,0,3,603,0
34,34,56,336,60,0,2,304,0,0,2,1,1,0,0,2,0,0,0,1,1,766,0,1,767,0
35,35,30,229,99,0,3,252,0,0,0,0,1,0,1,3,0,1,1,2,1,623,0,0,623,0
36,36,22,230,63,3,2,214,1,2,0,0,1,0,0,1,0,1,0,1,0,541,0,0,541,0
37,37,4,338,68,0,0,311,4,2,1,2,3,1,0,2,1,5,0,1,0,743,0,0,743,0
38,38,21,244,39,1,2,226,0,0,1,0,2,1,0,2,1,0,0,0,0,540,0,1,541,0
39,39,33,261,175,0,5,321,0,0,0,0,0,0,0,4,0,0,0,2,1,802,0,1,803,0
40,40,36,242,19,1,1,204,0,0,0,1,1,0,0,0,0,0,0,1,0,506,0,2,508,0
41,41,56,245,27,1,0,217,0,0,0,0,1,1,0,0,0,1,0,0,0,549,0,2,551,0
42,42,15,370,62,0,2,312,0,0,0,0,1,0,0,0,1,0,1,2,2,768,0,4,772,0
43,43,27,115,141,0,0,196,0,0,0,0,0,1,0,0,1,1,0,2,0,484,0,5,489,0
44,44,14,167,58,1,2,166,1,0,0,0,0,0,0,1,0,1,0,5,0,416,0,2,418,0
45,45,32,236,94,2,3,334,0,1,1,1,4,0,0,3,0,1,2,2,0,716,0,5,721,0
46,46,20,290,130,0,3,250,2,1,1,0,1,0,1,0,1,0,0,0,1,701,0,3,704,0
47,47,17,143,181,1,1,237,1,1,0,1,1,0,0,3,0,0,2,3,2,594,0,7,601,0
48,48,18,100,74,0,0,140,1,2,0,1,0,1,0,1,0,0,1,1,0,340,0,5,345,0
49,49,29,295,60,1,0,235,0,0,0,0,0,0,1,0,0,0,1,4,1,627,0,1,628,0
50,50,31,355,145,1,1,374,0,0,0,1,2,1,1,4,0,0,0,2,0,918,0,3,921,0
51,51,16,416,25,0,0,335,1,1,0,0,0,0,1,3,2,3,0,1,1,805,0,0,805,0
52,52,31,235,173,0,1,167,1,0,0,1,0,0,0,3,0,0,1,2,1,616,0,1,617,0
53,53,15,249,153,0,0,203,1,0,0,0,0,1,0,1,0,0,1,0,3,627,0,3,630,0
54,54,12,229,163,0,0,110,0,0,0,0,0,0,0,1,0,1,1,2,1,520,0,2,522,0
55,55,9,283,101,1,2,294,0,1,0,0,1,0,0,0,2,0,0,1,0,695,0,5,700,0
56,56,46,308,84,1,1,233,2,1,1,0,0,0,0,2,0,4,0,2,0,685,0,0,685,0
57,57,49,228,149,5,0,253,0,1,0,1,1,0,2,0,2,0,0,0,1,692,0,0,692,0
58,58,50,269,110,3,0,345,1,3,1,0,2,0,0,0,3,1,0,8,5,801,0,0,801,0
59,59,23,156,57,1,0,195,2,1,1,0,2,0,0,1,1,0,0,1,0,441,0,1,442,0
60,60,18,210,63,1,1,171,0,0,1,0,1,0,2,2,0,0,1,3,1,475,0,0,475,0
61,61,41,213,120,1,4,386,0,1,1,0,1,1,0,0,0,0,0,1,0,770,0,3,773,0
62,62,35,209,58,0,1,285,2,0,1,0,0,0,0,1,0,1,0,2,1,596,0,1,597,0
63,63,29,390,71,1,0,344,2,0,0,0,0,0,0,1,0,0,1,3,0,842,0,4,846,0
64,64,21,258,51,0,3,451,1,0,0,0,0,0,0,1,0,1,0,0,1,788,0,3,791,0
65,65,25,204,52,1,3,249,0,0,0,0,0,0,0,0,0,0,1,0,0,535,0,2,537,0
66,66,28,190,38,0,0,243,1,0,0,0,0,0,0,0,0,1,0,3,0,504,0,0,504,0
67,67,43,194,67,0,1,244,0,0,0,0,1,0,0,0,1,0,0,1,1,553,0,0,553,0
68,68,78,373,41,0,2,247,0,0,0,0,0,0,0,5,1,2,0,1,0,750,0,1,751,0
69,69,51,358,24,0,1,238,0,0,0,0,1,0,0,2,3,0,0,1,1,680,0,3,683,0
70,70,25,191,39,2,0,212,0,0,0,0,1,0,0,4,1,0,0,0,0,475,0,1,476,0
71,71,23,271,26,0,0,184,0,1,1,0,0,0,0,0,0,0,0,0,0,506,0,2,508,0
72,72,44,185,98,1,0,293,1,0,0,0,0,0,1,1,0,0,0,1,1,626,0,3,629,0
73,73,17,247,36,0,0,243,0,0,1,0,1,1,0,0,0,2,0,1,0,549,0,1,550,0
74,74,50,281,99,0,1,414,0,0,2,2,1,0,0,1,3,1,1,0,0,856,0,8,864,0
75,75,25,174,81,0,0,193,0,1,0,0,0,1,0,0,0,0,0,0,0,475,0,1,476,0
76,76,20,284,55,0,1,193,1,1,0,0,1,0,0,0,0,0,0,1,0,557,0,1,558,0
77,77,28,148,108,2,0,288,0,1,0,0,0,0,0,0,2,0,0,0,0,577,0,5,582,0
78,78,26,404,59,1,0,213,1,0,0,0,0,0,0,1,0,0,0,0,1,706,0,0,706,0
79,79,22,178,55,0,0,238,2,0,0,0,1,0,0,0,0,0,0,1,0,497,0,2,499,0
80,80,33,207,59,2,2,293,0,1,0,0,1,1,0,0,0,3,1,2,1,606,0,3,609,0
81,81,17,405,59,1,0,160,0,1,0,0,0,0,0,0,1,1,0,0,0,645,0,5,650,0
82,82,29,161,86,0,0,311,0,2,0,0,1,0,0,1,0,0,0,1,0,592,0,2,594,0
83,83,25,109,88,0,0,194,0,1,0,0,0,0,0,0,0,1,0,1,0,419,0,5,424,0
84,84,48,182,82,1,2,387,0,2,0,0,0,0,0,0,0,1,0,1,0,706,0,1,707,0
85,85,34,223,97,0,1,337,1,0,0,0,0,0,0,0,0,0,0,1,1,695,0,3,698,0
86,86,19,164,74,0,3,235,0,1,0,1,0,0,0,0,0,1,0,0,0,498,0,3,501,0
87,87,18,196,50,0,2,150,0,0,0,0,0,0,0,1,0,0,0,0,1,418,0,1,419,0
88,88,27,114,63,2,0,240,0,1,0,0,0,1,0,0,1,0,0,0,0,449,0,1,450,0
89,89,31,117,55,0,0,172,0,0,0,0,1,0,0,1,2,0,0,1,0,380,0,5,385,0
90,90,24,135,40,1,2,269,0,0,0,0,1,1,0,0,0,1,0,0,0,474,0,2,476,0
91,91,32,194,34,0,0,248,2,0,0,0,1,0,0,0,0,0,0,0,0,511,0,3,514,0
92,92,30,150,87,1,0,298,0,0,0,1,0,0,0,1,0,0,0,0,0,568,0,2,570,0
93,93,26,108,53,2,1,216,2,0,0,0,0,0,0,2,1,0,1,0,0,412,0,1,413,0
