Polling Station No,ANANDHARAJA. D.,KADARKARAIRAJ. A,KAMALA VEL SELVAN. P,NAINAR NAGENTHRAN,AJITH. M,ESAKKIRAJA. K,THANGA DURAI. P,MUTHUKANNU. C,VELMURUGAN. S,AJITHKUMAR. S,KALIRAJ. M,SARAVANAN. P,THANGA MARIAPPAN. J,NARMADA NANDHAKUMAR,MAHENDRAN. M,MAHESHKUMAR. M,MANIVASAGAM.S,MAYAKKANNAN. V,MUTHARASAN. M,RAMESH KUMAR. B,VIJENDRAN. G,VENKATESAN. M,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,98,393,5,129,234,0,0,1,122,1,1,1,0,2,1,1,4,5,1,1,1,1,1002,0,2,1004,0
2,34,176,0,122,185,108,0,0,0,0,1,2,0,0,0,0,0,3,0,1,0,0,632,0,3,635,0
3,54,136,0,119,195,93,1,1,1,0,0,1,2,1,0,1,2,1,1,2,1,0,612,0,2,614,0
4,19,136,0,72,100,63,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,394,0,2,396,0
5,41,295,2,186,265,7,0,0,3,0,0,0,0,0,0,0,0,1,1,2,1,0,804,0,0,804,0
6,41,190,1,192,151,22,0,0,2,0,0,0,1,1,0,0,0,0,1,2,0,0,604,0,1,605,0
7,50,449,1,84,256,2,1,0,11,0,0,0,0,0,2,2,1,2,0,0,0,0,861,0,3,864,0
8,50,303,0,127,158,51,0,0,23,0,0,1,2,0,1,0,1,1,0,0,0,0,718,0,0,718,0
9,15,172,1,173,178,2,1,0,1,1,1,1,2,2,4,0,2,2,1,0,0,0,559,0,5,564,0
10,17,268,3,211,199,18,0,0,0,0,0,1,0,0,1,0,1,2,1,1,1,0,724,0,2,726,0
11,53,262,1,295,92,110,1,3,0,2,0,4,1,1,0,0,2,3,2,3,1,0,836,0,1,837,0
12,86,216,1,311,283,68,1,1,0,1,0,2,3,2,2,2,1,3,1,2,3,1,990,0,3,993,0
13,57,97,1,142,151,30,0,0,16,0,0,1,0,0,0,1,6,1,0,1,0,1,505,0,2,507,0
14,69,212,4,233,237,110,0,2,1,0,0,2,1,0,2,2,9,4,3,1,4,0,896,0,1,897,0
15,32,158,0,206,226,10,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,638,0,0,638,0
16,32,162,0,178,245,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,621,0,5,626,0
17,51,191,0,290,320,5,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,861,0,0,861,0
18,21,142,1,110,134,5,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,418,0,0,418,0
19,58,312,2,196,197,10,0,0,32,0,0,0,0,0,0,1,0,0,1,0,0,0,809,0,3,812,0
20,35,75,0,111,139,3,0,0,0,1,0,1,0,0,0,0,2,1,0,0,0,0,368,0,0,368,0
21,71,298,1,161,255,2,0,1,122,0,2,2,0,0,1,0,1,1,0,2,0,0,920,0,0,920,0
22,49,346,2,200,308,8,1,0,38,0,1,1,0,0,0,1,1,4,0,1,1,0,962,0,2,964,0
23,55,172,0,265,309,7,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,812,0,2,814,0
24,43,140,2,134,245,6,0,0,0,0,0,1,0,0,1,0,2,1,0,0,2,0,577,0,2,579,0
25,72,220,1,283,325,4,0,0,17,1,1,1,2,0,0,3,3,1,0,0,0,0,934,0,3,937,0
26,71,115,0,151,248,1,0,0,0,1,0,0,2,4,0,2,0,0,0,0,6,0,601,0,2,603,0
