Polling Station No,RAMACHANDRAN. K.K.S.S.R,SETHUPATHY. S,MANIMARAN. G,ELANGO. G,GANESAN. V,KARTHIK KUMAR. K,SANJAY GANDHI. V,DHARMARAJ. P,RAGUPATHI. K,ARUMUGAM. V,ANANDHAN. A,KARTHIK. M,ADVOCATE SADHURAGIRI. M,CHINNASAMY. G,SUNDARAMAHALINGAM. A,SUNDARAMOORTHI. S,SURESHKUMAR. K,SENTHILKUMAR. S,PALANIKUMAR. M,MARIVEL. K,MUNIYANDI. M,RAMAKRISHNAN. S,RAMAMOORTHY. G,VEERARAJ. R,VENKATESAN. P.S,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,174,161,18,2,0,144,0,6,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,510,0,3,513,0
2,201,93,16,1,0,133,0,11,0,5,1,0,0,1,0,3,1,0,0,0,0,0,0,0,0,466,0,3,469,0
3,227,128,17,0,2,277,1,0,0,0,0,1,0,0,1,1,2,3,0,0,0,0,0,0,0,660,0,3,663,0
4,220,144,26,0,0,284,0,0,0,2,0,0,0,0,3,1,1,1,0,0,0,0,0,1,0,683,0,4,687,0
5,184,88,10,0,0,178,0,0,0,7,0,0,0,0,0,1,4,2,0,0,0,0,0,0,0,474,0,2,476,0
6,232,132,21,2,2,265,0,7,1,1,0,0,0,0,2,3,2,3,0,0,1,1,3,0,0,678,0,1,679,0
7,267,130,30,0,0,272,3,9,0,4,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,718,0,3,721,0
8,174,107,20,0,0,120,0,0,1,33,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,458,0,1,459,0
9,385,91,42,0,2,377,0,2,14,0,0,0,0,0,0,3,3,2,1,1,3,0,0,0,0,926,0,7,933,0
10,228,95,9,0,0,177,0,0,0,14,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,527,0,1,528,0
11,310,126,24,0,1,292,0,0,1,1,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,760,0,1,761,0
12,173,142,20,1,2,215,2,0,0,0,1,0,3,1,0,4,4,1,1,0,0,0,0,0,3,573,0,0,573,0
13,169,193,16,4,1,165,1,0,0,0,1,0,2,1,1,2,5,2,1,0,1,0,1,0,1,567,0,1,568,0
14,296,276,30,2,0,364,1,0,0,0,1,0,0,0,0,6,4,0,0,0,0,2,0,0,0,982,0,0,982,0
15,332,132,45,0,2,320,1,1,21,0,1,0,0,1,1,8,7,1,0,0,1,2,0,0,0,876,0,3,879,0
16,306,147,43,2,0,220,1,1,0,10,1,0,0,0,0,1,3,0,1,0,1,0,0,0,0,737,0,3,740,0
17,109,97,16,1,3,162,0,1,2,2,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,397,0,3,400,0
18,240,192,31,1,4,294,0,1,0,3,0,0,1,2,0,2,7,4,0,1,2,1,0,0,0,786,0,1,787,0
19,92,55,13,0,3,124,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,291,0,2,293,0
20,267,146,32,0,0,251,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,702,0,2,704,0
21,293,210,9,0,0,272,0,1,0,32,0,0,0,0,1,5,3,1,0,0,1,0,1,2,0,831,0,6,837,0
22,395,90,27,0,0,276,0,0,0,5,0,0,0,0,0,2,7,2,0,0,0,0,0,0,0,804,0,3,807,0
23,146,65,6,0,0,101,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,323,0,0,323,0
24,167,221,13,0,2,181,1,0,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,591,0,2,593,0
25,151,105,34,2,0,156,1,0,11,1,2,0,0,0,0,1,2,3,0,0,0,2,0,0,2,473,0,0,473,0
26,270,101,39,0,0,198,2,0,7,0,0,1,0,0,1,3,2,1,0,0,0,1,1,0,0,627,0,3,630,0
27,93,111,11,0,0,94,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,313,0,0,313,0
28,380,205,30,0,1,307,1,0,2,0,0,0,1,0,0,1,2,4,0,0,0,0,0,0,0,934,0,2,936,0
29,154,159,30,1,0,221,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,1,2,577,0,2,579,0
30,378,230,45,1,1,302,1,2,19,0,2,0,4,0,1,6,7,0,0,0,1,1,0,1,1,1003,0,5,1008,0
31,299,129,25,0,0,247,0,1,11,0,3,0,1,1,0,3,7,1,0,0,1,0,0,1,0,730,0,4,734,0
32,234,208,23,1,3,399,0,2,0,2,0,0,1,1,1,4,4,1,0,1,0,1,0,0,1,887,0,2,889,0
33,230,208,24,1,2,373,1,2,0,2,3,2,1,1,3,7,8,1,1,0,1,2,3,1,1,878,0,10,888,0
34,273,184,32,2,3,444,0,0,0,1,2,0,1,0,1,4,4,0,0,0,0,7,0,1,1,960,0,4,964,0
35,249,217,59,2,1,493,2,0,1,1,2,2,1,0,0,4,0,4,0,0,2,0,1,1,0,1042,0,8,1050,0
36,135,113,46,3,2,345,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,651,0,3,654,0
37,113,114,17,1,0,126,1,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,379,0,2,381,0
38,206,144,51,4,1,345,0,3,1,1,1,0,1,2,0,3,1,1,1,0,0,0,0,1,0,767,0,6,773,0
39,208,124,47,0,0,276,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2,1,663,0,7,670,0
40,242,139,39,0,0,262,0,2,2,0,0,0,1,0,0,1,2,2,1,0,1,0,0,0,0,694,0,1,695,0
41,325,132,36,3,0,396,1,3,0,0,1,0,3,0,0,0,5,1,0,1,0,2,0,0,0,909,0,1,910,0
42,192,164,62,1,1,360,2,0,0,1,0,0,3,2,0,1,0,1,0,0,0,3,0,0,0,793,0,1,794,0
43,280,125,41,0,0,357,1,2,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,810,0,2,812,0
44,206,106,44,0,0,266,1,2,3,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,632,0,2,634,0
45,207,86,38,0,0,258,0,3,0,1,0,0,1,0,0,0,0,1,0,0,0,2,1,0,0,598,0,3,601,0
46,183,175,38,0,0,361,0,0,0,0,0,0,1,0,1,1,4,3,0,1,0,7,0,0,0,775,0,2,777,0
47,270,168,50,1,1,340,1,1,3,0,2,1,1,0,0,0,1,1,0,0,1,0,0,0,1,843,0,7,850,0
48,275,154,56,0,2,316,0,1,0,0,0,0,1,1,0,0,2,0,1,1,0,0,0,0,0,810,0,11,821,0
49,152,97,21,0,0,242,1,1,0,0,1,0,1,0,0,0,1,3,0,0,1,1,0,2,1,525,0,1,526,0
50,167,200,40,1,1,482,1,0,1,2,1,1,0,1,3,1,1,4,2,2,0,3,0,0,0,914,0,6,920,0
51,268,159,41,1,2,363,0,1,2,0,0,0,2,0,2,3,0,1,0,0,0,0,0,0,0,845,0,2,847,0
52,153,90,34,0,0,174,1,2,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,459,0,2,461,0
53,177,132,49,0,1,219,0,2,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,2,0,588,0,8,596,0
54,279,107,80,0,3,405,4,7,3,0,1,1,3,0,0,4,0,0,0,1,0,1,0,0,0,899,0,3,902,0
55,274,129,50,2,1,310,0,2,1,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,775,0,0,775,0
56,225,130,48,0,0,332,0,0,3,0,1,0,0,1,0,2,0,1,0,0,1,0,0,1,0,745,0,1,746,0
57,225,215,50,0,0,218,1,0,0,0,0,1,1,1,0,0,1,3,0,1,0,1,0,0,0,718,0,5,723,0
58,316,157,52,0,0,329,0,1,2,0,1,2,3,1,1,0,4,0,0,0,0,1,1,0,0,871,0,1,872,0
59,266,136,42,1,0,472,1,1,0,1,0,0,1,0,0,1,5,1,0,0,1,1,0,0,0,930,0,1,931,0
60,138,95,25,5,0,134,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,400,0,0,400,0
61,273,136,47,0,2,299,2,0,0,0,1,0,1,0,0,0,1,2,0,0,0,0,0,1,0,765,0,3,768,0
62,218,155,59,0,3,406,1,0,1,1,1,0,1,0,0,2,1,0,0,1,0,2,0,0,0,852,0,7,859,0
63,305,66,30,0,1,339,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,747,0,1,748,0
64,263,111,40,0,0,219,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,639,0,3,642,0
65,218,97,30,1,0,268,1,1,9,0,1,0,1,0,0,4,2,2,2,0,2,1,1,0,0,641,0,2,643,0
66,232,178,57,0,3,329,0,0,0,1,1,0,0,0,0,1,0,2,0,1,1,1,0,1,0,808,0,0,808,0
