Polling Station No,KADAMBUR RAJU.C,KARUNANITHI.K,PANDI.P,RAMACHANDRAN.R,ARUMUGAVEL.T,KANNAN.S,SARAVANAN.S,BALASUBRAMANIAN.S,HARI BALAKRISHNAN.G,ATHIKUMAR KUDUMBAR.B,GUNASEKARAN.P,GURUSAMY.K,CHINNA MAHARAJA.K,SEKAR.C,PARAMASIVAN.S,POUNDURAI.K,PANDIMUNEESWARI.K,PREMKUMAR.K,PONNUSAMY.M,MUNEESWARAN.R,RENGANAYAGALU.S,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,181,236,47,1,1,6,2,122,0,4,0,0,0,1,0,2,1,2,0,0,1,607,0,2,609,0
2,124,104,1,0,0,0,0,71,0,0,0,0,0,0,2,0,3,5,0,0,2,312,0,0,312,0
3,251,120,8,0,0,8,0,146,0,0,0,1,0,0,1,4,1,0,1,0,0,541,0,3,544,0
4,186,236,44,1,0,0,3,290,1,14,0,0,0,2,1,3,3,1,0,0,0,785,0,0,785,0
5,97,248,55,0,1,0,0,214,0,0,0,0,0,1,2,1,1,0,0,1,0,621,0,3,624,0
6,165,108,33,0,1,6,7,147,0,1,0,0,0,0,0,1,1,0,0,0,1,471,0,0,471,0
7,101,276,51,0,0,0,4,266,0,0,0,0,0,1,0,0,1,0,0,0,0,700,0,7,707,0
8,223,195,39,0,0,2,2,249,0,5,1,0,0,2,1,2,0,0,0,0,0,721,0,1,722,0
9,165,428,36,1,0,0,1,375,1,1,1,0,2,1,2,4,6,1,0,1,2,1028,0,1,1029,0
10,135,152,33,0,0,2,2,183,0,0,1,0,0,0,0,1,0,0,0,0,0,509,0,1,510,0
11,146,161,25,1,0,1,0,158,0,0,0,1,0,1,2,0,3,1,0,0,0,500,0,0,500,0
12,199,240,40,0,0,4,1,227,1,0,0,0,1,0,0,2,1,1,2,1,0,720,0,4,724,0
13,213,225,47,0,1,4,1,270,0,1,1,0,0,2,1,1,0,3,0,0,0,770,0,2,772,0
14,220,210,65,1,0,2,3,356,2,0,0,1,0,2,2,3,1,1,0,1,1,871,0,1,872,0
15,257,126,29,0,0,0,6,161,1,0,0,0,0,0,0,0,0,1,0,0,0,581,0,2,583,0
16,139,76,12,0,1,0,1,165,0,0,1,0,0,0,1,1,1,0,0,1,0,399,0,2,401,0
17,349,161,23,2,0,4,1,265,0,0,0,0,0,0,0,0,3,1,0,0,0,809,0,2,811,0
18,281,297,56,1,1,2,7,283,0,0,1,0,0,0,2,1,4,1,0,0,0,937,0,1,938,0
19,220,338,42,0,0,5,0,147,0,7,0,0,0,0,0,2,1,1,0,0,0,763,0,2,765,0
20,97,215,38,1,0,1,1,153,0,6,0,0,0,0,0,0,2,1,0,0,1,516,0,0,516,0
21,280,82,6,0,0,0,0,82,0,0,0,0,0,0,1,4,1,1,0,0,1,458,0,1,459,0
22,401,141,14,0,0,0,0,179,0,0,0,0,0,0,0,0,0,1,0,0,0,736,0,2,738,0
23,166,223,53,0,0,3,0,192,1,1,1,0,0,0,2,1,5,2,1,1,0,652,0,0,652,0
24,87,363,39,4,0,4,3,240,0,0,0,0,1,1,0,5,3,1,1,0,0,752,0,2,754,0
25,255,236,41,1,0,0,1,207,1,7,0,2,0,1,4,3,2,1,0,0,1,763,0,4,767,0
26,125,191,33,1,0,4,2,163,0,0,0,0,11,1,2,2,4,2,0,0,1,542,0,3,545,0
27,219,285,69,3,0,5,1,316,2,2,0,0,3,1,0,2,1,1,0,1,0,911,0,1,912,0
28,90,125,38,0,0,2,3,176,0,5,1,0,0,1,0,1,0,0,0,0,0,442,0,4,446,0
29,102,199,46,0,0,2,0,180,2,3,0,0,0,1,3,0,1,2,0,0,0,541,0,0,541,0
30,208,148,74,0,0,0,0,83,0,26,0,2,1,1,1,2,2,2,2,0,0,552,0,2,554,0
31,149,257,89,1,1,1,0,168,2,22,0,0,1,0,3,2,2,1,0,0,1,700,0,3,703,0
32,286,180,25,0,0,0,2,236,0,0,0,0,0,2,0,2,0,1,0,0,1,735,0,2,737,0
